league,season,team,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2425,vs Lazio,576,332,263,225,88,266,562,47.3,296,356,134,222,272,985,24
ITA-Serie A,2425,vs Lecce,538,327,226,229,83,248,485,51.1,237,375,106,269,292,807,23
ITA-Serie A,2425,vs Milan,597,339,309,224,64,309,652,47.4,343,364,160,204,291,803,23
ITA-Serie A,2425,vs Monza,561,336,206,257,98,227,447,50.8,220,312,77,235,225,768,11
ITA-Serie A,2425,vs Napoli,612,366,300,238,74,286,530,54.0,244,446,160,286,330,845,26
ITA-Serie A,2425,vs Parma,573,354,293,216,64,276,525,52.6,249,330,112,218,279,739,13
ITA-Serie A,2425,vs Roma,549,328,278,202,69,266,476,55.9,210,398,150,248,261,838,19
ITA-Serie A,2425,vs Torino,508,293,219,218,71,236,405,58.3,169,334,115,219,289,887,22
ITA-Serie A,2425,vs Udinese,589,350,275,238,76,294,575,51.1,281,326,109,217,270,887,15
ITA-Serie A,2425,vs Venezia,688,420,284,296,108,290,538,53.9,248,361,104,257,304,823,22
ITA-Serie A,2526,vs Atalanta,40,21,15,21,4,21,59,35.6,38,31,10,21,25,78,4
ITA-Serie A,2526,vs Bologna,43,28,19,22,2,17,35,48.6,18,36,11,25,21,68,1
ITA-Serie A,2526,vs Cagliari,42,28,15,22,5,17,31,54.8,14,26,7,19,18,38,2
ITA-Serie A,2526,vs Como,70,43,36,27,7,37,65,56.9,28,41,13,28,30,64,1
ITA-Serie A,2526,vs Cremonese,30,20,15,13,2,12,29,41.4,17,23,5,18,16,75,2
ITA-Serie A,2526,vs Fiorentina,33,23,20,8,5,15,34,44.1,19,24,12,12,15,81,1
ITA-Serie A,2526,vs Genoa,56,27,16,30,10,23,55,41.8,32,33,11,22,24,67,1
ITA-Serie A,2526,vs Hellas Verona,30,18,11,14,5,21,45,46.7,24,24,9,15,21,77,6
ITA-Serie A,2526,vs Inter,35,17,15,15,5,16,34,47.1,18,29,11,18,13,100,5
ITA-Serie A,2526,vs Juventus,42,23,18,17,7,22,42,52.4,20,35,13,22,18,58,0
ITA-Serie A,2526,vs Lazio,65,42,38,16,11,29,51,56.9,22,40,12,28,31,65,2
ITA-Serie A,2526,vs Lecce,55,37,32,16,7,29,42,69.0,13,22,12,10,21,63,1
ITA-Serie A,2526,vs Milan,46,29,28,17,1,35,61,57.4,26,33,15,18,12,71,5
ITA-Serie A,2526,vs Napoli,45,28,21,16,8,18,40,45.0,22,35,14,21,22,70,4
ITA-Serie A,2526,vs Parma,52,31,28,16,8,20,36,55.6,16,23,11,12,29,106,2
ITA-Serie A,2526,vs Pisa,41,22,17,16,8,21,38,55.3,17,25,7,18,17,86,2
ITA-Serie A,2526,vs Roma,59,36,29,26,4,29,54,53.7,25,31,11,20,21,99,3
ITA-Serie A,2526,vs Sassuolo,45,28,20,19,6,21,39,53.8,18,21,3,18,19,45,1
ITA-Serie A,2526,vs Torino,37,19,21,11,5,14,31,45.2,17,19,7,12,23,52,2
ITA-Serie A,2526,vs Udinese,48,27,27,16,5,19,39,48.7,20,32,11,21,19,67,3
