index,season,matchday,team1,team2
160,2122,17,Genoa,Sampdoria
161,2122,17,Fiorentina,Salernitana
162,2122,17,Udinese,Milan
163,2122,17,Venezia,Juventus
164,2122,17,Verona,Atalanta
165,2122,17,Inter,Cagliari
166,2122,17,Napoli,Empoli
167,2122,17,Sassuolo,Lazio
168,2122,17,Torino,Bologna
169,2122,17,Roma,Spezia
170,2122,18,Lazio,Genoa
171,2122,18,Salernitana,Inter
172,2122,18,Atalanta,Roma
173,2122,18,Bologna,Juventus
174,2122,18,Cagliari,Udinese
175,2122,18,Fiorentina,Sassuolo
176,2122,18,Milan,Napoli
177,2122,18,Sampdoria,Venezia
178,2122,18,Spezia,Empoli
179,2122,18,Torino,Verona
180,2122,19,Genoa,Atalanta
181,2122,19,Juventus,Cagliari
182,2122,19,Empoli,Milan
183,2122,19,Verona,Fiorentina
184,2122,19,Inter,Torino
185,2122,19,Napoli,Spezia
186,2122,19,Roma,Sampdoria
187,2122,19,Sassuolo,Bologna
188,2122,19,Venezia,Lazio
189,2122,20,Juventus,Napoli
190,2122,20,Lazio,Empoli
191,2122,20,Milan,Roma
192,2122,20,Sampdoria,Cagliari
193,2122,20,Sassuolo,Genoa
194,2122,20,Spezia,Verona
195,2122,21,Empoli,Sassuolo
196,2122,21,Genoa,Spezia
197,2122,21,Verona,Salernitana
198,2122,21,Inter,Lazio
199,2122,21,Napoli,Sampdoria
200,2122,21,Roma,Juventus
201,2122,21,Udinese,Atalanta
202,2122,21,Venezia,Milan
203,2122,21,Torino,Fiorentina
204,2122,21,Cagliari,Bologna
205,2122,22,Juventus,Udinese
206,2122,22,Salernitana,Lazio
207,2122,22,Sampdoria,Torino
208,2122,22,Atalanta,Inter
209,2122,22,Roma,Cagliari
210,2122,22,Sassuolo,Verona
211,2122,22,Venezia,Empoli
212,2122,22,Bologna,Napoli
213,2122,22,Fiorentina,Genoa
214,2122,22,Milan,Spezia
215,2122,23,Verona,Bologna
216,2122,23,Genoa,Udinese
217,2122,23,Inter,Venezia
218,2122,23,Lazio,Atalanta
219,2122,23,Cagliari,Fiorentina
220,2122,23,Empoli,Roma
221,2122,23,Milan,Juventus
222,2122,23,Napoli,Salernitana
223,2122,23,Spezia,Sampdoria
224,2122,23,Torino,Sassuolo
225,2122,24,Fiorentina,Lazio
226,2122,24,Inter,Milan
227,2122,24,Roma,Genoa
228,2122,24,Atalanta,Cagliari
229,2122,24,Bologna,Empoli
230,2122,24,Juventus,Verona
231,2122,24,Sampdoria,Sassuolo
232,2122,24,Udinese,Torino
233,2122,24,Venezia,Napoli
234,2122,24,Salernitana,Spezia
235,2122,25,Lazio,Bologna
236,2122,25,Napoli,Inter
237,2122,25,Torino,Venezia
238,2122,25,Atalanta,Juventus
239,2122,25,Empoli,Cagliari
240,2122,25,Genoa,Salernitana
241,2122,25,Verona,Udinese
242,2122,25,Milan,Sampdoria
243,2122,25,Sassuolo,Roma
244,2122,25,Spezia,Fiorentina
245,2122,26,Juventus,Torino
246,2122,26,Roma,Verona
247,2122,26,Salernitana,Milan
248,2122,26,Sampdoria,Empoli
249,2122,26,Fiorentina,Atalanta
250,2122,26,Inter,Sassuolo
251,2122,26,Udinese,Lazio
252,2122,26,Venezia,Genoa
253,2122,26,Bologna,Spezia
254,2122,26,Cagliari,Napoli
255,2122,27,Genoa,Inter
256,2122,27,Milan,Udinese
257,2122,27,Empoli,Juventus
258,2122,27,Salernitana,Bologna
259,2122,27,Sassuolo,Fiorentina
260,2122,27,Verona,Venezia
261,2122,27,Lazio,Napoli
262,2122,27,Spezia,Roma
263,2122,27,Torino,Cagliari
