league,season,team,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2122,Sampdoria,Nicola Ravaglia,ITA,GK,32,1988,1,0,5,1,18.0,1,0,100.0,0,0,0,0,,1,1,0,0
ITA-Serie A,2122,Sampdoria,Wladimiro Falcone,ITA,GK,26,1995,10,9,855,14,1.47,54,41,75.9,2,1,6,2,22.2,1,1,0,0
ITA-Serie A,2122,Sassuolo,Andrea Consigli,ITA,GK,34,1987,37,37,3322,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0
ITA-Serie A,2122,Sassuolo,Giacomo Satalino,ITA,GK,22,1999,1,0,8,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2122,Sassuolo,Gianluca Pegolo,ITA,GK,40,1981,1,1,90,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Spezia,Ivan Provedel,ITA,GK,27,1994,31,31,2761,52,1.7,165,116,73.9,9,5,17,7,22.6,11,9,0,2
ITA-Serie A,2122,Spezia,Jeroen Zoet,NED,GK,30,1991,7,7,630,19,2.71,43,23,58.1,1,1,5,0,0.0,2,1,1,0
ITA-Serie A,2122,Spezia,Petar Zovko,BIH,GK,19,2002,1,0,29,0,0.0,0,0,,0,0,0,0,,0,0,0,0
ITA-Serie A,2122,Torino,Etrit Berisha,ALB,GK,32,1989,10,10,900,8,0.8,41,32,85.4,3,4,3,4,40.0,3,2,1,0
ITA-Serie A,2122,Torino,Luca Gemello,ITA,GK,21,2000,1,1,90,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0
ITA-Serie A,2122,Torino,Vanja Milinković-Savić,SRB,GK,24,1997,27,27,2430,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,0
ITA-Serie A,2122,Udinese,Daniele Padelli,ITA,GK,35,1985,3,3,270,8,2.67,21,13,61.9,1,0,2,1,33.3,0,0,0,0
ITA-Serie A,2122,Udinese,Marco Silvestri,ITA,GK,30,1991,35,35,3150,50,1.43,141,92,68.1,10,14,11,7,20.0,7,5,0,2
ITA-Serie A,2122,Venezia,Luca Lezzerini,ITA,GK,26,1995,6,6,495,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0
ITA-Serie A,2122,Venezia,Niki Mäenpää,FIN,GK,36,1985,17,16,1485,27,1.64,84,57,73.8,1,4,11,1,6.3,6,5,0,1
ITA-Serie A,2122,Venezia,Sergio Romero,ARG,GK,34,1987,16,16,1440,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0
