league,season,team,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2425,Genoa,Daniele Sommariva,ITA,GK,27,1997,1,0,28,1,3.21,3,2,66.7,0,0,0,0,,0,0,0,0
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,31,1993,29,29,2610,31,1.07,111,82,74.8,8,10,11,10,34.5,4,3,1,0
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,29,1995,7,7,630,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0
ITA-Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,28,1996,36,36,3240,64,1.78,161,97,61.5,9,7,20,8,22.2,4,2,1,1
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,29,1995,2,2,180,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0
ITA-Serie A,2425,Inter,Josep Martinez,ESP,GK,26,1998,5,5,450,3,0.6,14,11,78.6,4,1,0,3,60.0,0,0,0,0
ITA-Serie A,2425,Inter,Yann Sommer,SUI,GK,35,1988,33,33,2970,32,0.97,116,84,75.0,20,8,5,13,39.4,4,3,1,0
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,31,1992,5,5,450,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27,1997,33,33,2970,32,0.97,103,71,73.8,16,13,4,14,42.4,5,5,0,0
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,22,2001,9,9,810,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,30,1994,29,29,2610,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,29,1995,38,38,3420,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,32,1992,2,1,126,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29,1995,37,37,3294,41,1.12,136,97,70.6,17,9,11,12,32.4,2,1,1,0
ITA-Serie A,2425,Monza,Andrea Mazza,ITA,GK,20,2004,1,0,8,0,0.0,0,0,,0,0,0,0,,0,0,0,0
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,22,2001,9,8,736,17,2.08,38,22,55.3,1,2,5,1,12.5,0,0,0,0
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,22,2001,30,30,2676,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,27,1997,34,34,3005,25,0.75,84,59,71.4,21,9,4,16,47.1,4,1,2,1
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,22,2001,4,3,325,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28,1996,1,1,90,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,34,1990,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,21,2002,36,36,3240,53,1.47,150,99,68.0,7,15,15,7,19.4,5,5,0,0
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,24,1999,38,38,3420,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,31,1992,1,1,90,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,27,1997,37,37,3330,42,1.14,173,129,77.5,10,14,13,10,27.0,7,3,4,0
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,38,1985,1,1,90,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,24,1999,25,25,2250,40,1.6,110,73,67.3,6,4,15,4,16.0,5,4,0,1
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22,2002,12,12,1080,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,22,2002,16,16,1367,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27,1997,15,15,1350,18,1.2,65,47,76.9,2,7,6,4,26.7,3,3,0,0
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,31,1993,8,7,703,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0
ITA-Serie A,2526,Atalanta,Marco Carnesecchi,ITA,GK,25-080,2000,3,3,270,3,1.0,8,6,62.5,1,2,0,0,0.0,0,0,0,0
ITA-Serie A,2526,Bologna,Łukasz Skorupski,POL,GK,34-137,1991,3,3,270,2,0.67,9,7,77.8,1,0,2,1,33.3,0,0,0,0
ITA-Serie A,2526,Cagliari,Elia Caprile,ITA,GK,24-025,2001,3,3,270,2,0.67,12,10,83.3,1,1,1,1,33.3,0,0,0,0
ITA-Serie A,2526,Como,Jean Butez,FRA,GK,30-103,1995,3,3,270,2,0.67,7,5,71.4,1,1,1,1,33.3,0,0,0,0
ITA-Serie A,2526,Cremonese,Emil Audero,IDN,GK,28-244,1997,3,3,270,3,1.0,20,17,90.0,2,1,0,1,33.3,1,1,0,0
ITA-Serie A,2526,Fiorentina,David de Gea,ESP,GK,34-316,1990,3,3,270,4,1.33,17,13,82.4,0,2,1,1,33.3,1,1,0,0
ITA-Serie A,2526,Genoa,Nicola Leali,ITA,GK,32-214,1993,3,3,270,2,0.67,7,5,71.4,0,2,1,1,33.3,0,0,0,0
ITA-Serie A,2526,Hellas Verona,Lorenzo Montipò,ITA,GK,29-211,1996,3,3,270,5,1.67,12,7,58.3,0,2,1,1,33.3,0,0,0,0
ITA-Serie A,2526,Inter,Yann Sommer,SUI,GK,36-276,1988,3,3,270,6,2.0,13,7,61.5,1,0,2,1,33.3,1,1,0,0
ITA-Serie A,2526,Juventus,Michele Di Gregorio,ITA,GK,28-054,1997,3,3,270,3,1.0,6,3,50.0,3,0,0,2,66.7,0,0,0,0
ITA-Serie A,2526,Lazio,Ivan Provedel,ITA,GK,31-186,1994,3,3,270,3,1.0,13,10,76.9,1,0,2,1,33.3,0,0,0,0
ITA-Serie A,2526,Lecce,Wladimiro Falcone,ITA,GK,30-160,1995,3,3,270,6,2.0,16,10,62.5,0,1,2,1,33.3,0,0,0,0
ITA-Serie A,2526,Milan,Mike Maignan,FRA,GK,30-078,1995,3,3,235,2,0.77,5,3,60.0,2,0,1,1,33.3,0,0,0,0
ITA-Serie A,2526,Milan,Pietro Terracciano,ITA,GK,35-195,1990,1,0,35,0,0.0,0,0,,0,0,0,1,,0,0,0,0
ITA-Serie A,2526,Napoli,Alex Meret,ITA,GK,28-181,1997,2,2,180,0,0.0,3,3,100.0,2,0,0,2,100.0,0,0,0,0
ITA-Serie A,2526,Napoli,Vanja Milinković-Savić,SRB,GK,28-211,1997,1,1,90,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0
ITA-Serie A,2526,Parma,Zion Suzuki,JPN,GK,23-029,2002,3,3,270,5,1.67,16,11,68.8,0,1,2,0,0.0,0,0,0,0
ITA-Serie A,2526,Pisa,Adrian Šemper,CRO,GK,27-250,1998,3,3,270,3,1.0,14,11,78.6,0,1,2,0,0.0,0,0,0,0
ITA-Serie A,2526,Roma,Mile Svilar,SRB,GK,26-023,1999,3,3,270,1,0.33,9,8,88.9,2,0,1,2,66.7,0,0,0,0
ITA-Serie A,2526,Sassuolo,Arijanet Muric,KVX,GK,26-316,1998,2,2,180,3,1.5,9,6,77.8,1,0,1,1,50.0,1,1,0,0
ITA-Serie A,2526,Sassuolo,Stefano Turati,ITA,GK,24-014,2001,1,1,90,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2526,Torino,Franco Israel,URU,GK,25-150,2000,3,3,270,5,1.67,17,12,70.6,1,1,1,2,66.7,0,0,0,0
ITA-Serie A,2526,Udinese,Razvan Sava,ROU,GK,23-090,2002,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0
