league,season,team,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2425,Bologna,591,346,215,270,106,283,538,52.6,255,390,93,297,258,679,20
ITA-Serie A,2425,Cagliari,538,303,264,224,50,238,449,53.0,211,343,131,212,276,887,18
ITA-Serie A,2425,Como,663,412,301,260,102,303,591,51.3,288,348,91,257,279,788,19
ITA-Serie A,2425,Empoli,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1072,21
ITA-Serie A,2425,Fiorentina,531,313,267,195,69,248,488,50.8,240,353,123,230,275,911,17
ITA-Serie A,2425,Genoa,672,385,281,287,104,283,566,50.0,283,422,126,296,308,938,15
ITA-Serie A,2425,Hellas Verona,672,434,326,271,75,311,592,52.5,281,393,123,270,329,987,23
ITA-Serie A,2425,Inter,505,288,215,198,92,239,452,52.9,213,356,126,230,227,676,11
ITA-Serie A,2425,Juventus,606,353,273,245,88,263,471,55.8,208,404,139,265,215,723,27
ITA-Serie A,2425,Lazio,520,319,234,224,62,251,501,50.1,250,313,90,223,295,718,23
ITA-Serie A,2425,Lecce,627,372,315,250,62,301,584,51.5,283,407,144,263,285,1042,26
ITA-Serie A,2425,Milan,552,349,249,222,81,246,480,51.3,234,292,95,197,234,691,21
ITA-Serie A,2425,Monza,562,315,304,202,56,272,501,54.3,229,382,157,225,305,874,38
ITA-Serie A,2425,Napoli,535,323,237,238,60,258,469,55.0,211,317,100,217,270,813,11
ITA-Serie A,2425,Parma,523,293,267,201,55,242,484,50.0,242,434,153,281,279,977,21
ITA-Serie A,2425,Roma,551,328,233,236,82,224,439,51.0,215,329,110,219,282,746,16
ITA-Serie A,2425,Torino,468,261,217,181,70,232,437,53.1,205,338,133,205,278,882,21
ITA-Serie A,2425,Udinese,562,346,276,217,69,279,508,54.9,229,396,139,257,302,909,27
ITA-Serie A,2425,Venezia,605,361,319,202,84,286,572,50.0,286,439,145,294,279,921,25
ITA-Serie A,2526,Atalanta,49,33,23,18,8,22,40,55.0,18,24,9,15,18,97,1
ITA-Serie A,2526,Bologna,43,27,23,18,2,23,43,53.5,20,26,10,16,19,59,6
ITA-Serie A,2526,Cagliari,42,23,25,14,3,13,33,39.4,20,25,14,11,17,102,4
ITA-Serie A,2526,Como,56,34,24,22,10,23,51,45.1,28,43,15,28,23,61,0
ITA-Serie A,2526,Cremonese,44,28,20,18,6,30,56,53.6,26,38,15,23,15,91,3
ITA-Serie A,2526,Fiorentina,42,24,16,20,6,17,34,50.0,17,23,7,16,22,55,1
ITA-Serie A,2526,Genoa,74,47,34,31,9,38,53,71.7,15,44,15,29,22,63,0
ITA-Serie A,2526,Hellas Verona,53,31,34,15,4,22,49,44.9,27,34,13,21,28,71,2
ITA-Serie A,2526,Inter,35,18,16,12,7,11,28,39.3,17,25,10,15,17,55,3
ITA-Serie A,2526,Juventus,58,32,19,28,11,23,35,65.7,12,25,11,14,24,83,2
ITA-Serie A,2526,Lazio,45,25,22,15,8,26,51,51.0,25,24,5,19,34,43,6
ITA-Serie A,2526,Lecce,44,23,25,15,4,25,51,49.0,26,27,6,21,22,65,3
ITA-Serie A,2526,Milan,40,27,26,10,4,19,33,57.6,14,15,6,9,18,64,2
ITA-Serie A,2526,Napoli,32,23,17,12,3,14,33,42.4,19,25,9,16,18,48,2
ITA-Serie A,2526,Parma,42,26,17,19,6,23,49,46.9,26,34,12,22,19,50,1
ITA-Serie A,2526,Pisa,53,30,21,30,2,24,62,38.7,38,35,12,23,23,97,3
ITA-Serie A,2526,Roma,41,20,15,21,5,22,37,59.5,15,23,2,21,23,52,0
ITA-Serie A,2526,Sassuolo,47,33,25,14,8,22,42,52.4,20,38,11,27,27,75,3
ITA-Serie A,2526,Torino,40,24,23,12,5,21,34,61.8,13,26,14,12,14,76,4
ITA-Serie A,2526,Udinese,34,19,16,14,4,18,46,39.1,28,29,9,20,12,123,2
