league,season,team,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
ITA-Serie A,2425,Juventus,908,23.89,690,60,55,58,31,14,94,2.47,69,5,8,7,3,2
ITA-Serie A,2425,Lazio,954,25.11,712,67,49,76,32,18,103,2.71,76,4,7,10,5,1
ITA-Serie A,2425,Lecce,777,20.45,547,77,38,45,50,20,47,1.24,36,3,1,4,3,0
ITA-Serie A,2425,Milan,1011,26.61,749,70,72,62,39,19,107,2.82,69,7,6,14,8,3
ITA-Serie A,2425,Monza,588,15.47,437,56,25,34,31,5,43,1.13,32,3,1,6,0,1
ITA-Serie A,2425,Napoli,882,23.21,672,70,39,61,28,12,100,2.63,75,4,7,6,7,1
ITA-Serie A,2425,Parma,749,19.71,542,61,49,37,45,15,73,1.92,47,6,7,6,5,2
ITA-Serie A,2425,Roma,934,24.58,695,81,34,67,47,10,95,2.5,67,3,4,11,8,2
ITA-Serie A,2425,Torino,663,17.45,500,52,24,48,29,10,58,1.53,38,6,4,5,4,1
ITA-Serie A,2425,Udinese,757,19.92,557,67,31,52,31,19,61,1.61,33,4,5,14,3,2
ITA-Serie A,2425,Venezia,685,18.03,491,67,37,36,45,9,49,1.29,26,5,3,8,7,0
ITA-Serie A,2526,Atalanta,88,29.33,69,4,5,6,1,3,10,3.33,8,1,0,0,0,1
ITA-Serie A,2526,Bologna,55,18.33,38,10,1,3,2,1,2,0.67,2,0,0,0,0,0
ITA-Serie A,2526,Cagliari,65,21.67,46,9,1,3,4,2,4,1.33,0,1,0,2,1,0
ITA-Serie A,2526,Como,83,27.67,62,4,8,5,2,2,6,2.0,4,0,1,0,1,0
ITA-Serie A,2526,Cremonese,37,12.33,25,4,4,3,1,0,9,3.0,5,2,0,1,1,0
ITA-Serie A,2526,Fiorentina,67,22.33,52,3,3,6,3,0,3,1.0,2,0,0,1,0,0
ITA-Serie A,2526,Genoa,47,15.67,28,6,4,7,1,1,1,0.33,0,0,0,1,0,0
ITA-Serie A,2526,Hellas Verona,69,23.0,47,6,6,5,2,3,1,0.33,0,0,0,1,0,0
ITA-Serie A,2526,Inter,91,30.33,60,14,3,11,3,0,13,4.33,10,2,0,1,0,0
ITA-Serie A,2526,Juventus,94,31.33,70,8,4,8,3,1,14,4.67,11,2,0,0,1,0
ITA-Serie A,2526,Lazio,75,25.0,49,8,7,5,6,0,8,2.67,6,1,0,0,1,0
ITA-Serie A,2526,Lecce,46,15.33,32,6,4,4,0,0,2,0.67,2,0,0,0,0,0
ITA-Serie A,2526,Milan,97,32.33,70,10,6,7,3,1,6,2.0,4,1,0,0,1,0
ITA-Serie A,2526,Napoli,77,25.67,53,4,6,9,4,1,11,3.67,7,0,0,2,2,0
ITA-Serie A,2526,Parma,54,18.0,32,7,3,5,5,2,1,0.33,0,0,0,1,0,0
ITA-Serie A,2526,Pisa,54,18.0,40,4,5,2,1,2,0,0.0,0,0,0,0,0,0
ITA-Serie A,2526,Roma,81,27.0,59,7,2,5,5,3,2,0.67,2,0,0,0,0,0
ITA-Serie A,2526,Sassuolo,47,15.67,36,3,1,3,2,2,5,1.67,3,0,0,1,1,0
ITA-Serie A,2526,Torino,48,16.0,35,6,3,0,2,2,2,0.67,2,0,0,0,0,0
ITA-Serie A,2526,Udinese,62,20.67,48,4,4,3,3,0,6,2.0,4,1,0,1,0,0
