league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Atalanta,Valentin Mihaila,ROU,"MF,FW",21,2000,0.8,49,0,7,14,28,6,49,3,2,66.7,1,33.3,24,145,78,3,0,3,7,1,31,8
ITA-Serie A,2122,Bologna,Aaron Hickey,SCO,DF,19,2002,31.3,1602,80,483,671,458,25,1602,49,30,61.2,19,38.8,831,4703,2261,57,43,8,48,27,961,156
ITA-Serie A,2122,Bologna,Adama Soumaoro,FRA,DF,29,1992,25.2,1253,136,563,616,80,17,1253,10,8,80.0,2,20.0,628,3045,1642,16,20,1,13,5,766,10
ITA-Serie A,2122,Bologna,Andreas Skov Olsen,DEN,"FW,DF",21,1999,8.3,491,12,90,203,202,19,491,15,5,33.3,10,66.7,253,1832,823,29,24,8,19,5,325,52
ITA-Serie A,2122,Bologna,Antonio Raimondo,ITA,FW,17,2004,0.8,22,1,5,7,10,5,22,4,0,0.0,4,100.0,12,55,2,0,0,0,1,4,15,3
ITA-Serie A,2122,Bologna,Arthur Theate,BEL,DF,21,2000,26.9,1723,144,776,839,135,21,1723,29,19,65.5,10,34.5,1045,5795,3384,37,38,1,22,10,1160,17
ITA-Serie A,2122,Bologna,Denso Kasius,NED,"DF,FW",18,2002,2.0,161,4,40,73,48,2,161,8,3,37.5,5,62.5,89,619,271,6,4,2,6,0,97,20
ITA-Serie A,2122,Bologna,Diego Falcinelli,ITA,FW,30,1991,0.7,45,1,5,17,24,9,45,4,2,50.0,2,50.0,26,125,62,1,1,0,6,3,33,9
ITA-Serie A,2122,Bologna,Ebenezer Annan,GHA,DF,18,2002,0.3,14,0,4,7,3,0,14,0,0,,0,,4,35,29,2,1,0,0,0,4,0
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,6.6,459,6,70,235,158,15,459,14,12,85.7,2,14.3,274,1787,834,22,17,4,10,9,320,37
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,0.7,37,1,2,16,20,4,37,2,0,0.0,2,100.0,19,80,30,0,0,0,1,3,33,7
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,54,49,54,0,0,0,54,0,0,,0,,25,142,83,0,0,0,0,0,22,0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,31.4,1943,379,1111,819,29,2,1943,13,10,76.9,3,23.1,1108,5151,2641,12,5,2,8,2,1195,5
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,1.2,63,11,23,28,12,0,63,2,2,100.0,0,0.0,24,88,32,0,1,0,0,1,35,3
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,15.5,968,63,279,547,148,4,968,25,22,88.0,3,12.0,447,2079,843,9,13,1,25,11,601,13
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,0.5,30,2,11,17,2,0,30,2,0,0.0,2,100.0,13,58,18,0,0,0,1,0,12,0
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,13.4,833,95,384,404,61,10,833,21,17,81.0,4,19.0,458,2804,1505,18,16,0,10,4,505,4
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,0.8,39,4,17,20,3,0,39,0,0,,0,,17,68,16,0,0,0,1,0,21,0
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,25.5,1593,88,478,758,363,42,1593,18,6,33.3,12,66.7,743,3617,1879,47,29,2,32,17,983,75
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,7.2,415,65,223,182,14,4,415,4,2,50.0,2,50.0,187,905,425,1,2,0,1,2,229,1
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,29.9,1203,19,72,525,618,154,1200,59,37,62.7,22,37.3,639,2856,903,34,21,16,81,36,941,221
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,28.5,1327,45,269,700,372,30,1327,53,28,52.8,25,47.2,712,3707,1840,39,40,3,37,22,908,57
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,4.9,292,12,68,171,56,8,292,4,1,25.0,3,75.0,143,635,297,2,2,2,9,5,196,9
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,7.7,427,18,147,156,131,13,427,28,12,42.9,16,57.1,228,1373,762,21,13,4,12,4,254,24
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,23.7,1193,6,118,495,600,78,1193,63,31,49.2,32,50.8,753,4411,2030,61,51,22,63,52,911,158
