league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Napoli,Mário Rui,POR,DF,30,1991,33.2,2736,102,764,1346,642,53,2736,24,14,58.3,10,41.7,1546,6455,3767,67,35,13,25,14,1892,155
ITA-Serie A,2122,Napoli,Piotr Zieliński,POL,MF,27,1994,23.2,1336,11,134,709,498,69,1336,36,17,47.2,19,52.8,795,3909,1825,50,47,3,39,17,1038,95
ITA-Serie A,2122,Napoli,Stanislav Lobotka,SVK,MF,26,1994,18.7,1541,48,277,1095,185,3,1541,16,13,81.3,3,18.8,1130,5428,2400,25,35,0,13,12,1249,13
ITA-Serie A,2122,Napoli,Victor Osimhen,NGA,FW,22,1998,22.0,617,22,34,220,372,142,617,54,30,55.6,24,44.4,380,2521,1059,49,36,24,76,32,502,178
ITA-Serie A,2122,Roma,Ainsley Maitland-Niles,ENG,DF,23,1997,5.4,376,9,100,157,120,7,376,10,6,60.0,4,40.0,175,851,477,13,7,1,6,3,216,33
ITA-Serie A,2122,Roma,Amadou Diawara,GUI,MF,24,1997,1.9,82,3,22,51,9,0,82,1,1,100.0,0,0.0,34,106,36,0,0,0,0,0,50,0
ITA-Serie A,2122,Roma,Borja Mayoral,ESP,"FW,DF",24,1997,1.1,47,0,2,21,25,4,47,4,1,25.0,3,75.0,26,81,15,0,1,0,2,0,40,8
ITA-Serie A,2122,Roma,Bryan Cristante,ITA,MF,26,1995,29.8,2112,85,461,1393,272,42,2112,30,23,76.7,7,23.3,1099,5646,2749,31,33,0,19,15,1431,24
ITA-Serie A,2122,Roma,Bryan Reynolds,USA,DF,20,2001,0.0,4,0,2,1,1,0,4,0,0,,0,,2,3,1,0,0,0,0,0,2,1
ITA-Serie A,2122,Roma,Carles Pérez,ESP,"MF,FW",23,1998,6.2,334,0,27,114,194,31,334,20,11,55.0,9,45.0,206,1431,735,25,20,9,15,11,231,52
ITA-Serie A,2122,Roma,Chris Smalling,ENG,DF,31,1989,23.2,1268,172,711,533,34,23,1268,4,3,75.0,1,25.0,672,2675,1125,4,3,0,6,1,790,5
ITA-Serie A,2122,Roma,Cristian Volpato,ITA,"FW,MF",17,2003,0.4,30,0,1,11,19,6,30,2,1,50.0,1,50.0,25,197,82,4,3,3,2,1,24,7
ITA-Serie A,2122,Roma,Dimitrios Keramitsis,GRE,MF,17,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ITA-Serie A,2122,Roma,Ebrima Darboe,GAM,MF,20,2001,0.7,45,1,5,34,6,1,45,0,0,,0,,34,120,15,0,0,0,1,0,33,2
ITA-Serie A,2122,Roma,Edoardo Bove,ITA,"MF,DF",19,2002,0.8,44,0,7,26,11,2,44,1,1,100.0,0,0.0,24,112,49,2,1,0,4,0,29,2
ITA-Serie A,2122,Roma,Eldor Shomurodov,UZB,"FW,MF",26,1995,8.7,341,3,24,130,191,69,341,12,3,25.0,9,75.0,179,1367,654,28,15,12,22,16,248,85
ITA-Serie A,2122,Roma,Felix Afena-Gyan,GHA,"FW,MF",18,2003,7.4,278,0,17,91,175,39,278,20,5,25.0,15,75.0,193,1367,519,19,16,9,42,21,212,77
ITA-Serie A,2122,Roma,Gianluca Mancini,ITA,DF,25,1996,32.0,2067,229,951,1002,121,39,2067,5,4,80.0,1,20.0,1208,5810,3581,30,22,1,13,3,1525,17
ITA-Serie A,2122,Roma,Henrikh Mkhitaryan,ARM,"MF,FW",32,1989,27.7,1502,37,209,789,528,66,1502,56,34,60.7,22,39.3,788,4894,2549,81,61,15,58,27,1004,139
ITA-Serie A,2122,Roma,Jordan Veretout,FRA,MF,28,1993,25.8,1617,43,296,947,387,31,1615,19,14,73.7,5,26.3,912,4802,2204,49,32,4,24,11,1135,70
ITA-Serie A,2122,Roma,Leonardo Spinazzola,ITA,DF,28,1993,1.4,91,5,26,36,29,2,91,8,3,37.5,5,62.5,53,268,108,4,0,2,3,2,57,10
ITA-Serie A,2122,Roma,Lorenzo Pellegrini,ITA,MF,25,1996,25.4,1465,23,140,667,681,117,1462,91,43,47.3,48,52.7,784,4952,2202,76,51,24,64,24,976,181
ITA-Serie A,2122,Roma,Marash Kumbulla,ALB,DF,21,2000,11.4,737,48,348,368,24,9,737,1,1,100.0,0,0.0,453,2036,1147,5,1,0,6,2,503,0
ITA-Serie A,2122,Roma,Matías Viña,URU,"DF,FW",23,1997,17.4,1053,48,311,501,254,26,1053,29,14,48.3,15,51.7,456,2275,1388,41,22,8,32,6,570,68
ITA-Serie A,2122,Roma,Nicola Zalewski,POL,DF,19,2002,8.8,635,6,201,294,155,13,635,30,15,50.0,15,50.0,316,2376,1443,43,24,8,16,7,354,35
ITA-Serie A,2122,Roma,Nicolò Zaniolo,ITA,"FW,MF",22,1999,21.9,882,7,78,362,475,100,882,114,56,49.1,57,50.0,589,4704,2143,87,67,27,95,53,690,205
ITA-Serie A,2122,Roma,Riccardo Calafiori,ITA,DF,19,2002,1.9,98,2,28,40,32,1,98,3,2,66.7,1,33.3,53,296,146,3,4,0,2,0,56,6
ITA-Serie A,2122,Roma,Rick Karsdorp,NED,"DF,FW",26,1995,32.0,2008,59,538,923,571,40,2008,23,13,56.5,10,43.5,1082,4702,2273,46,45,10,31,8,1303,210
ITA-Serie A,2122,Roma,Roger Ibanez,BRA,DF,22,1998,32.1,2275,195,1102,1088,110,37,2275,16,10,62.5,6,37.5,1359,7928,4376,33,29,2,33,12,1507,15
ITA-Serie A,2122,Roma,Rui Patrício,POR,GK,33,1988,38.0,1138,1008,1136,2,0,0,1138,1,1,100.0,0,0.0,606,3288,1824,0,0,0,2,0,493,0
ITA-Serie A,2122,Roma,Stephan El Shaarawy,ITA,"FW,DF",28,1992,11.7,727,8,96,316,326,61,727,39,20,51.3,19,48.7,425,3015,1745,58,42,20,22,13,495,105
ITA-Serie A,2122,Roma,Sérgio Oliveira,POR,MF,29,1992,9.9,600,14,126,349,133,11,599,15,8,53.3,7,46.7,285,1355,605,10,8,1,9,10,393,16
ITA-Serie A,2122,Roma,Tammy Abraham,ENG,FW,23,1997,34.3,1064,32,73,508,495,173,1061,77,38,49.4,39,50.6,494,2592,1129,41,31,22,86,41,736,199
ITA-Serie A,2122,Salernitana,Alessandro Russo,ITA,MF,17,2003,0.3,9,1,4,4,2,1,9,0,0,,0,,5,26,24,0,0,0,0,0,4,1
ITA-Serie A,2122,Salernitana,Andrea Schiavone,ITA,MF,28,1993,6.3,305,20,63,183,59,8,305,2,1,50.0,1,50.0,135,551,256,5,3,0,8,1,152,7
ITA-Serie A,2122,Salernitana,Andrei Motoc,MDA,DF,19,2002,1.0,36,5,23,12,1,0,36,1,1,100.0,0,0.0,19,66,35,0,0,0,1,0,19,0
ITA-Serie A,2122,Salernitana,Cedric Gondo,CIV,FW,24,1996,7.8,281,6,32,103,151,41,281,20,11,55.0,9,45.0,197,1037,385,15,9,7,39,19,227,74
ITA-Serie A,2122,Salernitana,Diego Perotti,ARG,"MF,FW",33,1988,3.2,197,9,32,77,92,15,196,13,8,61.5,5,38.5,112,820,492,14,13,4,7,6,124,25
ITA-Serie A,2122,Salernitana,Edoardo Vergani,ITA,"FW,MF",20,2001,1.1,41,5,11,15,15,3,41,1,0,0.0,1,100.0,21,66,9,0,0,0,7,1,28,7
ITA-Serie A,2122,Salernitana,Emil Bohinen,NOR,MF,22,1999,7.8,402,26,92,226,90,7,402,17,11,64.7,6,35.3,179,1138,653,14,10,2,11,9,195,13
ITA-Serie A,2122,Salernitana,Federico Bonazzoli,ITA,"FW,MF",24,1997,20.7,781,5,65,403,325,57,779,30,15,50.0,15,50.0,463,2175,1025,25,23,1,60,25,555,85
ITA-Serie A,2122,Salernitana,Federico Fazio,ARG,DF,34,1987,15.9,817,107,347,403,77,27,817,11,9,81.8,2,18.2,361,2193,1390,19,16,4,12,3,418,6
ITA-Serie A,2122,Salernitana,Filippo Delli Carri,ITA,DF,22,1999,3.7,168,21,83,61,26,6,168,1,1,100.0,0,0.0,68,232,110,3,5,0,6,1,80,7
ITA-Serie A,2122,Salernitana,Francesco Di Tacchio,ITA,MF,31,1990,13.9,683,44,169,438,84,8,683,10,6,60.0,4,40.0,338,1251,558,5,7,1,17,7,369,5
ITA-Serie A,2122,Salernitana,Franck Ribéry,FRA,"MF,FW",38,1983,15.8,865,3,80,407,386,59,865,63,28,44.4,35,55.6,569,3842,1864,65,48,30,70,52,621,95
ITA-Serie A,2122,Salernitana,Freddie Veseli,ALB,DF,28,1992,6.6,268,37,122,129,19,0,268,2,2,100.0,0,0.0,123,444,267,2,3,0,2,3,137,5
ITA-Serie A,2122,Salernitana,Grigoris Kastanos,CYP,"MF,FW",23,1998,15.0,772,27,138,361,289,28,772,46,22,47.8,24,52.2,441,2105,1101,27,29,7,27,14,473,54
ITA-Serie A,2122,Salernitana,Ivan Radovanović,SRB,"DF,MF",32,1988,11.7,607,60,272,276,66,14,607,1,1,100.0,0,0.0,313,1693,847,11,10,0,4,1,374,6
ITA-Serie A,2122,Salernitana,Joel Obi,NGA,"MF,DF",30,1991,12.7,493,17,120,238,143,26,493,7,4,57.1,3,42.9,264,1220,373,10,12,0,20,16,289,46
ITA-Serie A,2122,Salernitana,Julian Kristoffersen,NOR,FW,24,1997,0.1,3,0,0,1,2,1,3,0,0,,0,,0,0,0,0,0,0,0,0,2,0
ITA-Serie A,2122,Salernitana,Lassana Coulibaly,MLI,MF,25,1996,25.9,1139,64,273,666,229,8,1139,64,35,54.7,29,45.3,650,4205,1814,39,38,1,35,20,632,38
ITA-Serie A,2122,Salernitana,Leonardo Capezzi,ITA,MF,26,1995,1.9,76,7,14,40,22,1,76,2,2,100.0,0,0.0,35,129,56,1,1,0,7,5,33,5
ITA-Serie A,2122,Salernitana,Luca Ranieri,ITA,DF,22,1999,23.4,1214,94,374,575,275,22,1214,36,17,47.2,19,52.8,564,2654,1488,37,22,1,21,10,644,69
ITA-Serie A,2122,Salernitana,Luigi Sepe,ITA,GK,30,1991,15.5,604,490,596,8,0,0,604,1,0,0.0,1,100.0,318,1697,1123,0,2,2,0,0,240,0
ITA-Serie A,2122,Salernitana,Luka Bogdan,CRO,DF,25,1996,4.4,178,30,113,61,7,3,178,0,0,,0,,84,322,130,1,3,0,2,0,82,0
ITA-Serie A,2122,Salernitana,Lys Mousset,FRA,"MF,FW",25,1996,1.8,65,0,2,32,32,6,65,7,3,42.9,4,57.1,37,219,124,3,2,1,8,2,45,11
ITA-Serie A,2122,Salernitana,Mamadou Coulibaly,SEN,MF,22,1999,9.0,444,11,96,228,131,12,444,26,18,69.2,8,30.8,245,1594,699,16,12,1,27,6,255,30
ITA-Serie A,2122,Salernitana,Mario Perrone,ITA,DF,18,2003,0.2,10,1,4,5,1,0,10,0,0,,0,,2,3,1,0,0,0,0,0,7,0
ITA-Serie A,2122,Salernitana,Matteo Ruggeri,ITA,DF,19,2002,7.5,366,40,117,157,94,10,366,6,3,50.0,3,50.0,146,649,320,10,4,1,9,3,200,19
ITA-Serie A,2122,Salernitana,Mikael,BRA,"FW,MF",22,1999,1.0,39,1,1,17,21,2,39,2,0,0.0,2,100.0,19,93,13,0,2,0,5,1,30,3
ITA-Serie A,2122,Salernitana,Milan Đurić,BIH,FW,31,1990,24.1,870,36,66,421,386,146,869,16,8,50.0,8,50.0,373,1065,305,7,12,1,37,20,731,100
ITA-Serie A,2122,Salernitana,Nadir Zortea,ITA,"DF,MF",22,1999,15.7,666,44,167,262,253,18,666,50,26,52.0,24,48.0,339,2287,1223,49,27,10,32,13,357,74
ITA-Serie A,2122,Salernitana,Norbert Gyömbér,SVK,DF,29,1992,28.5,1359,206,701,572,92,18,1359,3,2,66.7,1,33.3,619,2881,1273,5,2,0,13,6,678,12
ITA-Serie A,2122,Salernitana,Pasquale Mazzocchi,ITA,DF,26,1995,14.1,725,41,217,293,227,10,725,37,18,48.6,19,51.4,361,2547,1282,43,25,4,31,12,392,46
ITA-Serie A,2122,Salernitana,Paweł Jaroszyński,POL,DF,26,1994,5.7,284,29,122,106,58,2,284,4,1,25.0,3,75.0,138,561,300,4,7,0,2,1,124,11
ITA-Serie A,2122,Salernitana,Radu Drăgușin,ROU,DF,19,2002,5.4,215,36,109,102,9,2,215,1,0,0.0,1,100.0,107,569,194,1,3,2,3,0,96,1
ITA-Serie A,2122,Salernitana,Ramzi Aya,ITA,DF,30,1990,1.5,33,4,11,18,4,0,33,0,0,,0,,16,47,30,0,0,0,0,0,15,2
ITA-Serie A,2122,Salernitana,Riccardo Gagliolo,SWE,DF,31,1990,12.6,651,83,315,283,63,11,651,6,4,66.7,2,33.3,318,1514,883,10,4,0,6,3,318,8
ITA-Serie A,2122,Salernitana,Simeon Nwankwo,NGA,FW,29,1992,9.4,279,14,27,128,127,42,279,10,7,70.0,3,30.0,167,571,180,3,4,2,30,23,223,48
ITA-Serie A,2122,Salernitana,Simone Verdi,ITA,"FW,MF",29,1992,9.2,459,3,39,190,239,18,458,45,27,60.0,18,40.0,271,1924,882,35,26,7,19,19,285,38
ITA-Serie A,2122,Salernitana,Stefan Strandberg,NOR,DF,31,1990,10.4,629,86,315,280,41,12,629,2,2,100.0,0,0.0,341,1828,1147,8,4,0,3,1,362,1
ITA-Serie A,2122,Salernitana,Vid Belec,SVN,GK,31,1990,21.5,629,562,628,1,0,0,629,0,0,,0,,308,2007,1375,0,0,0,1,0,180,0
ITA-Serie A,2122,Salernitana,Vincenzo Fiorillo,ITA,GK,31,1990,1.0,35,33,35,0,0,0,35,0,0,,0,,16,55,46,0,0,0,0,0,15,0
ITA-Serie A,2122,Salernitana,Wajdi Kechrida,TUN,"DF,MF",25,1995,10.6,411,23,100,182,133,15,411,5,2,40.0,3,60.0,219,1061,589,16,14,2,10,10,234,30
ITA-Serie A,2122,Salernitana,Éderson,BRA,MF,22,1999,12.7,547,21,122,293,145,26,547,38,19,50.0,19,50.0,341,1867,948,25,27,4,24,17,353,39
ITA-Serie A,2122,Sampdoria,Abdelhamid Sabiri,MAR,"MF,FW",24,1996,9.9,481,5,52,256,181,24,481,30,17,56.7,13,43.3,275,1246,525,13,14,4,32,18,347,36
ITA-Serie A,2122,Sampdoria,Adrien Silva,POR,MF,32,1989,12.0,750,40,197,461,99,6,750,13,10,76.9,3,23.1,418,1762,898,14,8,1,22,11,442,14
ITA-Serie A,2122,Sampdoria,Albin Ekdal,SWE,MF,32,1989,18.2,941,51,279,547,126,24,941,23,15,65.2,8,34.8,455,2192,914,10,11,1,13,11,511,20
ITA-Serie A,2122,Sampdoria,Alex Ferrari,ITA,DF,27,1994,18.3,1032,142,571,431,36,4,1032,14,4,28.6,10,71.4,544,2389,1147,7,7,1,10,3,581,5
ITA-Serie A,2122,Sampdoria,Andrea Conti,ITA,"DF,MF",27,1994,2.6,114,11,41,42,31,8,114,3,2,66.7,1,33.3,54,186,79,3,3,1,4,0,64,13
ITA-Serie A,2122,Sampdoria,Antonio Candreva,ITA,"MF,FW",34,1987,34.7,2263,43,328,1007,955,80,2261,51,21,41.2,30,58.8,1424,7478,3352,105,97,23,58,35,1627,223
ITA-Serie A,2122,Sampdoria,Bartosz Bereszyński,POL,DF,29,1992,32.7,1939,113,684,846,426,31,1939,47,27,57.4,20,42.6,1011,4722,2256,52,32,5,38,17,1076,108
ITA-Serie A,2122,Sampdoria,Emil Audero,IDN,GK,24,1997,28.4,1076,953,1074,2,0,0,1076,0,0,,0,,593,2866,1726,0,0,0,0,0,501,0
ITA-Serie A,2122,Sampdoria,Ernesto Torregrossa,VEN,FW,29,1992,1.3,58,1,3,24,31,6,58,4,0,0.0,4,100.0,32,159,61,2,3,1,6,1,50,14
ITA-Serie A,2122,Sampdoria,Fabio Depaoli,ITA,"MF,DF",24,1997,1.2,52,2,14,21,18,2,52,2,1,50.0,1,50.0,24,105,43,0,2,0,5,0,29,6
ITA-Serie A,2122,Sampdoria,Fabio Quagliarella,ITA,FW,38,1983,18.5,655,14,49,291,321,74,654,23,11,47.8,12,52.2,383,1517,575,17,12,2,49,26,490,140
ITA-Serie A,2122,Sampdoria,Francesco Caputo,ITA,FW,33,1987,31.0,790,11,53,363,378,140,789,27,13,48.1,14,51.9,454,1965,715,30,16,23,57,16,623,196
ITA-Serie A,2122,Sampdoria,Gerard Yepes,ESP,"MF,DF",18,2002,0.2,24,1,9,15,0,0,24,0,0,,0,,12,92,37,0,0,0,0,0,14,1
ITA-Serie A,2122,Sampdoria,Giangiacomo Magnani,ITA,DF,25,1995,2.7,185,30,126,59,0,0,185,0,0,,0,,117,562,339,2,0,0,1,0,132,0
ITA-Serie A,2122,Sampdoria,Julian Chabot,GER,DF,23,1998,5.4,331,41,168,158,7,4,331,2,0,0.0,2,100.0,149,744,444,0,0,0,4,2,172,1
ITA-Serie A,2122,Sampdoria,Kristoffer Askildsen,NOR,MF,20,2001,8.4,323,36,101,160,66,8,323,5,4,80.0,1,20.0,138,602,239,5,4,1,9,5,157,11
ITA-Serie A,2122,Sampdoria,Manolo Gabbiadini,ITA,"FW,MF",29,1991,12.7,465,14,53,220,193,32,465,10,4,40.0,6,60.0,270,1111,458,13,9,3,29,16,342,57
ITA-Serie A,2122,Sampdoria,Maya Yoshida,JPN,DF,32,1988,20.3,1139,179,630,471,39,15,1139,2,2,100.0,0,0.0,601,2440,1161,7,3,0,9,4,672,5
ITA-Serie A,2122,Sampdoria,Mikkel Damsgaard,DEN,"MF,FW",21,2000,6.4,352,9,60,155,145,23,352,25,16,64.0,9,36.0,202,1050,522,11,11,2,12,10,235,40
ITA-Serie A,2122,Sampdoria,Morten Thorsby,NOR,MF,25,1996,32.7,1343,74,286,762,305,68,1343,25,13,52.0,12,48.0,572,2106,902,18,13,1,64,22,806,51
ITA-Serie A,2122,Sampdoria,Nicola Murru,ITA,DF,26,1994,10.9,576,38,208,258,116,12,576,9,4,44.4,5,55.6,282,1335,807,20,11,0,15,10,311,30
ITA-Serie A,2122,Sampdoria,Nicola Ravaglia,ITA,GK,32,1988,0.1,5,4,5,0,0,0,5,0,0,,0,,2,6,1,0,0,0,0,0,2,0
ITA-Serie A,2122,Sampdoria,Omar Colley,GAM,DF,28,1992,30.5,1791,300,1046,711,46,19,1791,3,3,100.0,0,0.0,986,4578,2476,12,11,0,11,1,1001,4
ITA-Serie A,2122,Sampdoria,Radu Drăgușin,ROU,DF,19,2002,6.9,337,44,154,142,45,2,337,1,1,100.0,0,0.0,140,719,280,6,4,0,2,4,132,10
ITA-Serie A,2122,Sampdoria,Riccardo Ciervo,ITA,"MF,DF",19,2002,2.5,94,2,18,42,36,8,94,4,2,50.0,2,50.0,52,432,220,10,3,2,4,1,55,12
ITA-Serie A,2122,Sampdoria,Ronaldo Vieira,ENG,MF,23,1998,5.5,337,14,94,214,32,2,337,4,2,50.0,2,50.0,205,875,373,8,6,1,5,6,236,5
ITA-Serie A,2122,Sampdoria,Sebastian Giovinco,ITA,MF,34,1987,0.4,17,0,0,6,11,1,17,0,0,,0,,9,40,6,0,1,0,2,0,10,2
ITA-Serie A,2122,Sampdoria,Simone Trimboli,ITA,MF,19,2002,0.7,57,0,14,33,11,2,57,0,0,,0,,34,191,97,2,0,0,3,0,42,4
ITA-Serie A,2122,Sampdoria,Stefano Sensi,ITA,"MF,FW",25,1995,8.4,488,10,78,258,160,15,488,25,13,52.0,12,48.0,305,1737,634,16,19,1,17,16,352,24
ITA-Serie A,2122,Sampdoria,Tommaso Augello,ITA,DF,26,1994,26.6,1614,96,616,633,384,14,1614,44,23,52.3,21,47.7,867,4352,2402,60,30,2,29,13,898,100
ITA-Serie A,2122,Sampdoria,Tomás Rincón,VEN,MF,33,1988,13.0,681,24,179,418,94,6,681,19,16,84.2,3,15.8,399,1755,861,12,10,2,11,13,481,19
ITA-Serie A,2122,Sampdoria,Valerio Verre,ITA,"MF,FW",27,1994,4.7,280,6,32,139,112,9,280,7,4,57.1,3,42.9,199,937,471,12,17,2,20,9,202,24
ITA-Serie A,2122,Sampdoria,Vladyslav Supriaha,UKR,FW,21,2000,0.2,6,0,0,3,3,0,6,0,0,,0,,4,37,8,0,1,0,2,0,6,0
ITA-Serie A,2122,Sampdoria,Wladimiro Falcone,ITA,GK,26,1995,9.5,389,355,387,1,1,0,389,0,0,,0,,226,1192,754,0,0,0,0,0,179,0
ITA-Serie A,2122,Sassuolo,Abdou Harroui,NED,MF,23,1998,5.0,365,8,64,209,99,15,365,6,3,50.0,3,50.0,235,1027,409,9,9,1,12,5,251,15
ITA-Serie A,2122,Sassuolo,Andrea Consigli,ITA,GK,34,1987,36.9,1572,1199,1557,15,0,0,1572,0,0,,0,,915,5130,3501,0,0,0,0,0,783,0
ITA-Serie A,2122,Sassuolo,Brian Oddei,ITA,FW,18,2002,0.1,6,0,2,1,4,1,6,1,1,100.0,0,0.0,5,52,29,1,0,0,0,0,5,1
ITA-Serie A,2122,Sassuolo,Davide Frattesi,ITA,MF,21,1999,31.7,1642,103,376,880,419,86,1642,64,42,65.6,22,34.4,923,5167,2728,79,61,20,59,22,1186,104
ITA-Serie A,2122,Sassuolo,Domenico Berardi,ITA,FW,26,1994,31.3,1804,31,184,794,859,115,1798,68,30,44.1,38,55.9,1172,6443,2824,77,67,26,63,43,1331,265
ITA-Serie A,2122,Sassuolo,Edoardo Goldaniga,ITA,"DF,MF",27,1993,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
ITA-Serie A,2122,Sassuolo,Emil Ceide,NOR,"FW,MF",19,2001,0.6,36,0,4,14,18,4,36,4,1,25.0,3,75.0,23,209,115,5,2,2,4,6,26,9
ITA-Serie A,2122,Sassuolo,Federico Peluso,ITA,DF,37,1984,0.1,4,0,1,4,0,0,4,0,0,,0,,1,34,32,0,0,0,0,0,0,0
ITA-Serie A,2122,Sassuolo,Filip Đuričić,SRB,"MF,FW",29,1992,7.5,308,9,43,137,135,24,308,29,18,62.1,11,37.9,215,1397,780,25,20,8,19,14,243,40
ITA-Serie A,2122,Sassuolo,Francesco Caputo,ITA,FW,33,1987,1.7,46,0,2,22,22,10,46,1,0,0.0,1,100.0,30,99,18,1,0,0,2,2,38,10
ITA-Serie A,2122,Sassuolo,Francesco Magnanelli,ITA,MF,36,1984,3.0,274,18,66,186,24,0,274,0,0,,0,,130,544,270,1,1,0,1,1,183,3
ITA-Serie A,2122,Sassuolo,Giacomo Raspadori,ITA,"MF,FW",21,2000,30.4,1359,25,180,610,585,113,1359,60,35,58.3,25,41.7,817,4044,1454,49,28,17,88,48,1002,178
ITA-Serie A,2122,Sassuolo,Giacomo Satalino,ITA,GK,22,1999,0.1,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ITA-Serie A,2122,Sassuolo,Gian Marco Ferrari,ITA,DF,29,1992,34.7,2556,368,1343,1140,85,32,2556,12,8,66.7,4,33.3,1495,6849,4258,21,17,1,23,5,1741,7
ITA-Serie A,2122,Sassuolo,Gianluca Pegolo,ITA,GK,40,1981,1.0,36,28,35,1,0,0,36,0,0,,0,,19,69,34,0,0,0,0,0,18,0
ITA-Serie A,2122,Sassuolo,Gianluca Scamacca,ITA,FW,22,1999,23.8,808,26,62,413,342,89,807,30,21,70.0,9,30.0,461,2146,737,21,22,6,74,49,630,149
ITA-Serie A,2122,Sassuolo,Giorgos Kyriakopoulos,GRE,"DF,FW",25,1996,21.9,1510,83,516,586,425,26,1510,54,35,64.8,19,35.2,923,5116,2836,78,46,11,23,19,1020,114
ITA-Serie A,2122,Sassuolo,Grégoire Defrel,MTQ,FW,30,1991,15.1,549,13,50,250,256,48,549,37,20,54.1,17,45.9,342,2076,835,26,19,12,39,32,405,94
ITA-Serie A,2122,Sassuolo,Hamed Junior Traorè,CIV,"FW,MF",21,2000,19.7,1104,10,169,492,460,88,1104,104,61,58.7,43,41.3,743,5120,2733,90,56,46,45,43,779,134
ITA-Serie A,2122,Sassuolo,Jeremie Boga,CIV,"FW,MF",24,1997,7.4,353,1,44,162,159,34,353,48,28,58.3,20,41.7,249,2201,1239,46,27,22,19,7,292,58
ITA-Serie A,2122,Sassuolo,Jeremy Toljan,GER,DF,26,1994,15.5,975,55,342,429,209,21,975,13,4,30.8,9,69.2,506,2710,1313,36,19,3,18,6,597,78
ITA-Serie A,2122,Sassuolo,Kaan Ayhan,TUR,DF,26,1994,15.0,999,115,477,504,21,5,999,1,1,100.0,0,0.0,574,3300,2328,19,3,0,2,0,692,2
ITA-Serie A,2122,Sassuolo,Luigi Samele,ITA,FW,19,2002,0.1,4,1,2,0,2,1,4,0,0,,0,,2,2,0,0,0,0,0,1,2,1
ITA-Serie A,2122,Sassuolo,Matheus Henrique,BRA,MF,23,1997,12.0,703,27,135,414,160,8,703,31,20,64.5,11,35.5,490,2686,1178,17,30,3,11,18,554,21
ITA-Serie A,2122,Sassuolo,Maxime Lopez,FRA,MF,23,1997,32.6,2895,128,746,1784,394,24,2895,46,30,65.2,16,34.8,1878,10544,5193,77,67,9,37,28,2231,41
ITA-Serie A,2122,Sassuolo,Mert Müldür,TUR,DF,22,1999,22.7,1423,77,422,723,288,19,1423,28,20,71.4,8,28.6,799,4316,2733,67,49,13,28,10,896,90
ITA-Serie A,2122,Sassuolo,Rogério,BRA,DF,23,1998,19.2,1312,67,413,598,318,18,1312,25,14,56.0,11,44.0,769,4452,2436,61,45,6,19,16,879,80
ITA-Serie A,2122,Sassuolo,Ruan,BRA,DF,22,1999,2.4,160,34,80,61,20,2,160,10,7,70.0,3,30.0,59,320,218,5,4,0,2,2,61,2
ITA-Serie A,2122,Sassuolo,Vlad Chiricheș,ROU,DF,31,1989,25.6,1563,229,808,741,26,9,1563,6,4,66.7,2,33.3,941,3763,1903,4,6,1,13,9,1019,3
ITA-Serie A,2122,Spezia,Aimar Sher,IRQ,MF,18,2002,0.5,30,1,8,18,4,0,30,0,0,,0,,11,65,17,0,2,0,1,0,13,0
ITA-Serie A,2122,Spezia,Arkadiusz Reca,POL,DF,26,1995,19.7,1101,85,433,446,229,10,1101,23,12,52.2,11,47.8,504,3188,1800,51,30,5,37,8,560,41
ITA-Serie A,2122,Spezia,Aurélien Nguiamba,FRA,MF,22,1999,0.6,40,2,9,26,5,0,40,1,1,100.0,0,0.0,19,48,23,1,0,0,0,0,21,1
ITA-Serie A,2122,Spezia,Daniele Verde,ITA,"FW,MF",25,1996,21.7,987,17,158,381,457,49,985,38,15,39.5,23,60.5,575,3484,1465,51,32,19,17,12,652,98
ITA-Serie A,2122,Spezia,Dimitris Nikolaou,GRE,DF,22,1998,36.0,2009,301,1137,831,58,6,2009,21,17,81.0,4,19.0,1155,6151,3416,33,18,1,28,10,1204,14
ITA-Serie A,2122,Spezia,Dávid Strelec,SVK,"FW,MF",20,2001,5.6,197,5,39,83,81,20,197,10,4,40.0,6,60.0,97,517,297,13,8,3,15,3,120,21
ITA-Serie A,2122,Spezia,Ebrima Colley,GAM,"FW,MF",21,2000,4.4,195,5,34,88,78,10,195,18,12,66.7,6,33.3,126,891,460,17,12,4,14,9,139,27
ITA-Serie A,2122,Spezia,Eddie Salcedo,ITA,"MF,FW",19,2001,4.8,205,7,22,85,100,28,205,9,3,33.3,6,66.7,109,541,182,8,5,5,14,7,145,29
ITA-Serie A,2122,Spezia,Emmanuel Gyasi,GHA,"FW,MF",27,1994,33.7,1272,67,296,522,471,87,1272,55,33,60.0,22,40.0,767,4002,1567,44,38,17,81,52,865,145
