league,season,team,player,nationality,position,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
ITA-Serie A,2223,Fiorentina,Jonathan Ikone,FRA,FW,24,1998,22.3,67,3.01,50,0,11,3,3,0,14,0.63,9,0,3,0,2,0
ITA-Serie A,2223,Fiorentina,Josip Brekalo,CRO,"FW,MF",24,1998,2.5,16,6.29,10,0,2,1,2,1,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Lorenzo Venuti,ITA,DF,27,1995,10.3,24,2.34,15,6,2,1,0,0,2,0.19,1,1,0,0,0,0
ITA-Serie A,2223,Fiorentina,Luca Ranieri,ITA,DF,23,1999,5.6,4,0.71,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Lucas Martínez Quarta,ARG,DF,26,1996,24.1,28,1.16,21,2,0,4,0,1,2,0.08,2,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Luka Jović,SRB,"FW,MF",24,1997,17.0,48,2.82,33,0,5,8,2,0,4,0.23,3,0,1,0,0,0
ITA-Serie A,2223,Fiorentina,Marco Benassi,ITA,DF,27,1994,1.0,1,0.97,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Michele Cerofolini,ITA,GK,23,1999,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Nicolás González,ARG,"FW,MF",24,1998,15.0,62,4.12,40,0,4,6,11,1,3,0.2,2,0,0,1,0,0
ITA-Serie A,2223,Fiorentina,Nikola Milenković,SRB,DF,24,1997,23.7,24,1.01,21,0,0,3,0,0,2,0.08,2,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Pierluigi Gollini,ITA,GK,27,1995,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Pietro Terracciano,ITA,GK,32,1990,29.0,4,0.14,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Riccardo Saponara,ITA,FW,30,1991,13.4,49,3.66,36,0,4,5,3,1,5,0.37,4,0,0,1,0,0
ITA-Serie A,2223,Fiorentina,Riccardo Sottil,ITA,FW,23,1999,9.3,40,4.32,31,0,2,4,3,0,2,0.22,2,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Rolando Mandragora,ITA,MF,25,1997,21.7,87,4.02,59,19,0,6,2,1,8,0.37,5,1,0,1,1,0
ITA-Serie A,2223,Fiorentina,Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Sofyan Amrabat,MAR,MF,25,1996,22.2,44,1.98,38,0,0,0,2,4,4,0.18,3,0,0,0,0,1
ITA-Serie A,2223,Fiorentina,Szymon Żurkowski,POL,MF,24,1997,0.4,2,5.63,2,0,0,0,0,0,1,2.81,1,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Youssef Maleh,MAR,MF,23,1998,3.3,7,2.12,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Adolfo Gaich,ARG,FW,23,1999,8.1,19,2.36,14,0,2,0,2,1,1,0.12,0,0,0,0,1,0
ITA-Serie A,2223,Hellas Verona,Adrien Tameze,CMR,MF,28,1994,33.7,53,1.57,44,2,1,1,4,1,3,0.09,3,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Ajdin Hrustic,AUS,MF,26,1996,2.5,7,2.79,6,1,0,0,0,0,1,0.4,1,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Alessandro Cortinovis,ITA,MF,21,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Antonín Barák,CZE,MF,27,1994,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Bruno Amione,ARG,DF,20,2002,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Cyril Ngonge,BEL,"MF,FW",22,2000,8.3,27,3.27,13,3,4,6,1,0,3,0.36,1,1,0,1,0,0
ITA-Serie A,2223,Hellas Verona,Darko Lazović,SRB,"MF,DF",31,1990,24.9,67,2.69,46,11,5,2,0,3,5,0.2,3,2,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Davide Faraoni,ITA,DF,30,1991,16.5,28,1.7,18,2,4,4,0,0,4,0.24,2,0,1,1,0,0
ITA-Serie A,2223,Hellas Verona,Deyovaisio Zeefuik,NED,DF,24,1998,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Diego Coppola,ITA,DF,18,2003,13.1,9,0.69,6,2,0,0,0,1,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Fabio Depaoli,ITA,DF,25,1997,24.1,43,1.78,27,9,1,0,5,1,4,0.17,3,1,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Federico Ceccherini,ITA,DF,30,1992,15.7,19,1.2,13,2,0,0,0,4,2,0.13,1,0,0,0,0,1
ITA-Serie A,2223,Hellas Verona,Filippo Terracciano,ITA,"DF,MF",19,2003,9.1,14,1.53,9,2,2,1,0,0,2,0.22,2,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Giangiacomo Magnani,ITA,DF,26,1995,17.0,13,0.76,11,0,1,1,0,0,2,0.12,1,0,1,0,0,0
ITA-Serie A,2223,Hellas Verona,Ibrahim Sulemana,GHA,MF,19,2003,7.2,13,1.79,11,0,1,0,0,1,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Isak Hien,SWE,DF,23,1999,29.0,18,0.62,15,1,0,0,0,2,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Ivan Ilić,SRB,MF,21,2001,9.5,28,2.96,14,12,2,0,0,0,2,0.21,1,0,1,0,0,0
ITA-Serie A,2223,Hellas Verona,Jayden Braaf,NED,"MF,FW",19,2002,3.2,10,3.14,6,0,3,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Josh Doig,SCO,DF,20,2002,15.0,35,2.32,23,6,3,1,2,0,7,0.46,5,0,1,0,1,0
ITA-Serie A,2223,Hellas Verona,Juan David Cabal,COL,DF,21,2001,4.9,8,1.62,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Kevin Lasagna,ITA,"FW,MF",29,1992,17.5,39,2.23,25,0,5,4,3,2,3,0.17,1,0,1,1,0,0
ITA-Serie A,2223,Hellas Verona,Koray Günter,GER,DF,27,1994,11.1,13,1.17,10,1,0,2,0,0,1,0.09,0,0,0,1,0,0
ITA-Serie A,2223,Hellas Verona,Lorenzo Montipò,ITA,GK,26,1996,37.0,12,0.32,5,7,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Martin Hongla,CMR,MF,24,1998,5.8,11,1.89,9,0,1,1,0,0,1,0.17,1,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Miguel Veloso,POR,MF,36,1986,12.9,36,2.78,20,12,0,4,0,0,2,0.15,2,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Milan Đurić,BIH,FW,32,1990,15.2,36,2.37,31,0,0,3,2,0,2,0.13,2,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Oliver Abildgaard,DEN,MF,26,1996,6.6,9,1.37,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Ondrej Duda,SVK,MF,27,1994,11.8,20,1.69,13,1,1,2,2,1,2,0.17,1,0,0,1,0,0
ITA-Serie A,2223,Hellas Verona,Panagiotis Retsos,GRE,DF,23,1998,1.4,1,0.73,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Paweł Dawidowicz,POL,DF,27,1995,18.1,16,0.88,13,1,0,1,0,1,1,0.06,0,0,0,1,0,0
ITA-Serie A,2223,Hellas Verona,Roberto Piccoli,ITA,FW,21,2001,2.1,1,0.47,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Simone Perilli,ITA,GK,27,1995,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Simone Verdi,ITA,"MF,FW",30,1992,12.2,47,3.87,25,12,2,2,4,2,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Thomas Henry,FRA,FW,27,1994,11.4,22,1.92,16,1,1,3,1,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Yayah Kallon,SLE,"MF,FW",21,2001,9.6,30,3.14,24,0,2,1,3,0,2,0.21,1,0,0,1,0,0
ITA-Serie A,2223,Inter,Alessandro Bastoni,ITA,DF,23,1999,24.0,52,2.17,43,4,1,2,2,0,5,0.21,3,1,0,0,1,0
ITA-Serie A,2223,Inter,Alex Cordaz,ITA,GK,39,1983,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Inter,André Onana,CMR,GK,26,1996,24.0,8,0.33,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Inter,Danilo D'Ambrosio,ITA,DF,33,1988,8.1,17,2.09,14,0,1,1,1,0,2,0.25,2,0,0,0,0,0
ITA-Serie A,2223,Inter,Denzel Dumfries,NED,DF,26,1996,24.6,71,2.88,48,4,1,9,8,1,11,0.45,6,0,0,2,3,0
ITA-Serie A,2223,Inter,Edin Džeko,BIH,FW,36,1986,19.2,61,3.16,47,0,1,12,1,0,11,0.57,7,0,1,3,0,0
ITA-Serie A,2223,Inter,Federico Dimarco,ITA,DF,24,1997,23.0,103,4.48,64,29,1,5,3,1,8,0.35,6,0,1,1,0,0
ITA-Serie A,2223,Inter,Francesco Acerbi,ITA,DF,34,1988,26.9,37,1.37,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0
ITA-Serie A,2223,Inter,Hakan Çalhanoğlu,TUR,MF,28,1994,26.3,131,4.99,75,46,0,5,4,1,11,0.42,8,3,0,0,0,0
ITA-Serie A,2223,Inter,Henrikh Mkhitaryan,ARM,MF,33,1989,22.1,80,3.63,61,0,2,5,8,4,8,0.36,7,0,0,0,0,1
ITA-Serie A,2223,Inter,Joaquín Correa,ARG,FW,27,1994,10.6,37,3.51,27,0,3,5,2,0,3,0.28,3,0,0,0,0,0
ITA-Serie A,2223,Inter,Kristjan Asllani,ALB,MF,20,2002,6.6,22,3.36,11,9,1,0,1,0,1,0.15,1,0,0,0,0,0
ITA-Serie A,2223,Inter,Lautaro Martínez,ARG,FW,24,1997,28.6,94,3.28,65,2,4,13,9,1,16,0.56,9,0,1,3,2,1
ITA-Serie A,2223,Inter,Marcelo Brozović,CRO,MF,29,1992,19.7,58,2.95,42,8,1,7,0,0,8,0.41,8,0,0,0,0,0
ITA-Serie A,2223,Inter,Matteo Darmian,ITA,DF,32,1989,22.5,39,1.73,33,4,0,0,1,1,4,0.18,3,0,0,0,1,0
ITA-Serie A,2223,Inter,Mattia Zanotti,ITA,DF,19,2003,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Inter,Milan Škriniar,SVK,DF,27,1995,19.7,11,0.56,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Inter,Nicolò Barella,ITA,MF,25,1997,29.0,121,4.17,103,4,5,2,6,1,13,0.45,11,0,2,0,0,0
ITA-Serie A,2223,Inter,Raoul Bellanova,ITA,DF,22,2000,5.5,7,1.27,3,2,0,1,1,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Inter,Roberto Gagliardini,ITA,MF,28,1994,8.7,19,2.18,17,0,0,1,1,0,1,0.11,0,0,0,1,0,0
ITA-Serie A,2223,Inter,Robin Gosens,GER,DF,28,1994,13.2,41,3.13,35,1,2,2,1,0,2,0.15,2,0,0,0,0,0
ITA-Serie A,2223,Inter,Romelu Lukaku,BEL,FW,29,1993,18.4,73,3.96,59,0,6,5,3,0,11,0.6,9,0,2,0,0,0
ITA-Serie A,2223,Inter,Samir Handanović,SVN,GK,38,1984,13.7,6,0.44,5,1,0,0,0,0,1,0.07,1,0,0,0,0,0
ITA-Serie A,2223,Inter,Stefan de Vrij,NED,DF,30,1992,21.6,13,0.6,10,0,0,2,0,1,1,0.05,1,0,0,0,0,0
ITA-Serie A,2223,Inter,Valentin Carboni,ARG,"MF,DF",17,2005,0.3,2,7.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Adrien Rabiot,FRA,MF,27,1995,30.5,82,2.69,68,0,3,6,3,2,8,0.26,5,0,1,1,1,0
ITA-Serie A,2223,Juventus,Alex Sandro,BRA,DF,31,1991,19.9,36,1.81,32,0,2,0,1,1,3,0.15,3,0,0,0,0,0
ITA-Serie A,2223,Juventus,Arkadiusz Milik,POL,FW,28,1994,17.6,36,2.05,20,1,1,7,3,4,3,0.17,2,0,0,0,0,1
ITA-Serie A,2223,Juventus,Daniele Rugani,ITA,DF,28,1994,6.3,1,0.16,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Danilo,BRA,DF,31,1991,35.4,62,1.75,54,1,0,5,2,0,4,0.11,3,0,0,1,0,0
ITA-Serie A,2223,Juventus,Denis Zakaria,SUI,MF,25,1996,1.4,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Dušan Vlahović,SRB,FW,22,2000,21.4,45,2.1,27,0,3,11,4,0,7,0.33,3,0,0,3,1,0
ITA-Serie A,2223,Juventus,Enzo Barrenechea,ARG,MF,21,2001,1.8,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Fabio Miretti,ITA,"MF,FW",18,2003,13.7,48,3.51,31,5,5,5,2,0,7,0.51,6,0,0,0,1,0
ITA-Serie A,2223,Juventus,Federico Chiesa,ITA,"DF,MF",24,1997,9.5,41,4.34,26,3,7,3,1,1,6,0.63,5,0,1,0,0,0
ITA-Serie A,2223,Juventus,Federico Gatti,ITA,DF,24,1998,16.1,19,1.18,17,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Filip Kostić,SRB,"DF,FW",29,1992,28.5,93,3.26,67,17,3,6,0,0,12,0.42,8,2,0,2,0,0
ITA-Serie A,2223,Juventus,Gleison Bremer,BRA,DF,25,1997,29.3,27,0.92,21,0,0,5,0,1,1,0.03,0,0,0,1,0,0
ITA-Serie A,2223,Juventus,Juan Cuadrado,COL,"DF,FW",34,1988,23.1,78,3.38,43,20,5,3,7,0,6,0.26,2,2,0,0,2,0
ITA-Serie A,2223,Juventus,Leandro Paredes,ARG,MF,28,1994,10.9,46,4.24,28,15,2,1,0,0,3,0.28,3,0,0,0,0,0
ITA-Serie A,2223,Juventus,Leonardo Bonucci,ITA,DF,35,1987,9.8,9,0.92,7,0,0,1,0,1,1,0.1,0,0,0,1,0,0
ITA-Serie A,2223,Juventus,Manuel Locatelli,ITA,MF,24,1998,27.2,56,2.06,46,3,2,3,1,1,7,0.26,5,0,1,0,1,0
ITA-Serie A,2223,Juventus,Mattia De Sciglio,ITA,DF,29,1992,11.6,15,1.3,14,0,0,0,1,0,1,0.09,1,0,0,0,0,0
ITA-Serie A,2223,Juventus,Mattia Perin,ITA,GK,29,1992,10.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Matìas Soulé,ARG,"MF,FW",19,2003,4.7,19,4.08,11,1,3,2,2,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Moise Kean,ITA,FW,22,2000,11.1,31,2.8,21,0,4,5,0,1,2,0.18,2,0,0,0,0,0
ITA-Serie A,2223,Juventus,Nicolò Fagioli,ITA,MF,21,2001,16.9,39,2.31,25,4,1,4,5,0,7,0.41,4,1,0,0,2,0
ITA-Serie A,2223,Juventus,Nicolò Rovella,ITA,MF,20,2001,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Paul Pogba,FRA,"MF,FW",29,1993,1.2,8,6.43,3,0,1,1,3,0,1,0.8,0,0,0,0,1,0
ITA-Serie A,2223,Juventus,Samuel Iling-Junior,ENG,"DF,FW",18,2003,3.5,14,3.99,11,0,1,0,1,1,4,1.14,3,0,0,0,0,1
ITA-Serie A,2223,Juventus,Tommaso Barbieri,ITA,DF,19,2002,1.2,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Weston McKennie,USA,"MF,DF",23,1998,11.7,18,1.54,15,0,1,2,0,0,1,0.09,1,0,0,0,0,0
ITA-Serie A,2223,Juventus,Wojciech Szczęsny,POL,GK,32,1990,27.5,2,0.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Ángel Di María,ARG,"FW,MF",34,1988,15.1,83,5.48,45,24,6,6,1,1,7,0.46,5,2,0,0,0,0
ITA-Serie A,2223,Lazio,Adam Marušić,MNE,DF,29,1992,30.7,35,1.14,28,3,0,1,0,3,3,0.1,2,0,0,1,0,0
ITA-Serie A,2223,Lazio,Alessio Romagnoli,ITA,DF,27,1995,32.5,14,0.43,11,3,0,0,0,0,3,0.09,3,0,0,0,0,0
ITA-Serie A,2223,Lazio,Ciro Immobile,ITA,FW,32,1990,24.7,72,2.92,48,0,7,12,5,0,15,0.61,10,0,0,3,2,0
ITA-Serie A,2223,Lazio,Danilo Cataldi,ITA,MF,27,1994,21.3,35,1.64,21,13,0,1,0,0,2,0.09,1,0,0,1,0,0
ITA-Serie A,2223,Lazio,Elseid Hysaj,ALB,DF,28,1994,22.2,38,1.71,34,0,2,0,2,0,2,0.09,2,0,0,0,0,0
ITA-Serie A,2223,Lazio,Felipe Anderson,BRA,FW,29,1993,32.9,99,3.01,79,1,10,6,3,0,15,0.46,8,0,4,2,1,0
ITA-Serie A,2223,Lazio,Ivan Provedel,ITA,GK,28,1994,37.9,7,0.18,7,0,0,0,0,0,1,0.03,1,0,0,0,0,0
ITA-Serie A,2223,Lazio,Luca Pellegrini,ITA,DF,23,1999,2.0,16,8.0,13,1,2,0,0,0,2,1.0,1,0,1,0,0,0
ITA-Serie A,2223,Lazio,Luis Alberto,ESP,MF,29,1992,27.1,115,4.24,80,30,0,4,0,1,15,0.55,13,2,0,0,0,0
ITA-Serie A,2223,Lazio,Luka Romero,ARG,FW,17,2004,1.7,4,2.38,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Luís Maximiano,POR,GK,23,1999,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Manuel Lazzari,ITA,DF,28,1993,20.9,29,1.39,24,1,1,0,2,1,4,0.19,4,0,0,0,0,0
ITA-Serie A,2223,Lazio,Marco Bertini,ITA,MF,19,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Marcos Antônio,BRA,MF,22,2000,6.6,9,1.37,7,0,1,0,1,0,3,0.46,2,0,1,0,0,0
ITA-Serie A,2223,Lazio,Mario Gila,ESP,DF,21,2000,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Matteo Cancellieri,ITA,FW,20,2002,2.8,8,2.82,4,0,1,1,2,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Mattia Zaccagni,ITA,FW,27,1995,30.8,87,2.83,63,1,8,6,8,1,11,0.36,8,1,0,1,1,0
ITA-Serie A,2223,Lazio,Matías Vecino,URU,MF,30,1991,18.8,29,1.54,27,0,1,1,0,0,3,0.16,3,0,0,0,0,0
ITA-Serie A,2223,Lazio,Nicolò Casale,ITA,DF,24,1998,27.1,12,0.44,10,1,0,1,0,0,4,0.15,3,0,0,1,0,0
ITA-Serie A,2223,Lazio,Patric,ESP,DF,29,1993,15.7,6,0.38,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Pedro,ESP,FW,35,1987,21.1,53,2.52,36,1,6,6,2,2,7,0.33,5,0,0,1,1,0
ITA-Serie A,2223,Lazio,Sergej Milinković-Savić,SRB,MF,27,1995,33.6,79,2.35,67,1,4,4,2,1,13,0.39,12,0,0,1,0,0
ITA-Serie A,2223,Lazio,Toma Bašić,CRO,MF,25,1996,5.7,13,2.28,7,0,1,0,5,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Ștefan Radu,ROU,FW,35,1986,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Alessandro Tuia,ITA,DF,32,1990,5.7,5,0.88,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Alexis Blin,FRA,MF,25,1996,26.4,42,1.59,34,2,0,4,2,0,1,0.04,1,0,0,0,0,0
ITA-Serie A,2223,Lecce,Antonino Gallo,ITA,DF,22,2000,27.6,64,2.32,50,9,3,1,1,0,1,0.04,1,0,0,0,0,0
ITA-Serie A,2223,Lecce,Assan Ceesay,GAM,FW,28,1994,20.1,37,1.84,25,0,5,3,4,0,6,0.3,2,0,3,1,0,0
ITA-Serie A,2223,Lecce,Federico Baschirotto,ITA,DF,25,1996,37.0,20,0.54,15,2,0,2,0,1,1,0.03,1,0,0,0,0,0
ITA-Serie A,2223,Lecce,Federico Di Francesco,ITA,"FW,MF",28,1994,22.6,49,2.17,29,5,5,2,6,2,5,0.22,2,1,1,1,0,0
ITA-Serie A,2223,Lecce,Gabriel Strefezza,BRA,"FW,MF",25,1997,27.1,101,3.72,77,6,8,6,3,1,8,0.29,8,0,0,0,0,0
ITA-Serie A,2223,Lecce,Giuseppe Pezzella,ITA,DF,24,1997,10.2,17,1.66,14,2,0,0,1,0,3,0.29,3,0,0,0,0,0
ITA-Serie A,2223,Lecce,Joan Gonzàlez,ESP,MF,20,2002,24.4,40,1.64,31,0,1,3,4,1,3,0.12,2,0,0,0,0,1
ITA-Serie A,2223,Lecce,Joel Voelkerling Persson,SWE,"FW,MF",19,2003,1.1,3,2.73,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Kastriot Dermaku,ALB,DF,30,1992,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Kristijan Bistrović,CRO,MF,24,1998,5.1,10,1.95,3,7,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Kristoffer Askildsen,NOR,MF,21,2001,8.1,15,1.85,9,4,0,0,2,0,1,0.12,1,0,0,0,0,0
ITA-Serie A,2223,Lecce,Lameck Banda,ZAM,"FW,MF",21,2001,18.2,42,2.31,20,2,13,3,4,0,3,0.17,3,0,0,0,0,0
ITA-Serie A,2223,Lecce,Lorenzo Colombo,ITA,FW,20,2002,16.8,43,2.56,29,0,4,8,2,0,2,0.12,1,0,0,1,0,0
ITA-Serie A,2223,Lecce,Marcin Listkowski,POL,"MF,FW",24,1998,0.9,1,1.15,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Marin Pongračić,CRO,DF,24,1997,8.8,6,0.68,4,1,0,0,0,1,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Morten Hjulmand,DEN,MF,23,1999,32.9,60,1.82,53,3,0,1,3,0,6,0.18,6,0,0,0,0,0
ITA-Serie A,2223,Lecce,Pablo Rodríguez,ESP,"FW,MF",20,2001,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Pietro Ceccaroni,ITA,DF,26,1995,0.5,1,2.09,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Remi Oudin,FRA,"FW,MF",25,1996,14.7,61,4.16,23,29,3,6,0,0,4,0.27,3,1,0,0,0,0
ITA-Serie A,2223,Lecce,Samuel Umtiti,FRA,DF,28,1993,23.5,9,0.38,7,1,0,0,0,1,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Simone Romagnoli,ITA,DF,32,1990,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Tommaso Cassandro,ITA,DF,22,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Valentin Gendrey,FRA,DF,22,2000,34.5,49,1.42,37,5,1,0,4,2,4,0.12,2,0,0,0,2,0
ITA-Serie A,2223,Lecce,Wladimiro Falcone,ITA,GK,27,1995,38.0,6,0.16,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Youssef Maleh,MAR,MF,23,1998,7.5,11,1.47,8,1,0,1,1,0,1,0.13,1,0,0,0,0,0
ITA-Serie A,2223,Lecce,Yıldırım Mert Çetin,TUR,DF,25,1997,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Þórir Jóhann Helgason,ISL,MF,21,2000,2.5,7,2.84,3,3,0,0,1,0,1,0.41,1,0,0,0,0,0
ITA-Serie A,2223,Milan,Alessandro Florenzi,ITA,DF,31,1991,2.3,9,4.01,4,3,0,1,1,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Milan,Alexis Saelemaekers,BEL,"FW,DF",23,1999,15.6,63,4.05,42,5,7,7,2,0,6,0.39,5,0,1,0,0,0
ITA-Serie A,2223,Milan,Ante Rebić,CRO,"FW,MF",28,1993,10.9,34,3.12,23,1,1,4,4,1,3,0.28,3,0,0,0,0,0
ITA-Serie A,2223,Milan,Antonio Mirante,ITA,GK,39,1983,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Milan,Aster Vranckx,BEL,MF,19,2002,2.7,3,1.12,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2223,Milan,Brahim Díaz,MAR,"MF,FW",22,1999,21.4,96,4.49,69,1,12,6,7,1,18,0.84,8,0,6,2,1,1
ITA-Serie A,2223,Milan,Charles De Ketelaere,BEL,"MF,FW",21,2001,12.4,47,3.79,39,2,4,0,2,0,2,0.16,2,0,0,0,0,0
ITA-Serie A,2223,Milan,Ciprian Tătărușanu,ROU,GK,36,1986,16.0,7,0.44,5,2,0,0,0,0,2,0.12,2,0,0,0,0,0
ITA-Serie A,2223,Milan,Davide Calabria,ITA,DF,25,1996,18.8,37,1.97,30,2,0,1,3,1,6,0.32,5,0,0,0,1,0
ITA-Serie A,2223,Milan,Divock Origi,BEL,FW,27,1995,11.4,24,2.11,15,0,3,3,3,0,1,0.09,1,0,0,0,0,0
ITA-Serie A,2223,Milan,Fikayo Tomori,ENG,DF,24,1997,30.7,23,0.75,19,2,0,0,1,1,2,0.07,2,0,0,0,0,0
