league,season,team,player,nationality,position,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
ITA-Serie A,2122,Salernitana,Alessandro Russo,ITA,MF,17,2003,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Andrea Schiavone,ITA,MF,28,1993,6.3,17,2.66,6,10,0,0,0,1,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Andrei Motoc,MDA,DF,19,2002,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Cedric Gondo,CIV,FW,24,1996,7.8,23,2.96,18,0,0,1,4,0,2,0.26,0,0,0,0,2,0
ITA-Serie A,2122,Salernitana,Diego Perotti,ARG,"MF,FW",33,1988,3.2,9,2.84,8,0,1,0,0,0,2,0.63,2,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Edoardo Vergani,ITA,"FW,MF",20,2001,1.1,1,0.88,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Emil Bohinen,NOR,MF,22,1999,7.8,25,3.22,15,7,2,0,1,0,1,0.13,0,1,0,0,0,0
ITA-Serie A,2122,Salernitana,Federico Bonazzoli,ITA,"FW,MF",24,1997,20.7,41,1.98,26,0,1,6,6,2,1,0.05,1,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Federico Fazio,ARG,DF,34,1987,15.9,17,1.07,13,0,2,2,0,0,2,0.13,1,0,0,1,0,0
ITA-Serie A,2122,Salernitana,Filippo Delli Carri,ITA,DF,22,1999,3.7,4,1.07,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Francesco Di Tacchio,ITA,MF,31,1990,13.9,16,1.15,13,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Franck Ribéry,FRA,"MF,FW",38,1983,15.8,62,3.92,46,5,3,2,5,1,5,0.32,3,1,0,0,1,0
ITA-Serie A,2122,Salernitana,Freddie Veseli,ALB,DF,28,1992,6.6,6,0.91,3,2,1,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Grigoris Kastanos,CYP,"MF,FW",23,1998,15.0,68,4.56,32,14,7,7,8,0,8,0.54,4,1,1,0,2,0
ITA-Serie A,2122,Salernitana,Ivan Radovanović,SRB,"DF,MF",32,1988,11.7,14,1.2,12,0,0,2,0,0,1,0.09,0,0,0,1,0,0
ITA-Serie A,2122,Salernitana,Joel Obi,NGA,"MF,DF",30,1991,12.7,21,1.65,15,5,0,1,0,0,2,0.16,2,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Julian Kristoffersen,NOR,FW,24,1997,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Lassana Coulibaly,MLI,MF,25,1996,25.9,43,1.66,32,0,2,3,6,0,1,0.04,1,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Leonardo Capezzi,ITA,MF,26,1995,1.9,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Luca Ranieri,ITA,DF,22,1999,23.4,26,1.11,23,2,0,1,0,0,1,0.04,1,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Luigi Sepe,ITA,GK,30,1991,15.5,7,0.45,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Luka Bogdan,CRO,DF,25,1996,4.4,1,0.23,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Lys Mousset,FRA,"MF,FW",25,1996,1.8,5,2.8,5,0,0,0,0,0,1,0.56,1,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Mamadou Coulibaly,SEN,MF,22,1999,9.0,25,2.79,19,1,2,1,2,0,2,0.22,0,0,1,1,0,0
ITA-Serie A,2122,Salernitana,Mario Perrone,ITA,DF,18,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Matteo Ruggeri,ITA,DF,19,2002,7.5,8,1.06,7,1,0,0,0,0,1,0.13,1,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Mikael,BRA,"FW,MF",22,1999,1.0,1,1.07,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Milan Đurić,BIH,FW,31,1990,24.1,58,2.41,43,0,1,10,4,0,8,0.33,5,0,0,2,1,0
ITA-Serie A,2122,Salernitana,Nadir Zortea,ITA,"DF,MF",22,1999,15.7,37,2.36,25,3,3,1,3,2,3,0.19,3,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Norbert Gyömbér,SVK,DF,29,1992,28.5,20,0.7,15,1,0,2,1,1,1,0.04,0,1,0,0,0,0
ITA-Serie A,2122,Salernitana,Pasquale Mazzocchi,ITA,DF,26,1995,14.1,35,2.48,21,8,0,1,4,1,4,0.28,3,1,0,0,0,0
ITA-Serie A,2122,Salernitana,Paweł Jaroszyński,POL,DF,26,1994,5.7,11,1.92,6,5,0,0,0,0,1,0.17,0,1,0,0,0,0
ITA-Serie A,2122,Salernitana,Radu Drăgușin,ROU,DF,19,2002,5.4,3,0.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Ramzi Aya,ITA,DF,30,1990,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Riccardo Gagliolo,SWE,DF,31,1990,12.6,7,0.55,3,1,0,2,0,1,1,0.08,0,0,0,1,0,0
ITA-Serie A,2122,Salernitana,Simeon Nwankwo,NGA,FW,29,1992,9.4,18,1.92,12,0,1,3,2,0,1,0.11,0,0,1,0,0,0
ITA-Serie A,2122,Salernitana,Simone Verdi,ITA,"FW,MF",29,1992,9.2,49,5.31,25,13,9,2,0,0,4,0.43,2,1,0,1,0,0
ITA-Serie A,2122,Salernitana,Stefan Strandberg,NOR,DF,31,1990,10.4,11,1.06,8,2,0,1,0,0,1,0.1,1,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Vid Belec,SVN,GK,31,1990,21.5,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Vincenzo Fiorillo,ITA,GK,31,1990,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Salernitana,Wajdi Kechrida,TUN,"DF,MF",25,1995,10.6,17,1.61,14,2,0,1,0,0,2,0.19,1,0,0,1,0,0
ITA-Serie A,2122,Salernitana,Éderson,BRA,MF,22,1999,12.7,31,2.43,21,0,0,2,7,1,2,0.16,1,0,0,0,1,0
ITA-Serie A,2122,Sampdoria,Abdelhamid Sabiri,MAR,"MF,FW",24,1996,9.9,28,2.82,18,2,4,0,2,2,5,0.5,2,0,1,0,1,1
ITA-Serie A,2122,Sampdoria,Adrien Silva,POR,MF,32,1989,12.0,23,1.91,20,1,0,2,0,0,3,0.25,2,0,0,1,0,0
ITA-Serie A,2122,Sampdoria,Albin Ekdal,SWE,MF,32,1989,18.2,19,1.05,14,0,0,3,2,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Sampdoria,Alex Ferrari,ITA,DF,27,1994,18.3,10,0.55,8,1,0,1,0,0,1,0.05,1,0,0,0,0,0
ITA-Serie A,2122,Sampdoria,Andrea Conti,ITA,"DF,MF",27,1994,2.6,2,0.77,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Sampdoria,Antonio Candreva,ITA,"MF,FW",34,1987,34.7,139,4.01,84,36,7,7,5,0,16,0.46,10,4,0,1,1,0
