league,season,team,player,nationality,position,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2223,Empoli,Jacopo Fazzini,ITA,MF,19,2003,9.2,31,17,20,8,3,18,34,52.9,16,15,3,12,7,19,0
ITA-Serie A,2223,Empoli,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",29,1992,15.1,53,37,25,19,9,23,42,54.8,19,35,4,31,13,27,0
ITA-Serie A,2223,Empoli,Koni De Winter,BEL,DF,20,2002,11.4,14,9,11,3,0,5,13,38.5,8,14,12,2,6,65,0
ITA-Serie A,2223,Empoli,Liam Henderson,SCO,MF,26,1996,11.2,13,10,6,5,2,4,21,19.0,17,10,2,8,10,10,0
ITA-Serie A,2223,Empoli,Liberato Cacace,NZL,DF,21,2000,6.5,25,10,12,8,5,9,15,60.0,6,15,7,8,4,16,0
ITA-Serie A,2223,Empoli,Lorenzo Tonelli,ITA,DF,32,1990,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
ITA-Serie A,2223,Empoli,Marko Pjaca,CRO,"MF,FW",27,1995,5.8,4,3,3,1,0,3,5,60.0,2,3,0,3,3,3,0
ITA-Serie A,2223,Empoli,Martin Satriano,URU,FW,21,2001,18.9,13,8,5,6,2,6,14,42.9,8,5,0,5,3,22,0
ITA-Serie A,2223,Empoli,Mattia Destro,ITA,"FW,MF",31,1991,6.4,1,1,0,1,0,0,0,,0,2,0,2,1,5,0
ITA-Serie A,2223,Empoli,Nedim Bajrami,ALB,"MF,FW",23,1999,10.4,8,4,3,3,2,4,6,66.7,2,5,0,5,7,4,0
ITA-Serie A,2223,Empoli,Nicolas Haas,SUI,MF,26,1996,12.8,27,13,16,6,5,12,24,50.0,12,16,4,12,8,27,0
ITA-Serie A,2223,Empoli,Nicolò Cambiaghi,ITA,"FW,MF",21,2000,14.3,30,22,11,12,7,8,27,29.6,19,19,1,18,9,8,0
ITA-Serie A,2223,Empoli,Petar Stojanović,SVN,DF,26,1995,17.0,42,22,28,10,4,26,43,60.5,17,17,5,12,11,55,0
ITA-Serie A,2223,Empoli,Roberto Piccoli,ITA,FW,21,2001,5.7,1,1,1,0,0,0,3,0.0,3,4,1,3,1,9,0
ITA-Serie A,2223,Empoli,Răzvan Marin,ROU,MF,26,1996,28.2,44,22,22,21,1,19,40,47.5,21,29,11,18,14,33,0
ITA-Serie A,2223,Empoli,Sam Lammers,NED,FW,25,1997,9.8,20,10,5,9,6,7,11,63.6,4,4,1,3,3,8,0
ITA-Serie A,2223,Empoli,Samir Ujkani,KVX,GK,34,1988,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Empoli,Samuele Perisan,ITA,GK,24,1997,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0
ITA-Serie A,2223,Empoli,Sebastian Walukiewicz,POL,DF,22,2000,6.7,9,6,7,2,0,4,6,66.7,2,10,9,1,7,30,0
ITA-Serie A,2223,Empoli,Sebastiano Luperto,ITA,DF,25,1996,34.8,33,18,24,8,1,9,20,45.0,11,54,42,12,43,163,1
ITA-Serie A,2223,Empoli,Tommaso Baldanzi,ITA,MF,19,2003,19.7,25,12,9,13,3,7,32,21.9,25,21,1,20,2,5,0
ITA-Serie A,2223,Empoli,Tyronne Ebuehi,NGA,DF,26,1995,21.4,22,14,11,7,4,9,13,69.2,4,23,12,11,12,79,1
ITA-Serie A,2223,Fiorentina,Aleksa Terzić,SRB,DF,22,1999,10.4,16,9,9,4,3,11,21,52.4,10,13,4,9,5,16,0
ITA-Serie A,2223,Fiorentina,Alessandro Bianco,ITA,MF,19,2002,1.7,5,2,2,3,0,2,3,66.7,1,1,0,1,0,0,0
ITA-Serie A,2223,Fiorentina,Alfred Duncan,GHA,MF,29,1993,12.3,18,10,0,17,1,10,21,47.6,11,9,0,9,8,6,0
ITA-Serie A,2223,Fiorentina,Antonín Barák,CZE,MF,27,1994,20.0,21,9,5,7,9,6,16,37.5,10,16,2,14,3,13,0
ITA-Serie A,2223,Fiorentina,Arthur Cabral,BRA,FW,24,1998,15.9,9,2,1,4,4,4,8,50.0,4,10,1,9,1,12,0
ITA-Serie A,2223,Fiorentina,Christian Kouamé,CIV,FW,24,1997,20.7,27,18,8,10,9,7,14,50.0,7,15,3,12,12,8,0
ITA-Serie A,2223,Fiorentina,Cristiano Biraghi,ITA,DF,29,1992,28.3,65,38,29,29,7,32,65,49.2,33,32,7,25,14,42,1
ITA-Serie A,2223,Fiorentina,Dodô,BRA,DF,23,1998,25.9,40,22,20,14,6,22,46,47.8,24,26,2,24,25,37,0
ITA-Serie A,2223,Fiorentina,Gaetano Castrovilli,ITA,MF,25,1997,8.0,10,8,1,7,2,2,9,22.2,7,5,1,4,8,5,0
ITA-Serie A,2223,Fiorentina,Giacomo Bonaventura,ITA,MF,32,1989,21.2,35,23,14,15,6,24,37,64.9,13,14,0,14,16,5,1
ITA-Serie A,2223,Fiorentina,Igor,BRA,DF,24,1998,22.9,43,29,21,18,4,20,27,74.1,7,33,14,19,25,56,2
ITA-Serie A,2223,Fiorentina,Jonathan Ikone,FRA,FW,24,1998,22.3,16,8,5,6,5,5,14,35.7,9,18,1,17,4,3,0
ITA-Serie A,2223,Fiorentina,Josip Brekalo,CRO,"FW,MF",24,1998,2.5,2,1,0,1,1,1,4,25.0,3,1,0,1,1,1,0
ITA-Serie A,2223,Fiorentina,Lorenzo Venuti,ITA,DF,27,1995,10.3,18,7,6,11,1,11,18,61.1,7,7,2,5,5,17,2
ITA-Serie A,2223,Fiorentina,Luca Ranieri,ITA,DF,23,1999,5.6,9,4,6,3,0,6,9,66.7,3,5,3,2,11,15,1
ITA-Serie A,2223,Fiorentina,Lucas Martínez Quarta,ARG,DF,26,1996,24.1,80,48,44,32,4,42,61,68.9,19,41,19,22,48,78,1
ITA-Serie A,2223,Fiorentina,Luka Jović,SRB,"FW,MF",24,1997,17.0,6,3,1,4,1,2,8,25.0,6,7,2,5,2,10,0
ITA-Serie A,2223,Fiorentina,Marco Benassi,ITA,DF,27,1994,1.0,3,3,2,0,1,3,4,75.0,1,0,0,0,1,1,0
ITA-Serie A,2223,Fiorentina,Michele Cerofolini,ITA,GK,23,1999,5.0,0,0,0,0,0,0,0,,0,0,0,0,1,2,0
ITA-Serie A,2223,Fiorentina,Nicolás González,ARG,"FW,MF",24,1998,15.0,17,10,3,10,4,5,16,31.3,11,14,0,14,4,6,0
ITA-Serie A,2223,Fiorentina,Nikola Milenković,SRB,DF,24,1997,23.7,40,25,20,17,3,18,27,66.7,9,27,14,13,22,72,0
ITA-Serie A,2223,Fiorentina,Pierluigi Gollini,ITA,GK,27,1995,3.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,2,0
ITA-Serie A,2223,Fiorentina,Pietro Terracciano,ITA,GK,32,1990,29.0,2,1,2,0,0,2,3,66.7,1,0,0,0,1,14,0
ITA-Serie A,2223,Fiorentina,Riccardo Saponara,ITA,FW,30,1991,13.4,10,5,3,6,1,5,9,55.6,4,7,1,6,5,9,1
ITA-Serie A,2223,Fiorentina,Riccardo Sottil,ITA,FW,23,1999,9.3,4,3,2,0,2,2,5,40.0,3,2,0,2,0,0,0
ITA-Serie A,2223,Fiorentina,Rolando Mandragora,ITA,MF,25,1997,21.7,42,24,12,22,8,23,52,44.2,29,25,3,22,16,21,0
ITA-Serie A,2223,Fiorentina,Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
ITA-Serie A,2223,Fiorentina,Sofyan Amrabat,MAR,MF,25,1996,22.2,39,24,15,17,7,16,29,55.2,13,23,5,18,21,18,2
ITA-Serie A,2223,Fiorentina,Szymon Żurkowski,POL,MF,24,1997,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Fiorentina,Youssef Maleh,MAR,MF,23,1998,3.3,3,1,0,3,0,0,4,0.0,4,5,0,5,1,3,0
ITA-Serie A,2223,Hellas Verona,Adolfo Gaich,ARG,FW,23,1999,8.1,5,3,0,3,2,1,6,16.7,5,7,2,5,3,7,1
ITA-Serie A,2223,Hellas Verona,Adrien Tameze,CMR,MF,28,1994,33.7,51,30,21,26,4,28,63,44.4,35,51,14,37,37,55,2
ITA-Serie A,2223,Hellas Verona,Ajdin Hrustic,AUS,MF,26,1996,2.5,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,1
ITA-Serie A,2223,Hellas Verona,Alessandro Cortinovis,ITA,MF,21,2001,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,0,0
ITA-Serie A,2223,Hellas Verona,Antonín Barák,CZE,MF,27,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Bruno Amione,ARG,DF,20,2002,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,4,0
ITA-Serie A,2223,Hellas Verona,Cyril Ngonge,BEL,"MF,FW",22,2000,8.3,7,3,2,2,3,3,11,27.3,8,7,0,7,6,4,0
ITA-Serie A,2223,Hellas Verona,Darko Lazović,SRB,"MF,DF",31,1990,24.9,24,13,9,12,3,13,29,44.8,16,14,3,11,16,19,0
ITA-Serie A,2223,Hellas Verona,Davide Faraoni,ITA,DF,30,1991,16.5,34,24,19,13,2,16,41,39.0,25,30,11,19,15,37,0
ITA-Serie A,2223,Hellas Verona,Deyovaisio Zeefuik,NED,DF,24,1998,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Diego Coppola,ITA,DF,18,2003,13.1,25,17,15,10,0,11,24,45.8,13,20,6,14,14,38,0
ITA-Serie A,2223,Hellas Verona,Fabio Depaoli,ITA,DF,25,1997,24.1,48,28,25,16,7,25,44,56.8,19,32,6,26,18,33,3
ITA-Serie A,2223,Hellas Verona,Federico Ceccherini,ITA,DF,30,1992,15.7,25,19,15,9,1,13,23,56.5,10,17,10,7,19,55,0
ITA-Serie A,2223,Hellas Verona,Filippo Terracciano,ITA,"DF,MF",19,2003,9.1,20,13,11,7,2,15,20,75.0,5,7,4,3,10,14,0
ITA-Serie A,2223,Hellas Verona,Giangiacomo Magnani,ITA,DF,26,1995,17.0,33,22,20,11,2,19,25,76.0,6,20,15,5,21,76,0
ITA-Serie A,2223,Hellas Verona,Ibrahim Sulemana,GHA,MF,19,2003,7.2,19,13,10,7,2,6,12,50.0,6,8,2,6,14,15,0
ITA-Serie A,2223,Hellas Verona,Isak Hien,SWE,DF,23,1999,29.0,73,36,54,19,0,38,61,62.3,23,40,17,23,31,92,1
ITA-Serie A,2223,Hellas Verona,Ivan Ilić,SRB,MF,21,2001,9.5,16,10,9,7,0,6,11,54.5,5,10,1,9,8,14,0
ITA-Serie A,2223,Hellas Verona,Jayden Braaf,NED,"MF,FW",19,2002,3.2,5,3,2,3,0,0,0,,0,1,0,1,2,1,0
ITA-Serie A,2223,Hellas Verona,Josh Doig,SCO,DF,20,2002,15.0,19,8,6,7,6,6,16,37.5,10,25,6,19,11,13,1
ITA-Serie A,2223,Hellas Verona,Juan David Cabal,COL,DF,21,2001,4.9,10,6,7,3,0,7,12,58.3,5,8,5,3,13,12,0
ITA-Serie A,2223,Hellas Verona,Kevin Lasagna,ITA,"FW,MF",29,1992,17.5,12,6,7,3,2,6,14,42.9,8,17,1,16,5,13,0
ITA-Serie A,2223,Hellas Verona,Koray Günter,GER,DF,27,1994,11.1,10,6,1,8,1,4,7,57.1,3,24,15,9,30,46,0
ITA-Serie A,2223,Hellas Verona,Lorenzo Montipò,ITA,GK,26,1996,37.0,1,0,1,0,0,0,3,0.0,3,1,0,1,0,26,3
ITA-Serie A,2223,Hellas Verona,Martin Hongla,CMR,MF,24,1998,5.8,8,5,4,4,0,5,5,100.0,0,7,1,6,6,9,0
ITA-Serie A,2223,Hellas Verona,Miguel Veloso,POR,MF,36,1986,12.9,33,10,20,12,1,16,26,61.5,10,26,6,20,6,14,0
ITA-Serie A,2223,Hellas Verona,Milan Đurić,BIH,FW,32,1990,15.2,2,1,1,0,1,1,3,33.3,2,7,4,3,1,24,0
ITA-Serie A,2223,Hellas Verona,Oliver Abildgaard,DEN,MF,26,1996,6.6,10,6,6,3,1,7,16,43.8,9,7,1,6,5,17,0
ITA-Serie A,2223,Hellas Verona,Ondrej Duda,SVK,MF,27,1994,11.8,22,14,7,12,3,9,16,56.3,7,11,0,11,13,8,0
ITA-Serie A,2223,Hellas Verona,Panagiotis Retsos,GRE,DF,23,1998,1.4,5,4,2,2,1,3,3,100.0,0,4,1,3,2,3,0
ITA-Serie A,2223,Hellas Verona,Paweł Dawidowicz,POL,DF,27,1995,18.1,48,31,28,17,3,22,31,71.0,9,14,9,5,23,71,0
ITA-Serie A,2223,Hellas Verona,Roberto Piccoli,ITA,FW,21,2001,2.1,1,0,1,0,0,0,2,0.0,2,2,0,2,0,2,0
ITA-Serie A,2223,Hellas Verona,Simone Perilli,ITA,GK,27,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Simone Verdi,ITA,"MF,FW",30,1992,12.2,15,10,7,5,3,6,17,35.3,11,8,1,7,0,2,0
ITA-Serie A,2223,Hellas Verona,Thomas Henry,FRA,FW,27,1994,11.4,5,3,1,1,3,1,5,20.0,4,6,2,4,0,14,0
ITA-Serie A,2223,Hellas Verona,Yayah Kallon,SLE,"MF,FW",21,2001,9.6,14,10,5,4,5,7,12,58.3,5,10,0,10,8,5,0
ITA-Serie A,2223,Inter,Alessandro Bastoni,ITA,DF,23,1999,24.0,41,20,20,14,7,11,27,40.7,16,27,13,14,24,45,0
ITA-Serie A,2223,Inter,Alex Cordaz,ITA,GK,39,1983,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Inter,André Onana,CMR,GK,26,1996,24.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,5,0
ITA-Serie A,2223,Inter,Danilo D'Ambrosio,ITA,DF,33,1988,8.1,25,17,17,7,1,15,27,55.6,12,12,4,8,10,17,0
ITA-Serie A,2223,Inter,Denzel Dumfries,NED,DF,26,1996,24.6,35,18,17,13,5,22,34,64.7,12,33,9,24,12,26,0
ITA-Serie A,2223,Inter,Edin Džeko,BIH,FW,36,1986,19.2,3,2,0,3,0,0,4,0.0,4,15,1,14,3,25,0
ITA-Serie A,2223,Inter,Federico Dimarco,ITA,DF,24,1997,23.0,31,25,6,18,7,9,19,47.4,10,15,4,11,18,20,0
ITA-Serie A,2223,Inter,Francesco Acerbi,ITA,DF,34,1988,26.9,33,19,22,7,4,20,27,74.1,7,25,18,7,41,85,2
ITA-Serie A,2223,Inter,Hakan Çalhanoğlu,TUR,MF,28,1994,26.3,48,27,17,26,5,16,43,37.2,27,30,5,25,25,13,1
ITA-Serie A,2223,Inter,Henrikh Mkhitaryan,ARM,MF,33,1989,22.1,41,26,13,22,6,14,41,34.1,27,27,4,23,21,18,0
ITA-Serie A,2223,Inter,Joaquín Correa,ARG,FW,27,1994,10.6,12,7,3,6,3,4,15,26.7,11,4,1,3,3,0,0
ITA-Serie A,2223,Inter,Kristjan Asllani,ALB,MF,20,2002,6.6,11,5,1,8,2,7,10,70.0,3,3,1,2,6,4,0
ITA-Serie A,2223,Inter,Lautaro Martínez,ARG,FW,24,1997,28.6,25,14,3,15,7,7,23,30.4,16,31,1,30,13,16,1
ITA-Serie A,2223,Inter,Marcelo Brozović,CRO,MF,29,1992,19.7,37,22,13,22,2,11,37,29.7,26,23,7,16,22,28,0
ITA-Serie A,2223,Inter,Matteo Darmian,ITA,DF,32,1989,22.5,56,30,29,15,12,31,47,66.0,16,33,5,28,21,36,0
ITA-Serie A,2223,Inter,Mattia Zanotti,ITA,DF,19,2003,0.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0
ITA-Serie A,2223,Inter,Milan Škriniar,SVK,DF,27,1995,19.7,29,18,14,11,4,18,32,56.3,14,18,13,5,13,46,3
ITA-Serie A,2223,Inter,Nicolò Barella,ITA,MF,25,1997,29.0,49,25,17,26,6,28,53,52.8,25,29,5,24,12,12,0
ITA-Serie A,2223,Inter,Raoul Bellanova,ITA,DF,22,2000,5.5,14,6,11,2,1,9,14,64.3,5,6,1,5,4,14,0
ITA-Serie A,2223,Inter,Roberto Gagliardini,ITA,MF,28,1994,8.7,16,6,9,6,1,10,21,47.6,11,14,5,9,4,15,0
ITA-Serie A,2223,Inter,Robin Gosens,GER,DF,28,1994,13.2,34,18,15,10,9,15,25,60.0,10,16,2,14,23,15,0
ITA-Serie A,2223,Inter,Romelu Lukaku,BEL,FW,29,1993,18.4,3,1,1,0,2,2,5,40.0,3,3,1,2,0,16,0
ITA-Serie A,2223,Inter,Samir Handanović,SVN,GK,38,1984,13.7,0,0,0,0,0,0,0,,0,0,0,0,0,5,0
ITA-Serie A,2223,Inter,Stefan de Vrij,NED,DF,30,1992,21.6,28,18,19,9,0,8,14,57.1,6,18,10,8,40,80,0
ITA-Serie A,2223,Inter,Valentin Carboni,ARG,"MF,DF",17,2005,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,0,0
ITA-Serie A,2223,Juventus,Adrien Rabiot,FRA,MF,27,1995,30.5,65,35,31,23,11,30,57,52.6,27,37,7,30,26,44,1
ITA-Serie A,2223,Juventus,Alex Sandro,BRA,DF,31,1991,19.9,35,20,16,16,3,15,22,68.2,7,27,10,17,15,64,1
ITA-Serie A,2223,Juventus,Arkadiusz Milik,POL,FW,28,1994,17.6,12,8,2,8,2,2,8,25.0,6,10,1,9,1,14,0
ITA-Serie A,2223,Juventus,Daniele Rugani,ITA,DF,28,1994,6.3,7,0,6,1,0,4,4,100.0,0,7,5,2,7,32,0
ITA-Serie A,2223,Juventus,Danilo,BRA,DF,31,1991,35.4,92,62,61,23,8,52,73,71.2,21,39,20,19,47,114,1
ITA-Serie A,2223,Juventus,Denis Zakaria,SUI,MF,25,1996,1.4,6,3,1,4,1,2,2,100.0,0,2,0,2,2,1,0
ITA-Serie A,2223,Juventus,Dušan Vlahović,SRB,FW,22,2000,21.4,11,6,0,7,4,4,10,40.0,6,10,3,7,3,8,1
ITA-Serie A,2223,Juventus,Enzo Barrenechea,ARG,MF,21,2001,1.8,8,3,3,4,1,3,5,60.0,2,3,0,3,2,3,0
ITA-Serie A,2223,Juventus,Fabio Miretti,ITA,"MF,FW",18,2003,13.7,24,11,15,6,3,12,29,41.4,17,20,1,19,4,11,0
ITA-Serie A,2223,Juventus,Federico Chiesa,ITA,"DF,MF",24,1997,9.5,22,11,6,6,10,5,14,35.7,9,13,1,12,0,1,0
ITA-Serie A,2223,Juventus,Federico Gatti,ITA,DF,24,1998,16.1,15,11,9,4,2,9,15,60.0,6,20,14,6,21,54,2
ITA-Serie A,2223,Juventus,Filip Kostić,SRB,"DF,FW",29,1992,28.5,41,26,17,20,4,21,47,44.7,26,30,4,26,16,32,0
ITA-Serie A,2223,Juventus,Gleison Bremer,BRA,DF,25,1997,29.3,29,20,23,5,1,19,26,73.1,7,44,22,22,42,120,2
ITA-Serie A,2223,Juventus,Juan Cuadrado,COL,"DF,FW",34,1988,23.1,50,34,34,13,3,27,65,41.5,38,15,2,13,24,32,0
ITA-Serie A,2223,Juventus,Leandro Paredes,ARG,MF,28,1994,10.9,19,13,7,11,1,10,22,45.5,12,8,0,8,17,22,0
ITA-Serie A,2223,Juventus,Leonardo Bonucci,ITA,DF,35,1987,9.8,5,4,1,4,0,2,4,50.0,2,12,8,4,13,29,0
ITA-Serie A,2223,Juventus,Manuel Locatelli,ITA,MF,24,1998,27.2,59,33,26,23,10,30,53,56.6,23,50,22,28,27,59,0
ITA-Serie A,2223,Juventus,Mattia De Sciglio,ITA,DF,29,1992,11.6,14,7,8,3,3,9,14,64.3,5,9,3,6,4,20,0
ITA-Serie A,2223,Juventus,Mattia Perin,ITA,GK,29,1992,10.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Matìas Soulé,ARG,"MF,FW",19,2003,4.7,7,4,3,2,2,5,7,71.4,2,7,1,6,3,3,0
ITA-Serie A,2223,Juventus,Moise Kean,ITA,FW,22,2000,11.1,8,6,2,5,1,3,7,42.9,4,4,0,4,5,2,0
ITA-Serie A,2223,Juventus,Nicolò Fagioli,ITA,MF,21,2001,16.9,29,19,12,15,2,8,27,29.6,19,16,2,14,8,7,1
ITA-Serie A,2223,Juventus,Nicolò Rovella,ITA,MF,20,2001,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,0,0
ITA-Serie A,2223,Juventus,Paul Pogba,FRA,"MF,FW",29,1993,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,2,0
ITA-Serie A,2223,Juventus,Samuel Iling-Junior,ENG,"DF,FW",18,2003,3.5,7,2,3,1,3,4,9,44.4,5,5,1,4,2,6,0
ITA-Serie A,2223,Juventus,Tommaso Barbieri,ITA,DF,19,2002,1.2,3,3,3,0,0,3,8,37.5,5,3,0,3,0,2,0
ITA-Serie A,2223,Juventus,Weston McKennie,USA,"MF,DF",23,1998,11.7,14,5,3,9,2,5,8,62.5,3,15,4,11,11,15,1
ITA-Serie A,2223,Juventus,Wojciech Szczęsny,POL,GK,32,1990,27.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,7,0
ITA-Serie A,2223,Juventus,Ángel Di María,ARG,"FW,MF",34,1988,15.1,10,5,3,5,2,3,19,15.8,16,15,0,15,7,0,0
ITA-Serie A,2223,Lazio,Adam Marušić,MNE,DF,29,1992,30.7,41,30,23,14,4,25,39,64.1,14,20,6,14,38,63,1
ITA-Serie A,2223,Lazio,Alessio Romagnoli,ITA,DF,27,1995,32.5,33,15,19,14,0,11,22,50.0,11,33,26,7,38,108,0
ITA-Serie A,2223,Lazio,Ciro Immobile,ITA,FW,32,1990,24.7,11,5,4,4,3,6,9,66.7,3,10,2,8,1,14,0
ITA-Serie A,2223,Lazio,Danilo Cataldi,ITA,MF,27,1994,21.3,25,16,7,15,3,14,40,35.0,26,23,9,14,24,33,0
ITA-Serie A,2223,Lazio,Elseid Hysaj,ALB,DF,28,1994,22.2,39,23,24,11,4,23,41,56.1,18,31,7,24,20,42,0
ITA-Serie A,2223,Lazio,Felipe Anderson,BRA,FW,29,1993,32.9,80,50,31,41,8,31,88,35.2,57,58,6,52,31,27,0
ITA-Serie A,2223,Lazio,Ivan Provedel,ITA,GK,28,1994,37.9,1,0,1,0,0,0,0,,0,0,0,0,0,15,1
ITA-Serie A,2223,Lazio,Luca Pellegrini,ITA,DF,23,1999,2.0,1,0,0,1,0,1,4,25.0,3,3,0,3,7,4,0
ITA-Serie A,2223,Lazio,Luis Alberto,ESP,MF,29,1992,27.1,49,29,18,20,11,23,72,31.9,49,35,6,29,9,4,0
ITA-Serie A,2223,Lazio,Luka Romero,ARG,FW,17,2004,1.7,0,0,0,0,0,0,3,0.0,3,4,0,4,3,1,0
ITA-Serie A,2223,Lazio,Luís Maximiano,POR,GK,23,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Manuel Lazzari,ITA,DF,28,1993,20.9,33,21,13,14,6,21,36,58.3,15,20,6,14,18,36,1
ITA-Serie A,2223,Lazio,Marco Bertini,ITA,MF,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Lazio,Marcos Antônio,BRA,MF,22,2000,6.6,9,6,4,5,0,9,20,45.0,11,7,2,5,11,18,0
ITA-Serie A,2223,Lazio,Mario Gila,ESP,DF,21,2000,1.0,3,1,3,0,0,0,1,0.0,1,0,0,0,3,3,0
ITA-Serie A,2223,Lazio,Matteo Cancellieri,ITA,FW,20,2002,2.8,10,4,5,3,2,5,9,55.6,4,4,0,4,1,2,0
ITA-Serie A,2223,Lazio,Mattia Zaccagni,ITA,FW,27,1995,30.8,42,28,16,18,8,14,38,36.8,24,37,3,34,21,10,1
ITA-Serie A,2223,Lazio,Matías Vecino,URU,MF,30,1991,18.8,47,27,13,23,11,23,48,47.9,25,33,10,23,16,39,1
ITA-Serie A,2223,Lazio,Nicolò Casale,ITA,DF,24,1998,27.1,42,20,28,14,0,22,34,64.7,12,25,17,8,17,73,1
ITA-Serie A,2223,Lazio,Patric,ESP,DF,29,1993,15.7,17,11,12,3,2,11,16,68.8,5,17,12,5,11,53,1
ITA-Serie A,2223,Lazio,Pedro,ESP,FW,35,1987,21.1,35,24,14,10,11,11,30,36.7,19,18,2,16,6,4,1
ITA-Serie A,2223,Lazio,Sergej Milinković-Savić,SRB,MF,27,1995,33.6,58,35,22,23,13,24,67,35.8,43,50,12,38,28,49,0
ITA-Serie A,2223,Lazio,Toma Bašić,CRO,MF,25,1996,5.7,6,4,4,1,1,3,8,37.5,5,9,0,9,7,8,0
ITA-Serie A,2223,Lazio,Ștefan Radu,ROU,FW,35,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Alessandro Tuia,ITA,DF,32,1990,5.7,10,6,6,4,0,3,9,33.3,6,3,1,2,15,29,0
ITA-Serie A,2223,Lecce,Alexis Blin,FRA,MF,25,1996,26.4,69,39,27,33,9,38,73,52.1,35,55,15,40,34,74,0
ITA-Serie A,2223,Lecce,Antonino Gallo,ITA,DF,22,2000,27.6,56,36,35,12,9,38,57,66.7,19,37,6,31,13,71,0
ITA-Serie A,2223,Lecce,Assan Ceesay,GAM,FW,28,1994,20.1,23,18,7,8,8,9,17,52.9,8,15,2,13,3,24,0
ITA-Serie A,2223,Lecce,Federico Baschirotto,ITA,DF,25,1996,37.0,40,30,35,5,0,22,36,61.1,14,45,29,16,36,192,0
ITA-Serie A,2223,Lecce,Federico Di Francesco,ITA,"FW,MF",28,1994,22.6,28,16,7,11,10,9,19,47.4,10,16,0,16,8,14,0
ITA-Serie A,2223,Lecce,Gabriel Strefezza,BRA,"FW,MF",25,1997,27.1,50,24,18,20,12,27,53,50.9,26,36,3,33,16,15,0
ITA-Serie A,2223,Lecce,Giuseppe Pezzella,ITA,DF,24,1997,10.2,21,9,16,2,3,9,16,56.3,7,11,3,8,8,31,1
ITA-Serie A,2223,Lecce,Joan Gonzàlez,ESP,MF,20,2002,24.4,48,28,20,18,10,17,51,33.3,34,37,8,29,16,28,0
ITA-Serie A,2223,Lecce,Joel Voelkerling Persson,SWE,"FW,MF",19,2003,1.1,1,1,0,0,1,0,1,0.0,1,1,0,1,0,0,0
ITA-Serie A,2223,Lecce,Kastriot Dermaku,ALB,DF,30,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2223,Lecce,Kristijan Bistrović,CRO,MF,24,1998,5.1,3,1,3,0,0,0,5,0.0,5,3,0,3,0,4,0
ITA-Serie A,2223,Lecce,Kristoffer Askildsen,NOR,MF,21,2001,8.1,7,3,2,3,2,4,10,40.0,6,15,4,11,11,6,0
ITA-Serie A,2223,Lecce,Lameck Banda,ZAM,"FW,MF",21,2001,18.2,30,20,13,14,3,15,41,36.6,26,24,2,22,8,5,0
ITA-Serie A,2223,Lecce,Lorenzo Colombo,ITA,FW,20,2002,16.8,17,9,1,9,7,6,14,42.9,8,22,0,22,2,7,0
ITA-Serie A,2223,Lecce,Marcin Listkowski,POL,"MF,FW",24,1998,0.9,0,0,0,0,0,0,0,,0,0,0,0,3,2,0
ITA-Serie A,2223,Lecce,Marin Pongračić,CRO,DF,24,1997,8.8,16,14,8,7,1,5,7,71.4,2,4,3,1,16,31,0
