league,season,team,player,nationality,position,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2122,Atalanta,Merih Demiral,TUR,DF,23,1998,21.3,31,17,18,12,1,15,28,53.6,13,26,14,12,58,68,1
ITA-Serie A,2122,Atalanta,Moustapha Cissé,GUI,FW,17,2003,0.4,1,0,0,1,0,0,3,0.0,3,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Rafael Tolói,ITA,DF,30,1990,16.0,38,15,12,15,11,24,39,61.5,15,23,11,12,26,35,0
ITA-Serie A,2122,Atalanta,Remo Freuler,SUI,MF,29,1992,26.3,69,39,22,33,14,30,70,42.9,40,48,8,40,35,26,1
ITA-Serie A,2122,Atalanta,Roberto Piccoli,ITA,FW,20,2001,2.2,2,0,0,0,2,0,2,0.0,2,1,0,1,0,0,0
ITA-Serie A,2122,Atalanta,Robin Gosens,GER,DF,27,1994,5.1,7,3,3,4,0,4,8,50.0,4,4,0,4,9,1,0
ITA-Serie A,2122,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",28,1993,17.7,18,10,3,10,5,5,19,26.3,14,27,3,24,5,1,0
ITA-Serie A,2122,Atalanta,Sam Lammers,NED,"FW,MF",24,1997,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Teun Koopmeiners,NED,MF,23,1998,23.6,40,24,10,19,11,22,54,40.7,32,31,2,29,15,19,0
ITA-Serie A,2122,Atalanta,Tommaso De Nipoti,ITA,FW,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Valentin Mihaila,ROU,"MF,FW",21,2000,0.8,1,1,0,1,0,0,1,0.0,1,2,0,2,0,0,0
ITA-Serie A,2122,Bologna,Aaron Hickey,SCO,DF,19,2002,31.3,46,29,24,15,7,20,30,66.7,10,36,13,23,29,44,0
ITA-Serie A,2122,Bologna,Adama Soumaoro,FRA,DF,29,1992,25.2,15,5,5,8,2,4,9,44.4,5,22,16,6,34,95,0
ITA-Serie A,2122,Bologna,Andreas Skov Olsen,DEN,"FW,DF",21,1999,8.3,12,10,4,4,4,5,11,45.5,6,9,1,8,3,11,0
ITA-Serie A,2122,Bologna,Antonio Raimondo,ITA,FW,17,2004,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,1,0
ITA-Serie A,2122,Bologna,Arthur Theate,BEL,DF,21,2000,26.9,33,19,26,3,4,14,31,45.2,17,29,16,13,42,69,0
ITA-Serie A,2122,Bologna,Denso Kasius,NED,"DF,FW",18,2002,2.0,9,7,5,3,1,2,5,40.0,3,4,0,4,3,4,0
ITA-Serie A,2122,Bologna,Diego Falcinelli,ITA,FW,30,1991,0.7,2,2,2,0,0,0,0,,0,0,0,0,1,1,0
ITA-Serie A,2122,Bologna,Ebenezer Annan,GHA,DF,18,2002,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,1,0
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,6.6,12,7,5,7,0,6,13,46.2,7,2,0,2,2,5,0
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,0.7,2,1,1,1,0,1,1,100.0,0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,31.4,39,23,27,11,1,16,36,44.4,20,30,21,9,44,112,0
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,1.2,1,1,1,0,0,1,2,50.0,1,1,1,0,1,6,0
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,15.5,25,17,10,12,3,9,22,40.9,13,22,5,17,33,29,1
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,0.5,3,2,1,2,0,2,2,100.0,0,2,0,2,0,0,0
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,13.4,25,16,16,7,2,13,14,92.9,1,22,7,15,16,35,0
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,0.8,4,1,2,2,0,1,2,50.0,1,2,1,1,1,1,1
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,25.5,23,14,13,8,2,9,31,29.0,22,25,7,18,26,52,0
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,7.2,8,4,7,1,0,4,6,66.7,2,6,5,1,17,33,1
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,29.9,17,9,1,11,5,7,30,23.3,23,13,2,11,7,17,0
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,28.5,39,15,15,16,8,16,54,29.6,38,31,9,22,28,34,0
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,3,0
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,7.7,15,6,6,6,3,5,12,41.7,7,11,2,9,3,10,1
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,23.7,12,4,4,4,4,6,20,30.0,14,20,1,19,6,8,0
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,10.0,13,7,5,6,2,3,15,20.0,12,1,0,1,4,2,0
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,1.1,2,2,1,1,0,1,2,50.0,1,1,1,0,0,1,0
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,22.4,76,45,36,32,8,32,76,42.1,44,38,9,29,32,34,1
ITA-Serie A,2122,Bologna,Niklas Pyyhtiä,FIN,MF,17,2003,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Riccardo Orsolini,ITA,"FW,MF",24,1997,19.8,21,13,9,11,1,13,29,44.8,16,9,4,5,5,14,0
ITA-Serie A,2122,Bologna,Riccardo Stivanello,ITA,DF,17,2004,0.5,1,1,1,0,0,1,1,100.0,0,2,2,0,0,6,0
ITA-Serie A,2122,Bologna,Roberto Soriano,ITA,MF,30,1991,29.1,57,30,27,22,8,17,56,30.4,39,37,3,34,22,32,0
ITA-Serie A,2122,Bologna,Sydney van Hooijdonk,NED,"FW,MF",21,2000,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0
ITA-Serie A,2122,Bologna,Takehiro Tomiyasu,JPN,DF,22,1998,0.1,0,0,0,0,0,0,0,,0,1,0,1,1,0,0
ITA-Serie A,2122,Bologna,Wisdom Amey,ITA,DF,15,2005,0.8,3,2,1,1,1,2,3,66.7,1,2,0,2,3,1,0
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,17,0
