league,season,team,player,nationality,position,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xa,Progression_PrgR,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
ITA-Serie A,2122,Atalanta,Robin Gosens,GER,DF,27,1994,6,5,460,1,0,0,0,2,0,1.7,1.7,0.4,24,0.2,0.0,0.2,0.2,0.2,0.33,0.07,0.4,0.33,0.4
ITA-Serie A,2122,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",28,1993,30,19,1592,6,5,0,0,10,0,3.3,3.3,5.9,141,0.34,0.28,0.62,0.34,0.62,0.19,0.33,0.52,0.19,0.52
ITA-Serie A,2122,Atalanta,Sam Lammers,NED,"FW,MF",24,1997,2,0,38,0,0,0,0,0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Atalanta,Teun Koopmeiners,NED,MF,23,1998,30,23,2126,4,1,0,0,4,0,1.7,1.7,5.3,81,0.17,0.04,0.21,0.17,0.21,0.07,0.22,0.29,0.07,0.29
ITA-Serie A,2122,Atalanta,Tommaso De Nipoti,ITA,FW,18,2003,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Atalanta,Valentin Mihaila,ROU,"MF,FW",21,2000,5,0,76,0,0,0,0,0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ITA-Serie A,2122,Bologna,Aaron Hickey,SCO,DF,19,2002,36,34,2820,5,1,0,0,7,0,0.9,0.9,1.8,156,0.16,0.03,0.19,0.16,0.19,0.03,0.06,0.08,0.03,0.08
ITA-Serie A,2122,Bologna,Adama Soumaoro,FRA,DF,29,1992,28,26,2266,0,0,0,0,6,2,0.9,0.9,0.0,10,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04
ITA-Serie A,2122,Bologna,Andreas Skov Olsen,DEN,"FW,DF",21,1999,18,6,747,0,2,0,0,0,0,0.9,0.9,0.4,52,0.0,0.24,0.24,0.0,0.24,0.11,0.05,0.15,0.11,0.15
ITA-Serie A,2122,Bologna,Antonio Raimondo,ITA,FW,17,2004,1,1,74,0,0,0,0,0,0,0.1,0.1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
ITA-Serie A,2122,Bologna,Arthur Theate,BEL,DF,21,2000,31,28,2424,2,1,0,0,6,0,1.5,1.5,0.6,17,0.07,0.04,0.11,0.07,0.11,0.05,0.02,0.08,0.05,0.08
ITA-Serie A,2122,Bologna,Denso Kasius,NED,"DF,FW",18,2002,7,1,180,0,0,0,0,0,0,0.1,0.1,0.5,20,0.0,0.0,0.0,0.0,0.0,0.07,0.25,0.32,0.07,0.32
ITA-Serie A,2122,Bologna,Diego Falcinelli,ITA,FW,30,1991,6,0,66,0,0,0,0,0,0,0.6,0.6,0.0,9,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.78
ITA-Serie A,2122,Bologna,Ebenezer Annan,GHA,DF,18,2002,1,0,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,24,3,594,0,1,0,0,2,0,0.3,0.3,2.2,37,0.0,0.15,0.15,0.0,0.15,0.04,0.33,0.36,0.04,0.36
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,7,0,67,1,0,0,0,1,0,0.6,0.6,0.1,7,1.34,0.0,1.34,1.34,1.34,0.83,0.1,0.94,0.83,0.94
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2,2,177,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,33,32,2823,0,1,0,0,10,1,0.3,0.3,0.3,5,0.0,0.03,0.03,0.0,0.03,0.01,0.01,0.02,0.01,0.02
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,6,1,108,0,0,0,0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,17,16,1392,1,1,0,0,4,1,0.2,0.2,0.7,13,0.06,0.06,0.13,0.06,0.13,0.01,0.05,0.06,0.01,0.06
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,1,0,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,22,14,1210,0,0,0,0,4,1,0.7,0.7,0.8,4,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,2,1,76,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,31,27,2294,3,2,0,0,7,0,1.8,1.8,2.4,75,0.12,0.08,0.2,0.12,0.2,0.07,0.09,0.17,0.07,0.17
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,15,7,646,0,0,0,0,3,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,33,32,2694,14,1,2,3,6,0,14.7,12.5,3.8,221,0.47,0.03,0.5,0.4,0.43,0.49,0.13,0.62,0.42,0.54
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,36,31,2564,3,3,0,0,7,0,2.1,2.1,2.8,57,0.11,0.11,0.21,0.11,0.21,0.07,0.1,0.17,0.07,0.17
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,12,4,443,0,0,0,0,1,0,0.1,0.1,0.4,9,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,16,7,694,0,2,0,0,2,0,0.7,0.7,1.1,24,0.0,0.26,0.26,0.0,0.26,0.09,0.15,0.23,0.09,0.23
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,34,25,2134,6,6,0,0,0,0,5.9,5.9,4.4,158,0.25,0.25,0.51,0.25,0.51,0.25,0.18,0.43,0.25,0.43
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,27,6,896,2,3,0,0,6,0,3.5,3.5,2.0,64,0.2,0.3,0.5,0.2,0.5,0.35,0.21,0.55,0.35,0.55
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,6,1,102,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,28,23,2015,0,3,0,0,8,0,1.2,1.2,2.4,44,0.0,0.13,0.13,0.0,0.13,0.05,0.11,0.16,0.05,0.16
ITA-Serie A,2122,Bologna,Niklas Pyyhtiä,FIN,MF,17,2003,1,0,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Riccardo Orsolini,ITA,"FW,MF",24,1997,29,21,1785,6,3,2,2,2,0,6.4,4.8,2.1,125,0.3,0.15,0.45,0.2,0.35,0.32,0.11,0.43,0.24,0.35
ITA-Serie A,2122,Bologna,Riccardo Stivanello,ITA,DF,17,2004,1,0,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Roberto Soriano,ITA,MF,30,1991,35,32,2622,0,4,0,0,6,2,2.1,2.1,4.8,145,0.0,0.14,0.14,0.0,0.14,0.07,0.16,0.24,0.07,0.24
ITA-Serie A,2122,Bologna,Sydney van Hooijdonk,NED,"FW,MF",21,2000,4,0,38,0,0,0,0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Takehiro Tomiyasu,JPN,DF,22,1998,1,0,10,0,0,0,0,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73
ITA-Serie A,2122,Bologna,Wisdom Amey,ITA,DF,15,2005,1,1,71,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36,36,3240,0,0,0,0,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Adam Obert,SVK,"DF,MF",18,2002,6,3,274,0,0,0,0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Alberto Grassi,ITA,MF,26,1995,30,26,2174,0,1,0,0,6,1,1.1,1.1,2.0,25,0.0,0.04,0.04,0.0,0.04,0.05,0.08,0.13,0.05,0.13
ITA-Serie A,2122,Cagliari,Alessandro Deiola,ITA,MF,25,1995,33,28,2129,4,1,0,0,5,0,2.5,2.5,1.4,51,0.17,0.04,0.21,0.17,0.21,0.11,0.06,0.17,0.11,0.17
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35,35,3150,0,0,0,0,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Andrea Carboni,ITA,DF,20,2001,30,25,2215,0,0,0,0,6,0,0.7,0.7,0.1,18,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3,3,270,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Charalampos Lykogiannis,GRE,"DF,FW",27,1993,28,21,1817,1,0,0,0,2,0,1.1,1.1,1.1,57,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.11,0.05,0.11
ITA-Serie A,2122,Cagliari,Christian Oliva,URU,MF,25,1996,4,0,48,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Christos Kourfalidis,GRE,"MF,FW",18,2002,2,0,18,0,0,0,0,0,0,0.1,0.1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44
ITA-Serie A,2122,Cagliari,Dalbert Henrique,BRA,"DF,MF",27,1993,28,27,2081,0,2,0,0,9,0,1.5,1.5,2.0,96,0.0,0.09,0.09,0.0,0.09,0.07,0.09,0.15,0.07,0.15
ITA-Serie A,2122,Cagliari,Damir Ceter,COL,FW,23,1997,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Daniele Baselli,ITA,MF,29,1992,9,2,290,0,1,0,0,1,0,0.5,0.5,0.7,5,0.0,0.31,0.31,0.0,0.31,0.16,0.21,0.37,0.16,0.37
ITA-Serie A,2122,Cagliari,Diego Farias,BRA,"MF,FW",31,1990,4,0,66,0,0,0,0,0,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
ITA-Serie A,2122,Cagliari,Diego Godín,URU,DF,35,1986,11,9,818,0,1,0,0,3,0,0.4,0.4,0.1,1,0.0,0.11,0.11,0.0,0.11,0.04,0.02,0.06,0.04,0.06
ITA-Serie A,2122,Cagliari,Edoardo Goldaniga,ITA,DF,27,1993,11,11,934,0,0,0,0,3,0,0.3,0.3,0.2,12,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
ITA-Serie A,2122,Cagliari,Gabriele Zappa,ITA,DF,21,1999,25,11,1144,0,0,0,0,4,1,0.6,0.6,0.7,37,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
ITA-Serie A,2122,Cagliari,Gastón Pereiro,URU,"FW,MF",26,1995,29,9,975,4,2,0,0,1,0,1.3,1.3,1.9,46,0.37,0.18,0.55,0.37,0.55,0.12,0.18,0.3,0.12,0.3
ITA-Serie A,2122,Cagliari,Giorgio Altare,ITA,DF,22,1998,19,17,1466,1,0,0,0,5,0,1.0,1.0,0.6,10,0.06,0.0,0.06,0.06,0.06,0.06,0.04,0.1,0.06,0.1
ITA-Serie A,2122,Cagliari,Giovanni Simeone,ARG,FW,26,1995,1,0,7,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,João Pedro,ITA,FW,29,1992,37,37,3323,13,4,3,4,9,0,12.3,9.3,3.1,198,0.35,0.11,0.46,0.27,0.38,0.33,0.08,0.42,0.25,0.34
ITA-Serie A,2122,Cagliari,Keita Baldé,SEN,FW,26,1995,26,14,1229,3,1,0,0,2,0,3.5,3.5,0.6,73,0.22,0.07,0.29,0.22,0.29,0.26,0.04,0.3,0.26,0.3
ITA-Serie A,2122,Cagliari,Kevin Strootman,NED,MF,31,1990,10,7,640,0,0,0,0,4,0,0.0,0.0,0.2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ITA-Serie A,2122,Cagliari,Leonardo Pavoletti,ITA,FW,32,1988,33,14,1518,5,1,0,0,9,0,6.6,6.6,1.1,82,0.3,0.06,0.36,0.3,0.36,0.39,0.07,0.46,0.39,0.46
ITA-Serie A,2122,Cagliari,Luca Ceppitelli,ITA,DF,31,1989,24,16,1445,1,1,0,0,3,0,0.4,0.4,0.3,5,0.06,0.06,0.12,0.06,0.12,0.02,0.02,0.04,0.02,0.04
ITA-Serie A,2122,Cagliari,Luca Gagliano,ITA,"FW,DF",21,2000,2,0,13,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Cagliari,Marko Rog,CRO,MF,26,1995,8,2,311,0,1,0,0,0,0,0.3,0.3,0.1,10,0.0,0.29,0.29,0.0,0.29,0.08,0.04,0.12,0.08,0.12
ITA-Serie A,2122,Cagliari,Martín Cáceres,URU,DF,34,1987,14,9,832,1,1,0,0,3,1,0.2,0.2,0.7,7,0.11,0.11,0.22,0.11,0.22,0.03,0.07,0.1,0.03,0.1
ITA-Serie A,2122,Cagliari,Matteo Lovato,ITA,DF,21,2000,16,14,1238,0,0,0,0,4,0,0.5,0.5,0.3,2,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
ITA-Serie A,2122,Cagliari,Nahitan Nández,URU,"MF,DF",25,1995,21,16,1523,0,2,0,0,4,0,0.8,0.8,2.7,104,0.0,0.12,0.12,0.0,0.12,0.05,0.16,0.21,0.05,0.21
ITA-Serie A,2122,Cagliari,Paolo Faragò,ITA,MF,28,1993,1,0,16,0,0,0,0,0,0,0.4,0.4,0.0,2,0.0,0.0,0.0,0.0,0.0,2.44,0.0,2.44,2.44,2.44
ITA-Serie A,2122,Cagliari,Raoul Bellanova,ITA,"DF,FW",21,2000,31,27,2496,1,2,0,0,3,0,1.7,1.7,3.5,146,0.04,0.07,0.11,0.04,0.11,0.06,0.13,0.19,0.06,0.19
ITA-Serie A,2122,Cagliari,Răzvan Marin,ROU,MF,25,1996,36,31,2816,0,5,0,0,6,1,1.8,1.8,6.4,68,0.0,0.16,0.16,0.0,0.16,0.06,0.2,0.26,0.06,0.26
ITA-Serie A,2122,Cagliari,Sebastian Walukiewicz,POL,DF,21,2000,7,4,302,0,0,0,0,1,0,0.4,0.4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.13,0.14
ITA-Serie A,2122,Empoli,Andrea La Mantia,ITA,"FW,MF",30,1991,18,3,488,2,0,0,0,0,0,1.8,1.8,0.5,30,0.37,0.0,0.37,0.37,0.37,0.34,0.1,0.44,0.34,0.44
ITA-Serie A,2122,Empoli,Andrea Pinamonti,ITA,FW,22,1999,36,32,2869,13,2,4,4,4,0,12.7,9.5,2.9,233,0.41,0.06,0.47,0.28,0.35,0.4,0.09,0.49,0.3,0.39
ITA-Serie A,2122,Empoli,Ardian Ismajli,ALB,DF,24,1996,20,13,1272,0,0,0,0,7,0,0.3,0.3,0.1,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ITA-Serie A,2122,Empoli,Fabiano Parisi,ITA,DF,20,2000,25,16,1477,0,1,0,0,5,0,0.7,0.7,0.3,49,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.06,0.04,0.06
ITA-Serie A,2122,Empoli,Federico Di Francesco,ITA,"FW,MF",27,1994,26,17,1367,5,0,0,0,2,0,2.3,2.3,1.0,126,0.33,0.0,0.33,0.33,0.33,0.15,0.07,0.22,0.15,0.22
ITA-Serie A,2122,Empoli,Filippo Bandinelli,ITA,MF,26,1995,35,24,1955,2,3,0,0,10,0,2.2,2.2,3.4,101,0.09,0.14,0.23,0.09,0.23,0.1,0.16,0.26,0.1,0.26
ITA-Serie A,2122,Empoli,Giovanni Crociata,ITA,FW,23,1997,1,0,15,0,0,0,0,0,0,0.1,0.1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.89,0.89,0.89
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38,38,3420,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Empoli,Kristjan Asllani,ALB,MF,19,2002,23,14,1353,1,1,0,0,2,0,0.8,0.8,0.9,19,0.07,0.07,0.13,0.07,0.13,0.05,0.06,0.11,0.05,0.11
ITA-Serie A,2122,Empoli,Leo Štulac,SVN,MF,26,1994,23,8,833,2,2,0,0,1,0,0.2,0.2,0.4,6,0.22,0.22,0.43,0.22,0.43,0.03,0.04,0.07,0.03,0.07
ITA-Serie A,2122,Empoli,Leonardo Mancuso,ITA,FW,29,1992,8,5,425,1,0,0,0,0,0,1.9,1.9,0.3,28,0.21,0.0,0.21,0.21,0.21,0.4,0.06,0.46,0.4,0.46
ITA-Serie A,2122,Empoli,Liam Henderson,SCO,MF,25,1996,38,23,2020,2,3,0,0,4,0,2.5,2.5,3.0,133,0.09,0.13,0.22,0.09,0.22,0.11,0.13,0.25,0.11,0.25
ITA-Serie A,2122,Empoli,Liberato Cacace,NZL,DF,20,2000,10,5,466,0,0,0,0,1,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ITA-Serie A,2122,Empoli,Lorenzo Tonelli,ITA,DF,31,1990,14,8,870,0,0,0,0,4,0,0.4,0.4,0.3,3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
ITA-Serie A,2122,Empoli,Marco Benassi,ITA,MF,26,1994,12,3,382,0,0,0,0,1,0,0.9,0.9,0.5,29,0.0,0.0,0.0,0.0,0.0,0.21,0.12,0.33,0.21,0.33
ITA-Serie A,2122,Empoli,Mattia Viti,ITA,DF,19,2002,20,16,1491,0,0,0,0,3,1,0.4,0.4,0.0,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
ITA-Serie A,2122,Empoli,Nedim Bajrami,ALB,"MF,FW",22,1999,35,23,2054,6,5,3,3,3,0,6.4,4.0,4.7,177,0.26,0.22,0.48,0.13,0.35,0.28,0.21,0.49,0.18,0.38
ITA-Serie A,2122,Empoli,Nicolas Haas,SUI,MF,25,1996,16,11,1001,0,2,0,0,3,0,0.3,0.3,1.0,49,0.0,0.18,0.18,0.0,0.18,0.03,0.09,0.12,0.03,0.12
ITA-Serie A,2122,Empoli,Patrick Cutrone,ITA,FW,23,1998,28,15,1401,3,0,0,0,1,0,3.7,3.7,0.9,139,0.19,0.0,0.19,0.19,0.19,0.24,0.06,0.3,0.24,0.3
ITA-Serie A,2122,Empoli,Petar Stojanović,SVN,DF,25,1995,33,32,2735,1,1,0,0,11,1,0.6,0.6,3.2,110,0.03,0.03,0.07,0.03,0.07,0.02,0.11,0.13,0.02,0.13
