league,season,team,player,nationality,position,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xa,Progression_PrgR,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
ITA-Serie A,2122,Napoli,Kalidou Koulibaly,SEN,DF,30,1991,27,27,2405,3,1,0,0,5,1,1.3,1.3,1.3,10,0.11,0.04,0.15,0.11,0.15,0.05,0.05,0.1,0.05,0.1
ITA-Serie A,2122,Napoli,Kostas Manolas,GRE,DF,30,1991,4,3,313,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Napoli,Kévin Malcuit,MAR,"DF,MF",30,1991,8,2,288,0,1,0,0,3,0,0.0,0.0,0.2,19,0.0,0.31,0.31,0.0,0.31,0.01,0.07,0.08,0.01,0.08
ITA-Serie A,2122,Napoli,Lorenzo Insigne,ITA,FW,30,1991,32,28,2290,11,8,9,13,2,0,15.3,4.9,5.6,208,0.43,0.31,0.75,0.08,0.39,0.6,0.22,0.82,0.19,0.42
ITA-Serie A,2122,Napoli,Matteo Politano,ITA,FW,27,1993,33,20,1650,3,4,0,0,3,0,2.6,2.6,3.1,191,0.16,0.22,0.38,0.16,0.38,0.14,0.17,0.31,0.14,0.31
ITA-Serie A,2122,Napoli,Mário Rui,POR,DF,30,1991,34,34,2992,0,5,0,0,7,0,1.6,1.6,3.3,155,0.0,0.15,0.15,0.0,0.15,0.05,0.1,0.15,0.05,0.15
ITA-Serie A,2122,Napoli,Piotr Zieliński,POL,MF,27,1994,35,26,2086,6,5,0,0,1,0,3.4,3.4,3.9,95,0.26,0.22,0.47,0.26,0.47,0.15,0.17,0.31,0.15,0.31
ITA-Serie A,2122,Napoli,Stanislav Lobotka,SVK,MF,26,1994,23,19,1686,1,0,0,0,2,0,0.1,0.1,0.7,13,0.05,0.0,0.05,0.05,0.05,0.01,0.04,0.04,0.01,0.04
ITA-Serie A,2122,Napoli,Victor Osimhen,NGA,FW,22,1998,27,23,1983,14,2,0,0,5,1,10.5,10.5,1.8,178,0.64,0.09,0.73,0.64,0.73,0.48,0.08,0.56,0.48,0.56
ITA-Serie A,2122,Roma,Ainsley Maitland-Niles,ENG,DF,23,1997,8,7,487,0,0,0,0,0,0,0.3,0.3,0.6,33,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16
ITA-Serie A,2122,Roma,Amadou Diawara,GUI,MF,24,1997,4,2,170,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
ITA-Serie A,2122,Roma,Borja Mayoral,ESP,"FW,DF",24,1997,5,1,96,0,0,0,0,0,0,0.3,0.3,0.0,8,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29
ITA-Serie A,2122,Roma,Bryan Cristante,ITA,MF,26,1995,34,29,2678,2,0,0,0,9,0,2.2,2.2,2.6,24,0.07,0.0,0.07,0.07,0.07,0.08,0.09,0.16,0.08,0.16
ITA-Serie A,2122,Roma,Bryan Reynolds,USA,DF,20,2001,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Roma,Carles Pérez,ESP,"MF,FW",23,1998,19,3,554,1,1,0,0,2,0,1.5,1.5,1.0,52,0.16,0.16,0.32,0.16,0.32,0.24,0.17,0.41,0.24,0.41
ITA-Serie A,2122,Roma,Chris Smalling,ENG,DF,31,1989,27,23,2091,3,0,0,0,0,0,2.4,2.4,0.4,5,0.13,0.0,0.13,0.13,0.13,0.1,0.02,0.12,0.1,0.12
ITA-Serie A,2122,Roma,Cristian Volpato,ITA,"FW,MF",17,2003,3,0,38,1,0,0,0,0,0,0.1,0.1,0.0,7,2.37,0.0,2.37,2.37,2.37,0.23,0.11,0.34,0.23,0.34
ITA-Serie A,2122,Roma,Dimitrios Keramitsis,GRE,MF,17,2004,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Roma,Ebrima Darboe,GAM,MF,20,2001,1,1,63,0,0,0,0,0,0,0.1,0.1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ITA-Serie A,2122,Roma,Edoardo Bove,ITA,"MF,DF",19,2002,11,0,68,1,0,0,0,0,0,0.0,0.0,0.0,2,1.32,0.0,1.32,1.32,1.32,0.02,0.0,0.02,0.02,0.02
ITA-Serie A,2122,Roma,Eldor Shomurodov,UZB,"FW,MF",26,1995,28,5,784,3,4,0,0,2,0,4.3,4.3,3.3,85,0.34,0.46,0.8,0.34,0.8,0.49,0.38,0.87,0.49,0.87
ITA-Serie A,2122,Roma,Felix Afena-Gyan,GHA,"FW,MF",18,2003,17,6,668,2,0,0,0,5,1,1.7,1.7,0.6,77,0.27,0.0,0.27,0.27,0.27,0.22,0.08,0.3,0.22,0.3
ITA-Serie A,2122,Roma,Gianluca Mancini,ITA,DF,25,1996,33,33,2878,0,0,0,0,16,1,2.4,2.3,0.3,17,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
ITA-Serie A,2122,Roma,Henrikh Mkhitaryan,ARM,"MF,FW",32,1989,31,29,2495,5,6,0,0,4,1,3.9,3.9,5.1,139,0.18,0.22,0.4,0.18,0.4,0.14,0.18,0.33,0.14,0.33
ITA-Serie A,2122,Roma,Jordan Veretout,FRA,MF,28,1993,36,26,2319,4,8,1,2,6,0,4.6,3.1,5.4,70,0.16,0.31,0.47,0.12,0.43,0.18,0.21,0.39,0.12,0.33
ITA-Serie A,2122,Roma,Leonardo Spinazzola,ITA,DF,28,1993,3,2,127,0,0,0,0,1,0,0.0,0.0,0.1,10,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12
ITA-Serie A,2122,Roma,Lorenzo Pellegrini,ITA,MF,25,1996,28,27,2289,9,3,2,3,8,1,8.9,6.4,7.0,181,0.35,0.12,0.47,0.28,0.39,0.35,0.28,0.63,0.25,0.53
ITA-Serie A,2122,Roma,Marash Kumbulla,ALB,DF,21,2000,17,13,1025,0,0,0,0,6,0,0.8,0.8,0.1,0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
ITA-Serie A,2122,Roma,Matías Viña,URU,"DF,FW",23,1997,26,18,1565,0,1,0,0,2,0,0.6,0.6,1.1,68,0.0,0.06,0.06,0.0,0.06,0.03,0.06,0.1,0.03,0.1
ITA-Serie A,2122,Roma,Nicola Zalewski,POL,DF,19,2002,16,9,793,0,0,0,0,1,0,0.4,0.4,0.5,35,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
ITA-Serie A,2122,Roma,Nicolò Zaniolo,ITA,"FW,MF",22,1999,28,23,1971,2,1,0,0,12,2,5.6,5.6,2.9,205,0.09,0.05,0.14,0.09,0.14,0.25,0.13,0.39,0.25,0.39
ITA-Serie A,2122,Roma,Riccardo Calafiori,ITA,DF,19,2002,6,2,174,0,1,0,0,2,0,0.0,0.0,0.9,6,0.0,0.52,0.52,0.0,0.52,0.0,0.47,0.47,0.0,0.47
ITA-Serie A,2122,Roma,Rick Karsdorp,NED,"DF,FW",26,1995,36,32,2883,0,2,0,0,9,1,0.1,0.1,4.8,210,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15
ITA-Serie A,2122,Roma,Roger Ibanez,BRA,DF,22,1998,34,32,2889,3,0,0,0,9,0,2.0,2.0,0.5,15,0.09,0.0,0.09,0.09,0.09,0.06,0.02,0.08,0.06,0.08
ITA-Serie A,2122,Roma,Rui Patrício,POR,GK,33,1988,38,38,3420,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Roma,Stephan El Shaarawy,ITA,"FW,DF",28,1992,27,8,1055,3,0,0,0,1,0,2.7,2.7,3.0,105,0.26,0.0,0.26,0.26,0.26,0.23,0.26,0.49,0.23,0.49
ITA-Serie A,2122,Roma,Sérgio Oliveira,POR,MF,29,1992,14,13,892,2,0,1,1,5,0,1.3,0.5,1.7,16,0.2,0.0,0.2,0.1,0.1,0.13,0.17,0.3,0.05,0.23
ITA-Serie A,2122,Roma,Tammy Abraham,ENG,FW,23,1997,37,36,3084,17,4,3,3,9,0,20.7,18.4,4.8,199,0.5,0.12,0.61,0.41,0.53,0.6,0.14,0.74,0.54,0.68
ITA-Serie A,2122,Salernitana,Alessandro Russo,ITA,MF,17,2003,1,0,29,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Andrea Schiavone,ITA,MF,28,1993,14,5,571,1,0,0,0,1,0,0.2,0.2,0.6,7,0.16,0.0,0.16,0.16,0.16,0.02,0.09,0.11,0.02,0.11
ITA-Serie A,2122,Salernitana,Andrei Motoc,MDA,DF,19,2002,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ITA-Serie A,2122,Salernitana,Cedric Gondo,CIV,FW,24,1996,14,10,699,1,0,0,0,1,0,1.7,1.7,0.5,74,0.13,0.0,0.13,0.13,0.13,0.22,0.06,0.28,0.22,0.28
ITA-Serie A,2122,Salernitana,Diego Perotti,ARG,"MF,FW",33,1988,11,1,287,0,0,0,1,1,0,1.4,0.6,0.3,25,0.0,0.0,0.0,0.0,0.0,0.44,0.09,0.53,0.19,0.28
ITA-Serie A,2122,Salernitana,Edoardo Vergani,ITA,"FW,MF",20,2001,6,1,102,0,0,0,0,0,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Emil Bohinen,NOR,MF,22,1999,11,8,699,0,1,0,0,5,0,0.1,0.1,0.4,13,0.0,0.13,0.13,0.0,0.13,0.02,0.05,0.07,0.02,0.07
ITA-Serie A,2122,Salernitana,Federico Bonazzoli,ITA,"FW,MF",24,1997,32,19,1866,10,0,2,2,6,0,7.5,5.9,1.1,85,0.48,0.0,0.48,0.39,0.39,0.36,0.05,0.41,0.28,0.34
ITA-Serie A,2122,Salernitana,Federico Fazio,ARG,DF,34,1987,16,16,1434,1,0,0,0,3,1,1.5,1.5,0.4,6,0.06,0.0,0.06,0.06,0.06,0.09,0.02,0.12,0.09,0.12
ITA-Serie A,2122,Salernitana,Filippo Delli Carri,ITA,DF,22,1999,5,3,334,0,0,0,0,1,0,0.2,0.2,0.1,7,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08
ITA-Serie A,2122,Salernitana,Francesco Di Tacchio,ITA,MF,31,1990,18,14,1255,0,0,0,0,3,0,0.4,0.4,0.2,5,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
ITA-Serie A,2122,Salernitana,Franck Ribéry,FRA,"MF,FW",38,1983,23,16,1421,0,2,0,0,3,1,0.9,0.9,2.9,95,0.0,0.13,0.13,0.0,0.13,0.06,0.18,0.24,0.06,0.24
ITA-Serie A,2122,Salernitana,Freddie Veseli,ALB,DF,28,1992,9,8,596,0,0,0,0,3,1,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Grigoris Kastanos,CYP,"MF,FW",23,1998,27,16,1348,1,1,0,0,4,1,1.2,1.2,1.5,54,0.07,0.07,0.13,0.07,0.13,0.08,0.1,0.18,0.08,0.18
ITA-Serie A,2122,Salernitana,Ivan Radovanović,SRB,"DF,MF",32,1988,14,12,1053,1,1,0,0,4,0,1.0,1.0,1.4,6,0.09,0.09,0.17,0.09,0.17,0.08,0.12,0.2,0.08,0.2
ITA-Serie A,2122,Salernitana,Joel Obi,NGA,"MF,DF",30,1991,21,12,1143,0,1,0,0,4,0,1.3,1.3,1.8,46,0.0,0.08,0.08,0.0,0.08,0.1,0.14,0.24,0.1,0.24
ITA-Serie A,2122,Salernitana,Julian Kristoffersen,NOR,FW,24,1997,1,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38
ITA-Serie A,2122,Salernitana,Lassana Coulibaly,MLI,MF,25,1996,31,29,2332,0,0,0,0,3,0,1.0,1.0,0.3,38,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
ITA-Serie A,2122,Salernitana,Leonardo Capezzi,ITA,MF,26,1995,5,2,175,0,0,0,0,0,0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Luca Ranieri,ITA,DF,22,1999,27,25,2103,1,0,0,0,9,0,0.6,0.6,1.0,69,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.07,0.03,0.07
ITA-Serie A,2122,Salernitana,Luigi Sepe,ITA,GK,30,1991,16,16,1392,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Luka Bogdan,CRO,DF,25,1996,6,4,399,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ITA-Serie A,2122,Salernitana,Lys Mousset,FRA,"MF,FW",25,1996,6,2,160,0,1,0,0,2,0,0.1,0.1,0.2,11,0.0,0.56,0.56,0.0,0.56,0.07,0.09,0.16,0.07,0.16
ITA-Serie A,2122,Salernitana,Mamadou Coulibaly,SEN,MF,22,1999,12,9,808,2,0,0,0,1,0,1.4,1.4,0.2,30,0.22,0.0,0.22,0.22,0.22,0.15,0.02,0.17,0.15,0.17
ITA-Serie A,2122,Salernitana,Mario Perrone,ITA,DF,18,2003,1,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Matteo Ruggeri,ITA,DF,19,2002,14,8,676,0,0,0,0,1,0,0.2,0.2,0.3,19,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
ITA-Serie A,2122,Salernitana,Mikael,BRA,"FW,MF",22,1999,7,0,87,0,0,0,0,0,0,0.2,0.2,0.0,3,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23
ITA-Serie A,2122,Salernitana,Milan Đurić,BIH,FW,31,1990,33,23,2165,5,4,1,1,6,0,5.3,4.5,3.3,100,0.21,0.17,0.37,0.17,0.33,0.22,0.14,0.35,0.19,0.32
ITA-Serie A,2122,Salernitana,Nadir Zortea,ITA,"DF,MF",22,1999,29,13,1410,1,2,0,0,3,0,0.5,0.5,1.5,74,0.06,0.13,0.19,0.06,0.19,0.03,0.1,0.13,0.03,0.13
ITA-Serie A,2122,Salernitana,Norbert Gyömbér,SVK,DF,29,1992,31,30,2563,0,0,0,0,9,0,0.6,0.6,0.6,12,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
ITA-Serie A,2122,Salernitana,Pasquale Mazzocchi,ITA,DF,26,1995,15,15,1269,0,2,0,0,2,0,0.1,0.1,1.6,46,0.0,0.14,0.14,0.0,0.14,0.01,0.12,0.13,0.01,0.13
ITA-Serie A,2122,Salernitana,Paweł Jaroszyński,POL,DF,26,1994,13,4,516,0,0,0,0,2,0,0.1,0.1,0.5,11,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11
ITA-Serie A,2122,Salernitana,Radu Drăgușin,ROU,DF,19,2002,7,5,488,0,0,0,0,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Ramzi Aya,ITA,DF,30,1990,2,2,135,0,0,0,0,1,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ITA-Serie A,2122,Salernitana,Riccardo Gagliolo,SWE,DF,31,1990,17,12,1138,0,1,0,0,2,0,0.5,0.5,0.6,8,0.0,0.08,0.08,0.0,0.08,0.04,0.05,0.09,0.04,0.09
ITA-Serie A,2122,Salernitana,Simeon Nwankwo,NGA,FW,29,1992,19,10,842,1,1,0,0,0,0,3.2,3.2,0.5,48,0.11,0.11,0.21,0.11,0.21,0.34,0.05,0.39,0.34,0.39
ITA-Serie A,2122,Salernitana,Simone Verdi,ITA,"FW,MF",29,1992,15,11,829,5,0,1,1,3,0,3.4,2.6,1.3,38,0.54,0.0,0.54,0.43,0.43,0.37,0.15,0.52,0.28,0.43
ITA-Serie A,2122,Salernitana,Stefan Strandberg,NOR,DF,31,1990,11,11,933,0,0,0,0,2,1,0.4,0.4,0.3,1,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
ITA-Serie A,2122,Salernitana,Vid Belec,SVN,GK,31,1990,23,21,1938,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Vincenzo Fiorillo,ITA,GK,31,1990,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Salernitana,Wajdi Kechrida,TUN,"DF,MF",25,1995,17,10,952,0,1,0,0,0,0,0.2,0.2,0.8,30,0.0,0.09,0.09,0.0,0.09,0.02,0.08,0.1,0.02,0.1
ITA-Serie A,2122,Salernitana,Éderson,BRA,MF,22,1999,15,13,1147,2,1,0,0,5,0,2.0,2.0,1.0,39,0.16,0.08,0.24,0.16,0.24,0.16,0.08,0.24,0.16,0.24
ITA-Serie A,2122,Sampdoria,Abdelhamid Sabiri,MAR,"MF,FW",24,1996,14,9,893,3,2,0,0,3,0,1.4,1.4,1.6,36,0.3,0.2,0.5,0.3,0.5,0.14,0.16,0.31,0.14,0.31
ITA-Serie A,2122,Sampdoria,Adrien Silva,POR,MF,32,1989,17,12,1083,0,1,0,0,3,1,0.3,0.3,0.4,14,0.0,0.08,0.08,0.0,0.08,0.03,0.03,0.06,0.03,0.06
ITA-Serie A,2122,Sampdoria,Albin Ekdal,SWE,MF,32,1989,26,19,1637,1,0,0,0,11,1,0.9,0.9,0.3,20,0.05,0.0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06
ITA-Serie A,2122,Sampdoria,Alex Ferrari,ITA,DF,27,1994,23,20,1643,1,0,0,0,4,0,0.6,0.6,0.0,5,0.05,0.0,0.05,0.05,0.05,0.03,0.0,0.03,0.03,0.03
ITA-Serie A,2122,Sampdoria,Andrea Conti,ITA,"DF,MF",27,1994,7,2,234,1,0,0,0,1,0,0.4,0.4,0.0,13,0.38,0.0,0.38,0.38,0.38,0.14,0.0,0.14,0.14,0.14
ITA-Serie A,2122,Sampdoria,Antonio Candreva,ITA,"MF,FW",34,1987,36,36,3119,7,10,1,2,6,1,5.8,4.2,7.2,223,0.2,0.29,0.49,0.17,0.46,0.17,0.21,0.38,0.12,0.33
ITA-Serie A,2122,Sampdoria,Bartosz Bereszyński,POL,DF,29,1992,35,35,2946,0,3,0,0,12,0,0.5,0.5,1.8,108,0.0,0.09,0.09,0.0,0.09,0.01,0.05,0.07,0.01,0.07
ITA-Serie A,2122,Sampdoria,Emil Audero,IDN,GK,24,1997,29,29,2560,0,0,0,0,2,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
ITA-Serie A,2122,Sampdoria,Ernesto Torregrossa,VEN,FW,29,1992,10,0,116,0,0,0,0,1,0,0.0,0.0,0.1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
ITA-Serie A,2122,Sampdoria,Fabio Depaoli,ITA,"MF,DF",24,1997,6,1,112,0,0,0,0,1,0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sampdoria,Fabio Quagliarella,ITA,FW,38,1983,33,19,1664,4,2,1,1,2,0,4.3,3.5,1.6,140,0.22,0.11,0.32,0.16,0.27,0.23,0.09,0.32,0.19,0.28
ITA-Serie A,2122,Sampdoria,Francesco Caputo,ITA,FW,33,1987,36,31,2790,11,3,0,1,0,0,10.3,9.3,3.2,196,0.35,0.1,0.45,0.35,0.45,0.33,0.1,0.43,0.3,0.4
ITA-Serie A,2122,Sampdoria,Gerard Yepes,ESP,"MF,DF",18,2002,4,0,21,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sampdoria,Giangiacomo Magnani,ITA,DF,25,1995,4,3,239,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sampdoria,Julian Chabot,GER,DF,23,1998,11,4,490,0,0,0,0,5,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ITA-Serie A,2122,Sampdoria,Kristoffer Askildsen,NOR,MF,20,2001,19,7,754,0,0,0,0,5,0,0.4,0.4,0.1,11,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
ITA-Serie A,2122,Sampdoria,Manolo Gabbiadini,ITA,"FW,MF",29,1991,18,15,1140,6,2,0,0,3,0,3.9,3.9,2.0,57,0.47,0.16,0.63,0.47,0.63,0.31,0.16,0.46,0.31,0.46
ITA-Serie A,2122,Sampdoria,Maya Yoshida,JPN,DF,32,1988,26,19,1823,2,3,0,0,2,0,1.0,1.0,1.9,5,0.1,0.15,0.25,0.1,0.25,0.05,0.09,0.14,0.05,0.14
ITA-Serie A,2122,Sampdoria,Mikkel Damsgaard,DEN,"MF,FW",21,2000,11,6,578,0,0,0,0,1,0,0.6,0.6,0.5,40,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16
ITA-Serie A,2122,Sampdoria,Morten Thorsby,NOR,MF,25,1996,35,35,2943,3,1,0,0,10,0,3.2,3.2,1.1,51,0.09,0.03,0.12,0.09,0.12,0.1,0.03,0.13,0.1,0.13
ITA-Serie A,2122,Sampdoria,Nicola Murru,ITA,DF,26,1994,22,13,983,1,0,0,0,5,0,0.1,0.1,0.4,30,0.09,0.0,0.09,0.09,0.09,0.01,0.04,0.05,0.01,0.05
ITA-Serie A,2122,Sampdoria,Nicola Ravaglia,ITA,GK,32,1988,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sampdoria,Omar Colley,GAM,DF,28,1992,32,31,2745,0,0,0,0,6,1,1.2,1.2,0.0,4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ITA-Serie A,2122,Sampdoria,Radu Drăgușin,ROU,DF,19,2002,13,4,620,0,0,0,0,1,0,0.2,0.2,0.1,10,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05
ITA-Serie A,2122,Sampdoria,Riccardo Ciervo,ITA,"MF,DF",19,2002,10,1,227,0,1,0,0,0,0,0.1,0.1,0.2,12,0.0,0.4,0.4,0.0,0.4,0.04,0.08,0.12,0.04,0.12
ITA-Serie A,2122,Sampdoria,Ronaldo Vieira,ENG,MF,23,1998,14,4,495,0,0,0,0,3,0,0.1,0.1,0.0,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ITA-Serie A,2122,Sampdoria,Sebastian Giovinco,ITA,MF,34,1987,2,0,39,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ITA-Serie A,2122,Sampdoria,Simone Trimboli,ITA,MF,19,2002,5,0,65,0,0,0,0,1,0,0.0,0.0,0.4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5
ITA-Serie A,2122,Sampdoria,Stefano Sensi,ITA,"MF,FW",25,1995,11,10,754,1,0,0,0,1,0,1.1,1.1,0.8,24,0.12,0.0,0.12,0.12,0.12,0.13,0.1,0.23,0.13,0.23
ITA-Serie A,2122,Sampdoria,Tommaso Augello,ITA,DF,26,1994,36,25,2395,1,1,0,0,0,0,0.4,0.4,1.9,100,0.04,0.04,0.08,0.04,0.08,0.01,0.07,0.09,0.01,0.09
ITA-Serie A,2122,Sampdoria,Tomás Rincón,VEN,MF,33,1988,17,13,1166,0,0,0,0,3,0,0.3,0.3,0.1,19,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ITA-Serie A,2122,Sampdoria,Valerio Verre,ITA,"MF,FW",27,1994,11,6,420,0,0,0,0,0,0,0.8,0.8,0.2,24,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.22,0.17,0.22
ITA-Serie A,2122,Sampdoria,Vladyslav Supriaha,UKR,FW,21,2000,1,0,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sampdoria,Wladimiro Falcone,ITA,GK,26,1995,10,9,855,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sassuolo,Abdou Harroui,NED,MF,23,1998,22,3,452,0,0,0,0,2,0,0.5,0.5,0.2,15,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.14,0.1,0.14
ITA-Serie A,2122,Sassuolo,Andrea Consigli,ITA,GK,34,1987,37,37,3322,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sassuolo,Brian Oddei,ITA,FW,18,2002,2,0,8,0,0,0,0,0,0,0.1,0.1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.66,0.0,1.66,1.66,1.66
ITA-Serie A,2122,Sassuolo,Davide Frattesi,ITA,MF,21,1999,36,35,2854,4,3,0,0,6,0,5.9,5.9,3.6,104,0.13,0.09,0.22,0.13,0.22,0.19,0.11,0.3,0.19,0.3
ITA-Serie A,2122,Sassuolo,Domenico Berardi,ITA,FW,26,1994,33,33,2819,15,14,6,6,9,0,11.3,6.5,8.7,265,0.48,0.45,0.93,0.29,0.73,0.36,0.28,0.64,0.21,0.49
ITA-Serie A,2122,Sassuolo,Edoardo Goldaniga,ITA,"DF,MF",27,1993,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sassuolo,Emil Ceide,NOR,"FW,MF",19,2001,6,0,53,0,0,0,0,0,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Sassuolo,Federico Peluso,ITA,DF,37,1984,2,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
