league,season,team,player,nationality,position,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2223,Bologna,Stefan Posch,AUT,DF,25,1997,28.1,6,28,10,35.7,1.0,0.36,0.21,0.6,0,0,3.3,3.3,0.12,2.7,2.7
ITA-Serie A,2223,Bologna,Łukasz Skorupski,POL,GK,31,1991,37.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Alberto Basso,ITA,MF,18,2004,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0
ITA-Serie A,2223,Cremonese,Alex Ferrari,ITA,DF,28,1994,11.2,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Charles Pickel,COD,MF,25,1997,27.6,1,23,7,30.4,0.83,0.25,0.04,0.14,0,0,1.6,1.6,0.07,-0.6,-0.6
ITA-Serie A,2223,Cremonese,Christian Acella,ITA,MF,20,2002,0.2,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Cristian Buonaiuto,ITA,"MF,FW",29,1992,10.9,1,42,11,26.2,3.86,1.01,0.0,0.0,1,1,3.3,2.5,0.06,-2.3,-2.5
ITA-Serie A,2223,Cremonese,Cyriel Dessers,NGA,FW,27,1994,17.6,6,49,12,24.5,2.78,0.68,0.12,0.5,0,1,7.1,6.4,0.13,-1.1,-0.4
ITA-Serie A,2223,Cremonese,Daniel Ciofani,ITA,FW,37,1985,11.8,8,28,13,46.4,2.38,1.1,0.18,0.38,3,4,5.5,2.3,0.08,2.5,2.7
ITA-Serie A,2223,Cremonese,David Okereke,NGA,"FW,MF",24,1997,25.2,7,60,20,33.3,2.38,0.79,0.1,0.3,1,1,5.9,5.2,0.09,1.1,0.8
ITA-Serie A,2223,Cremonese,Emanuel Aiwum,AUT,DF,21,2000,18.4,0,3,1,33.3,0.16,0.05,0.0,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
ITA-Serie A,2223,Cremonese,Emanuele Valeri,ITA,DF,23,1998,30.9,2,40,6,15.0,1.29,0.19,0.05,0.33,0,0,2.2,2.2,0.05,-0.2,-0.2
ITA-Serie A,2223,Cremonese,Felix Afena-Gyan,GHA,"FW,MF",19,2003,9.1,0,21,2,9.5,2.31,0.22,0.0,0.0,0,0,1.9,1.9,0.09,-1.9,-1.9
ITA-Serie A,2223,Cremonese,Frank Tsadjout,ITA,FW,23,1999,11.7,3,26,10,38.5,2.23,0.86,0.12,0.3,0,0,2.0,2.0,0.08,1.0,1.0
ITA-Serie A,2223,Cremonese,Giacomo Quagliata,ITA,DF,22,2000,7.8,0,9,1,11.1,1.16,0.13,0.0,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
ITA-Serie A,2223,Cremonese,Gonzalo Escalante,ARG,MF,29,1993,6.2,0,6,1,16.7,0.97,0.16,0.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
ITA-Serie A,2223,Cremonese,Ionuț Radu,ROU,GK,25,1997,9.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Jack Hendry,SCO,DF,27,1995,2.4,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Jaime Báez,URU,DF,27,1995,1.1,0,2,0,0.0,1.87,0.0,0.0,,0,0,0.1,0.1,0.06,-0.1,-0.1
ITA-Serie A,2223,Cremonese,Johan Vásquez,MEX,DF,23,1998,20.1,1,12,1,8.3,0.6,0.05,0.08,1.0,0,0,0.7,0.7,0.06,0.3,0.3
ITA-Serie A,2223,Cremonese,Leonardo Sernicola,ITA,DF,25,1997,25.7,2,25,5,20.0,0.97,0.19,0.08,0.4,0,0,1.3,1.3,0.05,0.7,0.7
ITA-Serie A,2223,Cremonese,Luca Zanimacchia,ITA,"MF,FW",24,1998,8.3,0,19,4,21.1,2.29,0.48,0.0,0.0,0,0,1.2,1.2,0.06,-1.2,-1.2
ITA-Serie A,2223,Cremonese,Luka Lochoshvili,GEO,DF,24,1998,20.4,1,8,2,25.0,0.39,0.1,0.13,0.5,0,0,0.6,0.6,0.08,0.4,0.4
ITA-Serie A,2223,Cremonese,Marco Benassi,ITA,MF,27,1994,11.1,0,19,8,42.1,1.71,0.72,0.0,0.0,0,0,1.3,1.3,0.07,-1.3,-1.3
ITA-Serie A,2223,Cremonese,Marco Carnesecchi,ITA,GK,22,2000,27.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Matteo Bianchetti,ITA,DF,29,1993,23.7,1,7,4,57.1,0.3,0.17,0.14,0.25,0,0,0.8,0.8,0.11,0.2,0.2
ITA-Serie A,2223,Cremonese,Michele Castagnetti,ITA,MF,32,1989,15.7,0,12,1,8.3,0.76,0.06,0.0,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6
ITA-Serie A,2223,Cremonese,Mouhamadou Sarr,SEN,GK,25,1997,2.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Pablo Galdames Millán,CHI,MF,25,1996,8.2,1,7,4,57.1,0.86,0.49,0.14,0.25,0,0,0.3,0.3,0.05,0.7,0.7
ITA-Serie A,2223,Cremonese,Paolo Ghiglione,ITA,DF,25,1997,7.9,1,7,2,28.6,0.89,0.25,0.14,0.5,0,0,0.8,0.8,0.12,0.2,0.2
ITA-Serie A,2223,Cremonese,Samuel Di Carmine,ITA,"FW,MF",33,1988,0.3,0,1,0,0.0,3.21,0.0,0.0,,0,0,0.1,0.1,0.09,-0.1,-0.1
ITA-Serie A,2223,Cremonese,Santiago Ascacíbar,ARG,MF,25,1997,8.1,0,14,3,21.4,1.73,0.37,0.0,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4
ITA-Serie A,2223,Cremonese,Soualiho Meïté,FRA,MF,28,1994,26.3,0,17,3,17.6,0.65,0.11,0.0,0.0,0,0,0.5,0.5,0.03,-0.5,-0.5
ITA-Serie A,2223,Cremonese,Tommaso Milanese,ITA,MF,20,2002,0.3,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Cremonese,Vlad Chiricheș,ROU,DF,32,1989,10.9,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Alberto Grassi,ITA,MF,27,1995,13.3,0,10,3,30.0,0.75,0.23,0.0,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
ITA-Serie A,2223,Empoli,Ardian Ismajli,ALB,DF,25,1996,23.3,0,9,2,22.2,0.39,0.09,0.0,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7
ITA-Serie A,2223,Empoli,Duccio Degl'Innocenti,ITA,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Emanuel Vignato,ITA,"MF,FW",21,2000,0.6,1,2,1,50.0,3.16,1.58,0.5,1.0,0,0,0.2,0.2,0.1,0.8,0.8
ITA-Serie A,2223,Empoli,Emmanuel Ekong,SWE,"FW,MF",20,2002,0.2,0,1,0,0.0,4.5,0.0,0.0,,0,0,0.0,0.0,0.04,0.0,0.0
ITA-Serie A,2223,Empoli,Fabiano Parisi,ITA,DF,21,2000,31.4,2,21,2,9.5,0.67,0.06,0.1,1.0,0,0,1.8,1.8,0.09,0.2,0.2
ITA-Serie A,2223,Empoli,Filippo Bandinelli,ITA,MF,27,1995,25.1,2,24,7,29.2,0.95,0.28,0.08,0.29,0,0,1.7,1.7,0.07,0.3,0.3
ITA-Serie A,2223,Empoli,Francesco Caputo,ITA,FW,34,1987,19.0,5,40,15,37.5,2.11,0.79,0.08,0.2,2,2,7.5,5.9,0.16,-2.5,-2.9
ITA-Serie A,2223,Empoli,Guglielmo Vicario,ITA,GK,25,1996,30.9,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Herculano Nabian,POR,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Jacopo Fazzini,ITA,MF,19,2003,9.2,0,14,1,7.1,1.53,0.11,0.0,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0
ITA-Serie A,2223,Empoli,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",29,1992,15.1,1,14,5,35.7,0.93,0.33,0.07,0.2,0,0,1.5,1.5,0.1,-0.5,-0.5
ITA-Serie A,2223,Empoli,Koni De Winter,BEL,DF,20,2002,11.4,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Liam Henderson,SCO,MF,26,1996,11.2,0,12,5,41.7,1.07,0.45,0.0,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
ITA-Serie A,2223,Empoli,Liberato Cacace,NZL,DF,21,2000,6.5,0,7,1,14.3,1.07,0.15,0.0,0.0,0,0,0.6,0.6,0.09,-0.6,-0.6
ITA-Serie A,2223,Empoli,Lorenzo Tonelli,ITA,DF,32,1990,0.2,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Marko Pjaca,CRO,"MF,FW",27,1995,5.8,0,15,2,13.3,2.57,0.34,0.0,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7
ITA-Serie A,2223,Empoli,Martin Satriano,URU,FW,21,2001,18.9,2,38,10,26.3,2.01,0.53,0.05,0.2,0,0,3.9,3.9,0.1,-1.9,-1.9
ITA-Serie A,2223,Empoli,Mattia Destro,ITA,"FW,MF",31,1991,6.4,1,20,7,35.0,3.15,1.1,0.05,0.14,0,0,1.4,1.4,0.07,-0.4,-0.4
ITA-Serie A,2223,Empoli,Nedim Bajrami,ALB,"MF,FW",23,1999,10.4,1,21,7,33.3,2.01,0.67,0.05,0.14,0,0,1.2,1.2,0.06,-0.2,-0.2
ITA-Serie A,2223,Empoli,Nicolas Haas,SUI,MF,26,1996,12.8,1,8,3,37.5,0.62,0.23,0.13,0.33,0,0,1.2,1.2,0.15,-0.2,-0.2
ITA-Serie A,2223,Empoli,Nicolò Cambiaghi,ITA,"FW,MF",21,2000,14.3,6,36,14,38.9,2.52,0.98,0.17,0.43,0,0,3.4,3.4,0.09,2.6,2.6
ITA-Serie A,2223,Empoli,Petar Stojanović,SVN,DF,26,1995,17.0,0,10,2,20.0,0.59,0.12,0.0,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
ITA-Serie A,2223,Empoli,Roberto Piccoli,ITA,FW,21,2001,5.7,2,12,6,50.0,2.09,1.05,0.17,0.33,0,0,1.3,1.3,0.1,0.7,0.7
ITA-Serie A,2223,Empoli,Răzvan Marin,ROU,MF,26,1996,28.2,2,33,8,24.2,1.17,0.28,0.06,0.25,0,0,1.4,1.4,0.04,0.6,0.6
ITA-Serie A,2223,Empoli,Sam Lammers,NED,FW,25,1997,9.8,1,28,7,25.0,2.85,0.71,0.04,0.14,0,0,2.3,2.3,0.08,-1.3,-1.3
ITA-Serie A,2223,Empoli,Samir Ujkani,KVX,GK,34,1988,0.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Samuele Perisan,ITA,GK,24,1997,7.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Empoli,Sebastian Walukiewicz,POL,DF,22,2000,6.7,0,2,1,50.0,0.3,0.15,0.0,0.0,0,0,0.3,0.3,0.17,-0.3,-0.3
ITA-Serie A,2223,Empoli,Sebastiano Luperto,ITA,DF,25,1996,34.8,2,18,4,22.2,0.52,0.11,0.11,0.5,0,0,1.2,1.2,0.07,0.8,0.8
ITA-Serie A,2223,Empoli,Tommaso Baldanzi,ITA,MF,19,2003,19.7,4,33,12,36.4,1.68,0.61,0.12,0.33,0,0,2.4,2.4,0.07,1.6,1.6
ITA-Serie A,2223,Empoli,Tyronne Ebuehi,NGA,DF,26,1995,21.4,2,19,4,21.1,0.89,0.19,0.11,0.5,0,0,3.1,3.1,0.16,-1.1,-1.1
ITA-Serie A,2223,Fiorentina,Aleksa Terzić,SRB,DF,22,1999,10.4,1,10,2,20.0,0.96,0.19,0.1,0.5,0,0,0.4,0.4,0.04,0.6,0.6
ITA-Serie A,2223,Fiorentina,Alessandro Bianco,ITA,MF,19,2002,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
ITA-Serie A,2223,Fiorentina,Alfred Duncan,GHA,MF,29,1993,12.3,1,9,2,22.2,0.73,0.16,0.11,0.5,0,0,0.5,0.5,0.05,0.5,0.5
ITA-Serie A,2223,Fiorentina,Antonín Barák,CZE,MF,27,1994,20.0,2,32,7,21.9,1.6,0.35,0.06,0.29,0,0,2.6,2.6,0.08,-0.6,-0.6
ITA-Serie A,2223,Fiorentina,Arthur Cabral,BRA,FW,24,1998,15.9,8,52,20,38.5,3.27,1.26,0.12,0.3,2,2,7.9,6.3,0.12,0.1,-0.3
ITA-Serie A,2223,Fiorentina,Christian Kouamé,CIV,FW,24,1997,20.7,4,42,13,31.0,2.03,0.63,0.1,0.31,0,0,5.3,5.3,0.13,-1.3,-1.3
ITA-Serie A,2223,Fiorentina,Cristiano Biraghi,ITA,DF,29,1992,28.3,2,24,5,20.8,0.85,0.18,0.08,0.4,0,1,1.8,1.1,0.04,0.2,0.9
ITA-Serie A,2223,Fiorentina,Dodô,BRA,DF,23,1998,25.9,1,11,4,36.4,0.42,0.15,0.09,0.25,0,0,0.7,0.7,0.06,0.3,0.3
ITA-Serie A,2223,Fiorentina,Gaetano Castrovilli,ITA,MF,25,1997,8.0,2,18,8,44.4,2.26,1.0,0.11,0.25,0,0,1.2,1.2,0.07,0.8,0.8
ITA-Serie A,2223,Fiorentina,Giacomo Bonaventura,ITA,MF,32,1989,21.2,5,49,14,28.6,2.31,0.66,0.1,0.36,0,0,4.3,4.3,0.09,0.7,0.7
ITA-Serie A,2223,Fiorentina,Igor,BRA,DF,24,1998,22.9,0,7,0,0.0,0.31,0.0,0.0,,0,0,0.5,0.5,0.08,-0.5,-0.5
ITA-Serie A,2223,Fiorentina,Jonathan Ikone,FRA,FW,24,1998,22.3,4,51,9,17.6,2.29,0.4,0.08,0.44,0,0,4.1,4.1,0.08,-0.1,-0.1
ITA-Serie A,2223,Fiorentina,Josip Brekalo,CRO,"FW,MF",24,1998,2.5,0,5,0,0.0,1.97,0.0,0.0,,0,0,0.7,0.7,0.13,-0.7,-0.7
ITA-Serie A,2223,Fiorentina,Lorenzo Venuti,ITA,DF,27,1995,10.3,0,7,4,57.1,0.68,0.39,0.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
ITA-Serie A,2223,Fiorentina,Luca Ranieri,ITA,DF,23,1999,5.6,0,1,0,0.0,0.18,0.0,0.0,,0,0,0.1,0.1,0.07,-0.1,-0.1
ITA-Serie A,2223,Fiorentina,Lucas Martínez Quarta,ARG,DF,26,1996,24.1,1,27,10,37.0,1.12,0.41,0.04,0.1,0,0,2.5,2.5,0.09,-1.5,-1.5
ITA-Serie A,2223,Fiorentina,Luka Jović,SRB,"FW,MF",24,1997,17.0,6,56,19,33.9,3.29,1.11,0.11,0.32,0,1,7.9,7.1,0.13,-1.9,-1.1
ITA-Serie A,2223,Fiorentina,Marco Benassi,ITA,DF,27,1994,1.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Fiorentina,Michele Cerofolini,ITA,GK,23,1999,5.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Fiorentina,Nicolás González,ARG,"FW,MF",24,1998,15.0,6,58,17,29.3,3.86,1.13,0.07,0.24,2,2,6.7,5.4,0.09,-0.7,-1.4
ITA-Serie A,2223,Fiorentina,Nikola Milenković,SRB,DF,24,1997,23.7,2,19,5,26.3,0.8,0.21,0.11,0.4,0,0,1.9,1.9,0.1,0.1,0.1
ITA-Serie A,2223,Fiorentina,Pierluigi Gollini,ITA,GK,27,1995,3.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Fiorentina,Pietro Terracciano,ITA,GK,32,1990,29.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Fiorentina,Riccardo Saponara,ITA,FW,30,1991,13.4,4,37,13,35.1,2.76,0.97,0.11,0.31,0,0,2.8,2.8,0.08,1.2,1.2
ITA-Serie A,2223,Fiorentina,Riccardo Sottil,ITA,FW,23,1999,9.3,0,21,8,38.1,2.27,0.86,0.0,0.0,0,0,1.0,1.0,0.05,-1.0,-1.0
ITA-Serie A,2223,Fiorentina,Rolando Mandragora,ITA,MF,25,1997,21.7,2,37,5,13.5,1.71,0.23,0.05,0.4,0,0,1.5,1.5,0.04,0.5,0.5
ITA-Serie A,2223,Fiorentina,Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Fiorentina,Sofyan Amrabat,MAR,MF,25,1996,22.2,0,13,4,30.8,0.59,0.18,0.0,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
ITA-Serie A,2223,Fiorentina,Szymon Żurkowski,POL,MF,24,1997,0.4,0,2,1,50.0,5.63,2.81,0.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
ITA-Serie A,2223,Fiorentina,Youssef Maleh,MAR,MF,23,1998,3.3,0,7,0,0.0,2.12,0.0,0.0,,0,0,0.6,0.6,0.08,-0.6,-0.6
ITA-Serie A,2223,Hellas Verona,Adolfo Gaich,ARG,FW,23,1999,8.1,2,24,8,33.3,2.98,0.99,0.08,0.25,0,0,2.5,2.5,0.1,-0.5,-0.5
ITA-Serie A,2223,Hellas Verona,Adrien Tameze,CMR,MF,28,1994,33.7,0,12,2,16.7,0.36,0.06,0.0,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9
ITA-Serie A,2223,Hellas Verona,Ajdin Hrustic,AUS,MF,26,1996,2.5,0,3,0,0.0,1.19,0.0,0.0,,0,0,0.3,0.3,0.11,-0.3,-0.3
ITA-Serie A,2223,Hellas Verona,Alessandro Cortinovis,ITA,MF,21,2001,0.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Antonín Barák,CZE,MF,27,1994,0.3,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Bruno Amione,ARG,DF,20,2002,0.6,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Cyril Ngonge,BEL,"MF,FW",22,2000,8.3,3,26,10,38.5,3.14,1.21,0.12,0.3,0,0,2.0,2.0,0.08,1.0,1.0
ITA-Serie A,2223,Hellas Verona,Darko Lazović,SRB,"MF,DF",31,1990,24.9,4,43,14,32.6,1.73,0.56,0.09,0.29,0,0,3.6,3.6,0.08,0.4,0.4
ITA-Serie A,2223,Hellas Verona,Davide Faraoni,ITA,DF,30,1991,16.5,2,20,5,25.0,1.21,0.3,0.1,0.4,0,0,2.7,2.7,0.14,-0.7,-0.7
ITA-Serie A,2223,Hellas Verona,Deyovaisio Zeefuik,NED,DF,24,1998,0.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Diego Coppola,ITA,DF,18,2003,13.1,0,3,0,0.0,0.23,0.0,0.0,,0,0,0.3,0.3,0.11,-0.3,-0.3
ITA-Serie A,2223,Hellas Verona,Fabio Depaoli,ITA,DF,25,1997,24.1,2,19,4,21.1,0.79,0.17,0.11,0.5,0,0,1.7,1.7,0.09,0.3,0.3
ITA-Serie A,2223,Hellas Verona,Federico Ceccherini,ITA,DF,30,1992,15.7,2,7,2,28.6,0.44,0.13,0.29,1.0,0,0,0.8,0.8,0.11,1.2,1.2
ITA-Serie A,2223,Hellas Verona,Filippo Terracciano,ITA,"DF,MF",19,2003,9.1,0,5,3,60.0,0.55,0.33,0.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
ITA-Serie A,2223,Hellas Verona,Giangiacomo Magnani,ITA,DF,26,1995,17.0,0,7,1,14.3,0.41,0.06,0.0,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5
ITA-Serie A,2223,Hellas Verona,Ibrahim Sulemana,GHA,MF,19,2003,7.2,0,9,3,33.3,1.24,0.41,0.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
ITA-Serie A,2223,Hellas Verona,Isak Hien,SWE,DF,23,1999,29.0,0,3,0,0.0,0.1,0.0,0.0,,0,0,0.3,0.3,0.09,-0.3,-0.3
ITA-Serie A,2223,Hellas Verona,Ivan Ilić,SRB,MF,21,2001,9.5,0,9,2,22.2,0.95,0.21,0.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
ITA-Serie A,2223,Hellas Verona,Jayden Braaf,NED,"MF,FW",19,2002,3.2,0,9,3,33.3,2.81,0.94,0.0,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8
ITA-Serie A,2223,Hellas Verona,Josh Doig,SCO,DF,20,2002,15.0,2,18,6,33.3,1.2,0.4,0.11,0.33,0,0,1.8,1.8,0.1,0.2,0.2
ITA-Serie A,2223,Hellas Verona,Juan David Cabal,COL,DF,21,2001,4.9,0,1,1,100.0,0.2,0.2,0.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Kevin Lasagna,ITA,"FW,MF",29,1992,17.5,1,52,11,21.2,2.98,0.63,0.02,0.09,0,0,6.0,6.0,0.12,-5.0,-5.0
ITA-Serie A,2223,Hellas Verona,Koray Günter,GER,DF,27,1994,11.1,1,9,1,11.1,0.81,0.09,0.11,1.0,0,0,0.9,0.9,0.1,0.1,0.1
ITA-Serie A,2223,Hellas Verona,Lorenzo Montipò,ITA,GK,26,1996,37.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Martin Hongla,CMR,MF,24,1998,5.8,0,5,2,40.0,0.86,0.34,0.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
ITA-Serie A,2223,Hellas Verona,Miguel Veloso,POR,MF,36,1986,12.9,0,16,2,12.5,1.24,0.15,0.0,0.0,0,0,0.5,0.5,0.03,-0.5,-0.5
ITA-Serie A,2223,Hellas Verona,Milan Đurić,BIH,FW,32,1990,15.2,1,16,5,31.3,1.05,0.33,0.06,0.2,0,0,1.4,1.4,0.09,-0.4,-0.4
ITA-Serie A,2223,Hellas Verona,Oliver Abildgaard,DEN,MF,26,1996,6.6,0,3,2,66.7,0.46,0.3,0.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
ITA-Serie A,2223,Hellas Verona,Ondrej Duda,SVK,MF,27,1994,11.8,0,13,4,30.8,1.1,0.34,0.0,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8
ITA-Serie A,2223,Hellas Verona,Panagiotis Retsos,GRE,DF,23,1998,1.4,0,1,0,0.0,0.74,0.0,0.0,,0,0,0.1,0.1,0.06,-0.1,-0.1
ITA-Serie A,2223,Hellas Verona,Paweł Dawidowicz,POL,DF,27,1995,18.1,1,11,2,18.2,0.61,0.11,0.09,0.5,0,0,1.1,1.1,0.1,-0.1,-0.1
ITA-Serie A,2223,Hellas Verona,Roberto Piccoli,ITA,FW,21,2001,2.1,0,4,2,50.0,1.87,0.94,0.0,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4
ITA-Serie A,2223,Hellas Verona,Simone Perilli,ITA,GK,27,1995,1.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Hellas Verona,Simone Verdi,ITA,"MF,FW",30,1992,12.2,5,29,10,34.5,2.38,0.82,0.14,0.4,1,1,2.6,1.8,0.06,2.4,2.2
ITA-Serie A,2223,Hellas Verona,Thomas Henry,FRA,FW,27,1994,11.4,2,18,5,27.8,1.57,0.44,0.11,0.4,0,0,1.7,1.7,0.1,0.3,0.3
ITA-Serie A,2223,Hellas Verona,Yayah Kallon,SLE,"MF,FW",21,2001,9.6,1,20,6,30.0,2.09,0.63,0.05,0.17,0,0,1.7,1.7,0.08,-0.7,-0.7
ITA-Serie A,2223,Inter,Alessandro Bastoni,ITA,DF,23,1999,24.0,0,12,3,25.0,0.5,0.13,0.0,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0
ITA-Serie A,2223,Inter,Alex Cordaz,ITA,GK,39,1983,0.3,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Inter,André Onana,CMR,GK,26,1996,24.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2223,Inter,Danilo D'Ambrosio,ITA,DF,33,1988,8.1,0,3,2,66.7,0.37,0.25,0.0,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
ITA-Serie A,2223,Inter,Denzel Dumfries,NED,DF,26,1996,24.6,1,33,13,39.4,1.34,0.53,0.03,0.08,0,0,3.6,3.6,0.11,-2.6,-2.6
ITA-Serie A,2223,Inter,Edin Džeko,BIH,FW,36,1986,19.2,9,73,24,32.9,3.79,1.25,0.12,0.38,0,0,9.7,9.7,0.13,-0.7,-0.7
ITA-Serie A,2223,Inter,Federico Dimarco,ITA,DF,24,1997,23.0,4,49,15,30.6,2.13,0.65,0.08,0.27,0,0,3.1,3.1,0.06,0.9,0.9
ITA-Serie A,2223,Inter,Francesco Acerbi,ITA,DF,34,1988,26.9,0,18,2,11.1,0.67,0.07,0.0,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0
ITA-Serie A,2223,Inter,Hakan Çalhanoğlu,TUR,MF,28,1994,26.3,3,55,16,29.1,2.09,0.61,0.04,0.13,1,1,3.1,2.3,0.04,-0.1,-0.3
ITA-Serie A,2223,Inter,Henrikh Mkhitaryan,ARM,MF,33,1989,22.1,3,35,6,17.1,1.59,0.27,0.09,0.5,0,0,2.8,2.8,0.08,0.2,0.2
ITA-Serie A,2223,Inter,Joaquín Correa,ARG,FW,27,1994,10.6,3,22,8,36.4,2.08,0.76,0.14,0.38,0,0,3.4,3.4,0.16,-0.4,-0.4
ITA-Serie A,2223,Inter,Kristjan Asllani,ALB,MF,20,2002,6.6,0,11,0,0.0,1.67,0.0,0.0,,0,0,0.5,0.5,0.05,-0.5,-0.5
ITA-Serie A,2223,Inter,Lautaro Martínez,ARG,FW,24,1997,28.6,21,125,51,40.8,4.37,1.78,0.16,0.39,1,2,18.1,16.5,0.14,2.9,3.5
ITA-Serie A,2223,Inter,Marcelo Brozović,CRO,MF,29,1992,19.7,3,25,7,28.0,1.27,0.36,0.12,0.43,0,0,2.5,2.5,0.1,0.5,0.5
ITA-Serie A,2223,Inter,Matteo Darmian,ITA,DF,32,1989,22.5,1,7,1,14.3,0.31,0.04,0.14,1.0,0,0,1.0,1.0,0.14,0.0,0.0
ITA-Serie A,2223,Inter,Mattia Zanotti,ITA,DF,19,2003,0.3,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
