league,season,team,player,nationality,position,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2122,Milan,Sandro Tonali,ITA,MF,21,2000,28.9,5,37,11,29.7,1.28,0.38,0.14,0.45,0,0,4.1,4.1,0.11,0.9,0.9
ITA-Serie A,2122,Milan,Simon Kjær,DEN,DF,32,1989,8.9,0,5,1,20.0,0.56,0.11,0.0,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5
ITA-Serie A,2122,Milan,Theo Hernández,FRA,DF,23,1997,30.1,5,40,13,32.5,1.33,0.43,0.1,0.31,1,2,3.7,2.8,0.07,1.3,1.2
ITA-Serie A,2122,Milan,Tiemoué Bakayoko,FRA,MF,26,1994,5.6,0,4,0,0.0,0.72,0.0,0.0,,0,0,0.3,0.3,0.07,-0.3,-0.3
ITA-Serie A,2122,Milan,Zlatan Ibrahimović,SWE,FW,39,1981,11.3,8,50,18,36.0,4.43,1.59,0.16,0.44,0,1,7.2,6.4,0.13,0.8,1.6
ITA-Serie A,2122,Napoli,Adam Ounas,ALG,"MF,FW",24,1996,3.6,0,13,2,15.4,3.59,0.55,0.0,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
ITA-Serie A,2122,Napoli,Alessandro Zanoli,ITA,DF,20,2000,5.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Napoli,Alex Meret,ITA,GK,24,1997,6.9,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Napoli,Amir Rrahmani,KVX,DF,27,1994,32.5,4,22,9,40.9,0.68,0.28,0.18,0.44,0,0,4.0,4.0,0.18,0.0,0.0
ITA-Serie A,2122,Napoli,Andre-Frank Zambo Anguissa,CMR,MF,25,1995,21.4,0,20,3,15.0,0.93,0.14,0.0,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1
ITA-Serie A,2122,Napoli,Andrea Petagna,ITA,FW,26,1995,6.5,3,13,6,46.2,2.0,0.92,0.23,0.5,0,0,1.6,1.6,0.13,1.4,1.4
ITA-Serie A,2122,Napoli,Axel Tuanzebe,COD,DF,23,1997,0.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Napoli,David Ospina,COL,GK,32,1988,31.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Napoli,Davide Marfella,ITA,GK,21,1999,0.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Napoli,Diego Demme,GER,MF,29,1991,7.7,1,2,1,50.0,0.26,0.13,0.5,1.0,0,0,0.7,0.7,0.34,0.3,0.3
ITA-Serie A,2122,Napoli,Dries Mertens,BEL,"FW,MF",34,1987,15.4,11,44,19,43.2,2.86,1.24,0.23,0.53,1,1,4.3,3.6,0.08,6.7,6.4
ITA-Serie A,2122,Napoli,Elif Elmas,MKD,"FW,MF",21,1999,18.0,3,33,11,33.3,1.83,0.61,0.09,0.27,0,0,2.3,2.3,0.07,0.7,0.7
ITA-Serie A,2122,Napoli,Fabián Ruiz Peña,ESP,MF,25,1996,26.5,7,40,13,32.5,1.51,0.49,0.18,0.54,0,0,1.6,1.6,0.04,5.4,5.4
ITA-Serie A,2122,Napoli,Faouzi Ghoulam,ALG,DF,30,1991,3.7,0,3,1,33.3,0.81,0.27,0.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
ITA-Serie A,2122,Napoli,Gianluca Gaetano,ITA,MF,21,2000,0.2,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
