league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,6.6,406,377,28,2,2,3,12,18,4,2,0,0,341,1,14
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,0.7,29,27,2,0,0,0,1,0,0,0,0,0,17,0,1
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,49,30,18,5,0,0,0,0,0,0,0,0,33,1,0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,31.4,1696,1559,131,121,2,5,2,8,0,0,0,0,1508,6,10
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,1.2,52,42,10,2,0,0,1,8,0,0,0,0,34,0,1
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,15.5,790,772,13,6,0,4,1,0,0,0,0,0,665,5,11
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,0.5,21,21,0,0,0,0,1,0,0,0,0,0,15,0,0
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,13.4,696,662,34,27,2,6,3,5,0,0,0,0,564,0,5
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,0.8,26,25,1,1,0,0,0,0,0,0,0,0,23,0,0
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,25.5,1353,1111,235,19,0,3,57,216,0,0,0,0,990,7,32
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,7.2,338,317,19,18,0,0,1,0,0,0,0,0,271,2,3
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,29.9,908,851,51,1,4,1,12,9,0,0,0,0,659,6,24
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,28.5,1037,976,58,21,6,11,50,4,29,8,7,1,766,3,27
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,7.7,338,263,75,1,0,0,28,74,0,0,0,0,247,0,15
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,23.7,923,821,99,26,7,15,112,10,59,40,5,0,698,3,15
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,10.0,336,287,49,18,4,1,52,4,25,16,4,0,236,0,10
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,1.1,64,56,7,3,0,1,5,1,0,0,0,0,44,1,1
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,22.4,1203,1134,66,45,7,12,14,3,0,0,0,0,994,3,19
ITA-Serie A,2122,Bologna,Niklas Pyyhtiä,FIN,MF,17,2003,0.2,24,23,1,1,1,0,0,0,0,0,0,0,20,0,0
ITA-Serie A,2122,Bologna,Riccardo Orsolini,ITA,"FW,MF",24,1997,19.8,744,659,83,21,5,18,90,13,42,30,1,0,481,2,23
ITA-Serie A,2122,Bologna,Riccardo Stivanello,ITA,DF,17,2004,0.5,12,11,1,1,0,0,0,0,0,0,0,0,9,0,1
ITA-Serie A,2122,Bologna,Roberto Soriano,ITA,MF,30,1991,29.1,1270,1245,18,9,12,6,34,9,0,0,0,0,1019,7,27
ITA-Serie A,2122,Bologna,Sydney van Hooijdonk,NED,"FW,MF",21,2000,0.4,17,17,0,0,0,0,0,0,0,0,0,0,13,0,0
ITA-Serie A,2122,Bologna,Takehiro Tomiyasu,JPN,DF,22,1998,0.1,3,2,1,0,0,0,1,1,0,0,0,0,3,0,0
ITA-Serie A,2122,Bologna,Wisdom Amey,ITA,DF,15,2005,0.8,29,25,4,4,0,0,0,0,0,0,0,0,20,0,0
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36.0,1253,835,415,121,0,5,0,0,0,0,0,0,944,3,1
ITA-Serie A,2122,Cagliari,Adam Obert,SVK,"DF,MF",18,2002,3.0,106,97,7,2,0,0,2,5,0,0,0,0,69,2,7
ITA-Serie A,2122,Cagliari,Alberto Grassi,ITA,MF,26,1995,24.2,1041,998,37,35,2,5,5,1,1,1,0,0,840,6,16
ITA-Serie A,2122,Cagliari,Alessandro Deiola,ITA,MF,25,1995,23.7,774,753,16,14,0,11,12,0,1,1,0,0,590,5,21
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35.0,1216,752,454,138,0,2,0,0,0,0,0,0,775,10,0
ITA-Serie A,2122,Cagliari,Andrea Carboni,ITA,DF,20,2001,24.6,1078,1020,52,39,1,7,25,12,0,0,0,0,809,6,19
